milliseconds,SPB_B,SPB_T,Bfa1,Bfa1P4,Bfa1P5,Tem1GTP,Tem1GDP,B_Bfa1,B_Bfa1P4,B_Bfa1P5,T_Tem1GTP,T_Tem1GDP,B_Bfa1_Tem1GTP,B_Bfa1P4_Tem1GTP,B_Bfa1P5_Tem1GTP,B_Bfa1_Tem1GDP,B_Bfa1P4_Tem1GDP,B_Bfa1P5_Tem1GDP,Bfa1_Tem1GTP,Bfa1P4_Tem1GTP,Bfa1P5_Tem1GTP,Bfa1_Tem1GDP,Bfa1P4_Tem1GDP,Bfa1P5_Tem1GDP
0,8.822671521939072e-05,0.00016701078473037157,2.8301467096679113e-08,-9.342908495162144e-12,4.174632451573649e-15,5.072595559981103e-08,8.005976195877916e-09,8.27987397094218e-05,-1.846128060305472e-05,-6.288839101497994e-08,6.001268572419112e-06,-1.906373893507008e-08,3.2261772038926657e-09,-1.186175022911765e-06,5.151192320441015e-06,-1.3036767794986418e-09,-3.248258329321992e-06,6.496754359177145e-09,1.3917377930960654e-11,-1.1286895500245422e-11,-9.570169638777859e-15,-1.208644081718781e-10,1.0869185875192495e-10,-7.339412846388291e-16
100,9.566263044319176e-05,0.0001710759988892559,1.5123661774981494e-08,1.9788300831770722e-10,3.218750493679991e-14,3.980133755100755e-08,8.048303220323951e-09,1.5521462634163268e-06,7.959876485837849e-05,2.5283611579317697e-07,6.560526321690258e-06,4.21396167903552e-07,1.864663796555687e-07,8.191642406110588e-06,4.84879037069028e-06,3.2175400555256934e-08,1.0927839257471393e-05,-1.5271473271611264e-09,1.1288619914474676e-09,3.03349186168658e-11,-5.768995936724231e-15,-1.4597499311197699e-10,-2.2072719575178963e-10,1.7290333772339979e-16
200,9.497604618014369e-05,0.00015959151424215415,1.8139924708652716e-08,3.1034793046778734e-10,-2.4388333639593943e-14,4.969482795986122e-08,7.307511127982501e-09,4.4806358068510684e-07,6.0855058761926666e-05,2.1676541849906597e-07,3.016960787790163e-06,1.6472683019741057e-07,2.7592610146060466e-07,1.2700244676859655e-05,5.034954997045616e-06,4.535660789866554e-08,3.025949333853357e-06,1.510936528798275e-08,5.018200973281036e-09,1.1952015856417152e-10,4.802525695209123e-14,8.080623765566895e-10,-4.800353434692635e-11,2.4518480149600144e-16
300,9.812092923429254e-05,0.0001623217737990089,1.7399749055868235e-08,3.6550925859603004e-10,-2.17753968362907e-14,4.2991063507305186e-08,6.793134782060434e-09,8.075078158875649e-08,5.528529132122772e-05,2.462567318115954e-07,-2.6318384080318793e-06,4.334951811827365e-07,3.4700448484279035e-07,1.6627323564885682e-05,4.896761979658877e-06,5.9223180988072805e-08,4.200705430824973e-06,2.9158299550101076e-08,3.475060549395217e-09,1.424655718979184e-10,5.60651930840688e-14,3.9945930517225684e-10,-4.644386389920647e-11,-6.78066511483887e-16
400,9.026255620081893e-05,0.0001539172599646959,1.2377612462695836e-08,1.605103847692767e-10,3.701095707880172e-14,3.539266942328298e-08,6.14156067032156e-09,-7.767936349079142e-07,3.781077220339184e-05,3.801608347731109e-07,1.954032246872219e-06,5.668299217802566e-07,4.3586282914809834e-07,2.0474150635094937e-05,4.878436062807772e-06,6.814737925369385e-08,2.265574424323706e-05,3.0563981094718876e-08,2.4647228093093894e-09,1.9674320474025535e-10,5.946680310853184e-14,1.4352027996401465e-09,-1.9883154630145016e-10,8.287525525687854e-16
500,8.686534081499428e-05,0.000164978397325031,1.4952113971703432e-08,3.374473391396094e-10,3.164963522074194e-14,4.249435751247888e-08,6.314168136919692e-09,-7.598244701015866e-07,6.526943554673983e-05,4.4158886673376727e-07,5.748921495352685e-06,4.891723228753484e-07,4.0846220885539905e-07,2.1827506863230552e-05,4.838156149690771e-06,6.834901849034738e-08,2.9330103408041338e-05,1.4662590500372586e-08,6.0774706094851195e-09,1.8942705892219922e-10,9.641710696621505e-14,1.4557925419597755e-09,1.6592437636648185e-10,1.6201438168881362e-15
600,8.200223705787349e-05,0.00016790618288845013,-3.3900632943235934e-09,4.3081325311578783e-10,2.6957117257023884e-14,3.53154607090434e-08,6.281243119173395e-09,-4.78611771593622e-07,5.5310089844307216e-05,3.3460781511468325e-07,-2.5218949542985356e-07,6.52583882993138e-07,4.145699210852931e-07,2.2597208403983473e-05,4.477454131814767e-06,6.491118044219851e-08,4.301382886699816e-05,2.2786003895991446e-08,7.784424122043255e-09,2.1009339430397133e-10,9.520391454541017e-14,1.6429210281389553e-09,2.8313262298373546e-10,1.6276400907400363e-15
700,8.574262812801678e-05,0.00015535810766094106,6.381951738805367e-09,6.299072187129206e-10,3.0140427926930557e-14,2.892582192372829e-08,5.241756294278628e-09,-6.185265131974591e-07,-1.9537783757542535e-05,3.1659189631023656e-07,4.02633889059043e-06,4.4317941724969846e-07,3.8082903517742275e-07,2.331662163797601e-05,4.768367640113671e-06,6.358083042956615e-08,5.5674717464735866e-05,1.298976769927918e-08,7.860494859950707e-09,1.8133484295929606e-10,1.136155535544732e-13,1.991934650641647e-09,8.567216007682608e-10,2.104180011210851e-15
800,7.711706004962693e-05,0.00016681742411204178,-7.159344405785116e-09,4.84501520615776e-10,1.144333142089223e-14,3.105620999082272e-08,5.088883812061655e-09,-3.7837631997257426e-08,-1.840878882334794e-05,3.3698458523887134e-07,3.954537290543108e-06,8.925345767741108e-07,3.9352445697887305e-07,2.3433321846189694e-05,4.71695782429711e-06,6.31584494052231e-08,5.744405026778714e-05,1.2784634901256904e-08,1.7246314451696067e-08,2.1052009921448615e-10,9.527408883711288e-14,3.1827551541521476e-09,2.207683054121127e-10,2.885684900028442e-15
900,8.647262988309342e-05,0.00016263405425261988,-1.1481555518365456e-08,3.483235229599995e-10,2.1039592926335483e-14,3.233005255305067e-08,4.194153987124093e-09,-1.3103743469609326e-07,-4.3356389189782394e-05,6.460491449727855e-07,-7.874537769798857e-07,5.547742870932978e-07,3.8453927314248527e-07,2.8062841753210493e-05,4.640915867190483e-06,6.207613609163679e-08,6.522792999816132e-05,3.2227305874998365e-08,2.1587392351517514e-08,2.0276140593946566e-10,1.1122441240126607e-13,3.4677857046972356e-09,4.803441401377464e-10,3.821810629181921e-15
