miliseconds,SPB_B,SPB_T,Bfa1,Bfa1P4,Bfa1P5,Tem1GTP,Tem1GDP,B_Bfa1,B_Bfa1P4,B_Bfa1P5,T_Tem1GTP,T_Tem1GDP,B_Bfa1_Tem1GTP,B_Bfa1P4_Tem1GTP,B_Bfa1P5_Tem1GTP,B_Bfa1_Tem1GDP,B_Bfa1P4_Tem1GDP,B_Bfa1P5_Tem1GDP,Bfa1_Tem1GTP,Bfa1P4_Tem1GTP,Bfa1P5_Tem1GTP,Bfa1_Tem1GDP,Bfa1P4_Tem1GDP,Bfa1P5_Tem1GDP
0,7.857077469390705e-05,0.00015992338607601056,1.8173021831362676e-08,-1.7246593345713917e-10,2.548309398502299e-14,4.5541915345282957e-08,8.478503503053681e-09,8.313524720691056e-05,4.8332851845371955e-06,-1.2184934684390957e-07,-1.4053190066495424e-06,-1.0348284867268653e-07,-1.0456571076055295e-08,-9.460324633738095e-07,4.941708876897295e-06,1.6708905221452384e-11,2.1225510495172377e-06,9.477663980573778e-09,3.222739215209943e-09,-2.1882359579058638e-11,1.5070207489790527e-14,-5.766814020768106e-11,2.6478222124023348e-11,-8.657192910452139e-16
100,7.70173273236179e-05,0.00016329999589462227,1.7152421529796787e-08,8.391501246297389e-11,2.1998743685463326e-14,4.5527233563875484e-08,7.184234530591647e-09,2.2110705270532523e-06,8.952291847403854e-05,2.758089275516199e-07,1.520214912759647e-06,-5.1843755304547396e-08,2.1341762455808783e-07,5.679839488742381e-06,4.9495402931404806e-06,3.169785769405466e-08,4.823468508584135e-06,2.491362364745102e-09,2.9607258746485106e-09,1.7490884935167263e-11,1.2534714994691062e-14,9.937125770428658e-11,-2.7099750126911977e-10,-4.442515571963292e-16
200,8.628504103714985e-05,0.00016741017612112116,6.906364225895808e-09,2.6241460263301825e-10,-2.429928615883032e-14,3.706636570091941e-08,7.733816295005051e-09,7.026685426124766e-07,4.333910740226746e-05,7.936636590003513e-08,7.271561558588057e-08,4.369943726944496e-07,2.8563015042825987e-07,1.0013960458086744e-05,4.9299671925378174e-06,4.6653789251538184e-08,1.9261452975829146e-05,7.0883153928638905e-09,1.7163693232066593e-09,1.1836194192045044e-10,5.301085616754226e-14,6.493743428430507e-11,3.92350403779319e-10,-9.250476338145607e-17
300,9.106514205171003e-05,0.00016107895345480596,1.3596857225229204e-08,4.768918989909374e-10,-2.0503426663636377e-14,4.4810949054262814e-08,7.156895325445654e-09,-1.0052771030916706e-07,4.5103898514286925e-05,2.3216606457146635e-07,-2.370325372228152e-06,3.0036095651521996e-07,3.7864557723178216e-07,1.6087362048840103e-05,4.989168070904189e-06,5.9450736633409196e-08,4.988728374312486e-06,1.4198837832785686e-08,1.0980615467703271e-08,1.6485415732089872e-10,5.770880212501114e-14,5.976829865164285e-10,2.478364301256002e-11,1.125502453994706e-15
400,8.318736578369518e-05,0.00016570342940675295,3.537175373295949e-09,2.9538643600507407e-10,-9.250257185062394e-15,3.750338552465014e-08,6.887979549899868e-09,-7.936887683966499e-07,4.288425294878604e-05,4.1661253930320383e-07,3.97520858129484e-06,5.48322791470446e-07,4.435033927769982e-07,2.130356781615434e-05,4.927065783913289e-06,6.964977506675194e-08,1.855210048970734e-05,2.5200960808268642e-08,8.816853748017795e-09,1.9851974813085887e-10,7.01810051155524e-14,1.8203497661090824e-09,-1.043031205229378e-10,1.1086788461012888e-15
500,7.565395847225197e-05,0.00016041014280184009,6.12930586618026e-09,3.4269731379024773e-10,3.494402275114977e-14,4.1190229419072294e-08,5.701598243548904e-09,-4.206062654572809e-07,2.9707455753572267e-05,2.772499332759302e-07,1.6482423778450967e-06,6.525091950945118e-07,4.1142301955303137e-07,2.094658384665694e-05,4.919582783301067e-06,6.867543227613734e-08,2.116340372723466e-05,1.4713372491369279e-08,3.0762987408712602e-09,1.797362023094154e-10,9.222254143928392e-14,1.930060381909199e-09,2.1131817005911143e-10,3.3708849581442315e-16
600,7.893081478783776e-05,0.00015881150004733716,7.817145370325536e-09,2.6205566087506225e-10,4.097376551543333e-14,4.112278785003278e-08,5.774566228324939e-09,-1.7029047795435674e-07,1.1162809193716832e-05,5.8080857328568e-07,9.12873994817378e-06,8.167621190504271e-07,3.8950185298031536e-07,2.1392697528120416e-05,4.672955245672256e-06,6.585773116721106e-08,2.998859766602798e-05,3.165614079024312e-08,1.385800858197599e-08,2.0735171644062794e-10,9.122055896711392e-14,1.7662201254833038e-09,1.6015935770630327e-10,1.8239935688985806e-15
700,9.583152768320625e-05,0.00016575145729684043,2.556229109068846e-09,2.4446234230568136e-10,3.573101833462666e-15,2.4134849424902887e-08,5.712280878409688e-09,-6.274703772742238e-07,7.351844314925759e-06,4.466668313410595e-07,1.5261264471331095e-06,6.050730750514716e-07,3.992978889253569e-07,2.3018365053312295e-05,4.600006930081625e-06,6.386155548084784e-08,5.2642660768901524e-05,2.201210934811261e-08,1.7501673100344885e-08,1.9303199885787135e-10,7.509569127698516e-14,2.139188169916525e-09,3.0376361155136167e-10,2.9322481926455557e-15
800,9.401961409432552e-05,0.00016556627816069778,6.235903413449241e-10,2.8651797860498756e-10,5.333838802285083e-14,2.9497782649782436e-08,5.008783513003238e-09,-1.6691372315007646e-07,9.742397188666679e-06,7.029517094981723e-07,-1.3739133940737145e-06,5.388605657015852e-07,3.659283834555073e-07,2.656713103969611e-05,4.504471032624291e-06,6.27558420821594e-08,5.6840194900455493e-05,1.4049392912933953e-08,1.4658193688546993e-08,2.392572672616491e-10,9.671964177568127e-14,3.0979709678649515e-09,8.455890357931052e-10,2.7927554579460784e-15
900,8.389393158961604e-05,0.00017056996892050782,-4.2994232724371635e-09,4.3291720626690626e-10,5.3366049575165266e-14,3.1504853299787055e-08,4.148697923396352e-09,-7.598246058580966e-07,-1.127191775992698e-05,7.207799197329129e-07,5.1572793036330484e-06,3.168558235686332e-07,3.8889953990710306e-07,2.7236390934874606e-05,4.483031153300336e-06,6.161587219045558e-08,6.706412430298841e-05,3.101522969891947e-08,2.3097852075022832e-08,2.373652264124016e-10,9.672015658913594e-14,3.373948309094725e-09,9.552397841986217e-10,3.0074384539424417e-15
1000,7.551768299708253e-05,0.00015726171423423706,-1.1600017649271655e-08,4.390114863011789e-10,7.174010487927606e-14,1.9456882257815672e-08,4.4245771153318e-09,-9.158328866018011e-07,-2.892200059765942e-05,5.895236414086311e-07,1.4307001538203569e-06,3.090100448510887e-07,3.7571813485933656e-07,2.738926189088312e-05,4.486476897408559e-06,5.837056199608951e-08,6.600721850009725e-05,1.253674668235361e-08,1.7057192480711513e-08,2.0428700380412547e-10,1.2402407174515215e-13,4.080418315795701e-09,9.066160278998352e-10,3.8558040619091334e-15
1100,8.084444753521005e-05,0.00017025439299661675,-1.3699677351523724e-08,6.014135647350259e-10,9.251952621973202e-14,1.7073508467739895e-08,4.264402147046252e-09,-3.259366252919511e-07,-4.751675133375926e-05,5.511694159213154e-07,-2.2979640106515313e-06,3.384840953228753e-07,3.65375293357857e-07,2.8002461732515267e-05,4.477909132541738e-06,5.716812995848525e-08,8.048347604817153e-05,1.934369376912665e-08,1.995873040456686e-08,2.4132092145180627e-10,1.1499444526013555e-13,4.976279369428506e-09,1.084744868082142e-09,5.194744022406828e-15
1200,8.98988928813853e-05,0.0001708389318624709,-1.1879196583089301e-08,3.7066950483353625e-10,8.119142514715786e-14,2.0998439896087492e-08,3.046252598277105e-09,-2.2972119921551232e-07,-1.1982773212335022e-05,9.329800347250653e-07,-1.5197776827717258e-06,3.1756860202075613e-07,3.207011423882929e-07,3.1778937915814255e-05,4.179280651134323e-06,5.544001336480442e-08,9.149693537283998e-05,3.0745890218881513e-08,1.891422484604172e-08,2.1399906226916248e-10,1.1312411731186014e-13,5.155739005595636e-09,1.116871779461783e-09,6.234542958529333e-15
1300,7.5488791279956e-05,0.00016087371247092535,-1.1276753461324876e-08,7.038066423436775e-10,6.393579085984375e-14,1.4125119716870791e-08,2.852525751098002e-09,-7.066764162803507e-07,-4.392502755171305e-05,8.001294405091767e-07,-3.2762325227076834e-06,6.938924414499581e-07,3.2475898559635024e-07,3.214516145811298e-05,4.213361780438287e-06,5.519857863590608e-08,0.00010810647680835843,1.1844808186601308e-08,2.561104954825107e-08,2.1897799813593364e-10,1.4075124760766873e-13,5.904868956451898e-09,1.4026063053819758e-09,5.170787496106863e-15
1400,7.064248568425474e-05,0.00016793854751389576,-2.6043434522430913e-08,6.336099622242832e-10,1.06135517584754e-13,1.743251873708621e-08,2.43596051129735e-09,-5.461611745903088e-07,-4.062773800704072e-05,9.939609567705676e-07,6.205892534361958e-06,7.25626763653431e-07,3.171385348530415e-07,3.23568002109338e-05,4.142446207873067e-06,5.413559828442932e-08,0.0001045610814281387,1.273613899116459e-08,3.200636310516177e-08,2.5087497083649895e-10,1.6879889650014632e-13,5.865261677852183e-09,1.4642929761880822e-09,7.2055889526532e-15
1500,8.719145254271802e-05,0.00016342278227341129,-2.404640323380718e-08,4.939427691684854e-10,8.416471909758952e-14,1.2226682867378214e-08,2.560168716241044e-09,-2.785174783448541e-07,-0.00011568091377618623,9.824052905561905e-07,2.185144153333445e-06,2.3316318692514656e-07,3.126532901638427e-07,3.555979462209857e-05,4.09954325802732e-06,5.1109842264867416e-08,0.00012096095700188045,1.5625395636672195e-08,3.9465316838788846e-08,2.6503388263498155e-10,1.8586750380605577e-13,7.145216943043721e-09,1.5589957121467912e-09,6.540498131474072e-15
1600,6.964371249095232e-05,0.00016422738342385034,-2.971608718322133e-08,7.676083655065e-10,1.2180858544060621e-13,4.72546661673563e-10,2.3246429116926625e-09,-6.540419097001209e-07,-8.977562732099653e-05,1.0935501769005564e-06,-8.379269149858156e-06,4.115084116580261e-07,2.69840704826224e-07,3.721917175095373e-05,3.9713154898383985e-06,5.1518051148113675e-08,0.00013527424192783752,2.02803290749988e-08,3.404816703266265e-08,2.570748965667248e-10,1.681527090978588e-13,6.270083011962467e-09,1.2594251621701394e-09,9.119089054702185e-15
1700,8.813897635870827e-05,0.00017164441746633376,-3.345203151551628e-08,9.7236246967447e-10,1.1815895936070186e-13,1.0648378683955747e-08,1.8421281704062708e-09,-8.664661970725772e-07,-0.00011416958992495448,9.812931001438167e-07,4.092025972552193e-06,3.2600688387877335e-07,2.6630675517996686e-07,3.8832174203125e-05,3.824615828505693e-06,4.8355580358177634e-08,0.00014942614815224717,1.5745745543149523e-08,4.054939772919931e-08,2.7369430741200677e-10,1.9597686340395116e-13,7.73090939769906e-09,1.76332886393912e-09,8.50782380391889e-15
1800,7.837949955484643e-05,0.0001717262419958835,-2.211924275627778e-08,6.375958643298085e-10,1.1605508331121504e-13,7.009430736746278e-09,1.900114260581555e-09,-4.660773788420099e-07,-0.00012867337637917156,1.278017064260539e-06,-1.0049544565354977e-06,3.1830505288833125e-07,2.763998523643026e-07,3.8125991394745674e-05,3.96907711420333e-06,4.59738115933463e-08,0.00014801094488972466,1.8645831353504346e-08,4.4049669967051955e-08,2.7272430290777027e-10,1.5218766371423394e-13,7.249801791880937e-09,1.519810521222009e-09,9.325663461185544e-15
1900,7.166929394418358e-05,0.00017490787441332403,-3.055680231047252e-08,9.219202010014918e-10,1.4940532264439413e-13,4.251392264076337e-09,9.474483305092888e-10,2.440563791774953e-07,-0.0001351003065458365,1.3642371129259823e-06,-9.717910203334241e-06,2.1396075871395993e-07,2.671129692540882e-07,3.842279213729686e-05,3.743896341333164e-06,4.5151357650366266e-08,0.00015407114786293637,1.065164446088787e-08,3.72045184523503e-08,2.90498254982189e-10,1.7324680700505865e-13,8.104636582775258e-09,1.5016400985089288e-09,1.1184072163025335e-14
2000,7.870378076997532e-05,0.00017044690113749702,-4.1926907883484536e-08,8.959628155191481e-10,1.6096801123869634e-13,-6.7260393061882195e-09,9.04271208113882e-10,4.275283354360069e-09,-0.0001726940288905067,1.3894877037885398e-06,1.5984348982007493e-06,1.453062810821746e-07,2.491493293817264e-07,4.271213937305901e-05,3.753284078936444e-06,4.2423414147553035e-08,0.00017120501943832124,1.6586777458035263e-08,3.961892554139133e-08,2.76471791698147e-10,2.1747081238077007e-13,8.737830189647241e-09,1.5200032406501289e-09,1.0779580941978006e-14
2100,9.84168327806005e-05,0.0001755931119022573,-3.055402248196322e-08,7.931029261787003e-10,1.5574164861017377e-13,-1.0946459186422959e-08,4.0255819580744794e-10,-2.2568355517832984e-07,-0.00015583378049087294,1.1814622823496878e-06,-4.926222453469536e-06,2.1928313227535442e-07,2.3253207813475235e-07,4.1292169335503746e-05,3.5287123006401637e-06,4.2778329919614846e-08,0.00017486440177380574,7.461256996749348e-09,4.5092138490184394e-08,2.720989197823476e-10,2.2284392055472948e-13,9.353385928332633e-09,1.6705814531735908e-09,1.0877776266206904e-14
2200,8.866694001227706e-05,0.00017166906898130507,-4.576891677824229e-08,9.244980853831788e-10,1.8131704589116178e-13,-6.8140475895384046e-09,-5.373092821663517e-10,-4.319797148647034e-07,-0.00019463304600340737,1.4493624510186545e-06,-9.283692536370057e-06,-6.265441203135193e-08,2.3386222637681066e-07,4.500311188109113e-05,3.4957109273503953e-06,4.093908239706547e-08,0.0001898543114974687,5.022627362683747e-09,4.98250415934993e-08,2.678454543961652e-10,1.9751960180635394e-13,9.71054019572816e-09,1.5031020126035896e-09,1.1761888249766337e-14
2300,9.353705227510457e-05,0.00017627370151495592,-4.229036700995969e-08,8.460105299747177e-10,1.89340440109856e-13,-1.2060258147268617e-08,4.629140236242962e-11,-5.561183829754338e-07,-0.00013855720753921735,1.5389130469583527e-06,-1.2364658300657135e-05,3.108538472115732e-07,2.1330541836198644e-07,4.508167181139575e-05,3.5877048316128968e-06,3.981004936819842e-08,0.0001889876093923731,1.5646397053967262e-08,5.328698885577574e-08,3.24591093122772e-10,1.9818770977456747e-13,1.0217319878656623e-08,1.7295348081891005e-09,1.1784716502126005e-14
2400,7.432695751572053e-05,0.0001779410597890541,-3.926952140061183e-08,8.121369456775851e-10,1.6671332607320667e-13,-1.7420533698169925e-08,-9.856728278310881e-10,-4.300113835962193e-07,-0.00016832856038646277,1.6190749821617917e-06,-1.1901253380027948e-05,2.1714820116656603e-07,2.1837367890830468e-07,4.7448770606343883e-05,3.405027868320742e-06,3.6495716294625654e-08,0.00021359702250679373,6.951353016194417e-09,5.865142536984097e-08,2.836178561622523e-10,2.08183561982885e-13,1.1145357929307318e-08,1.884599745539226e-09,1.403707582824338e-14
2500,7.769330737836688e-05,0.0001780727244113293,-4.358640705693274e-08,1.0517962193628372e-09,2.0077091644751822e-13,-1.3647630411170375e-08,-9.991376075315183e-10,1.316626823930856e-07,-0.00018345344821841714,1.6694770516686765e-06,-9.571108381697435e-06,3.613877323461402e-08,1.9280971033630556e-07,4.90844873150363e-05,3.6479132727117526e-06,3.5566609026932744e-08,0.00021436583154608085,1.9556627106314564e-08,4.9584361047324063e-08,3.2172075301164e-10,2.6932930996486215e-13,1.1390000825930989e-08,1.8004170004702602e-09,1.418035205664975e-14
2600,8.638964980911831e-05,0.00016682244696371095,-4.746033317853854e-08,8.622229630258068e-10,1.8158228611480397e-13,-2.2953189073643487e-08,-1.4230881325412484e-09,-6.639252044335945e-07,-0.00019902355118051724,1.5050080068755526e-06,-1.1283242323684056e-06,1.5241218082328166e-07,1.9634320303723382e-07,4.9526421187359e-05,3.4013778499006113e-06,3.5732610874306106e-08,0.00021174566705653718,1.9354245172143066e-08,6.445007692892634e-08,2.9040427829798184e-10,2.4774900065722065e-13,1.1166017686282863e-08,2.5229773354833706e-09,1.3983723735939267e-14
2700,8.76733290696659e-05,0.00017627137641769235,-6.213063619282441e-08,1.1453898009576062e-09,1.980044382464511e-13,-2.3539708111724295e-08,-1.5620886815489658e-09,1.6241416564355195e-07,-0.00023707545657735524,1.6068195104569138e-06,-4.965314954495385e-06,6.531468177961848e-08,1.847875244868375e-07,5.123586991664092e-05,3.3149983953386012e-06,3.181343902779473e-08,0.0002354964732941737,4.9255891963550455e-09,5.627799115675042e-08,3.4578421160470113e-10,2.697925182326224e-13,1.2038448008684558e-08,2.4788209818155144e-09,1.559339834683811e-14
2800,7.718648262817836e-05,0.0001701010137513835,-5.34377135895488e-08,1.0357591235988943e-09,1.925209187755243e-13,-3.2501939735822656e-08,-1.875369882286218e-09,1.0165220393628906e-08,-0.00024340341273496985,1.6132135822020597e-06,-1.1748801882553131e-05,-1.7927835352514717e-07,1.3774714913194937e-07,5.39718630329065e-05,3.1185954855449498e-06,2.977411489393645e-08,0.00024203572927424528,1.904886366373263e-08,6.83424280755575e-08,3.227962077881367e-10,2.663107868893967e-13,1.2596693430121425e-08,1.9970658368658707e-09,1.5601328309821282e-14
2900,7.250555660573768e-05,0.0001819023264867961,-6.862680459375894e-08,1.312173029407888e-09,2.3286620127018377e-13,-2.8890060452219898e-08,-2.784576058890606e-09,-3.703418995389296e-07,-0.0002508392717126411,1.9309113718457923e-06,-1.9126095712670265e-06,-1.6874909738737594e-07,1.3488728303368992e-07,5.378194629498638e-05,3.3280554501097136e-06,2.9721553163402154e-08,0.00024289190593308795,8.426400359147719e-09,6.825699655862719e-08,3.351394387686654e-10,2.5118103619289427e-13,1.3210822404215067e-08,2.4025116123803104e-09,1.5410724935258277e-14
3000,8.370807187184313e-05,0.00017550798619307863,-6.651804616965095e-08,1.3776310140217659e-09,2.0673647366779237e-13,-3.396925919983466e-08,-2.5308760923332126e-09,-4.6429475692434226e-07,-0.00022878449322850567,1.9815199353533114e-06,-4.5619227603756e-06,2.9774863553750118e-08,1.1363792216353184e-07,5.5564963315116205e-05,3.152663046515325e-06,2.962470699528812e-08,0.0002581433645511288,2.291106938080064e-09,6.979971753308878e-08,3.1463196251855607e-10,2.694868230139721e-13,1.2753161214682031e-08,2.833668161791861e-09,1.7659746474094214e-14
3100,8.150031275159992e-05,0.00017373942531183475,-6.082432042043927e-08,1.4075630525418404e-09,2.1377889720146885e-13,-3.242074542610149e-08,-2.9935443803552816e-09,-2.5082062153879077e-07,-0.0002561433253468362,2.1097850101577605e-06,-1.548462206285514e-05,1.3944699058991997e-07,1.0401723491731912e-07,5.653414163689385e-05,2.9502428841290894e-06,2.5418602894158396e-08,0.0002757371556312609,5.211113359003899e-09,6.543417805612681e-08,3.3420435381624375e-10,2.8884606048444734e-13,1.440633322077652e-08,2.809692335680533e-09,1.8360166820117062e-14
3200,7.670385105814975e-05,0.00018250523008343604,-6.25607235732843e-08,1.2033752084523194e-09,2.476809338422707e-13,-3.5586880263320766e-08,-3.356435023964371e-09,-3.1600849873134687e-07,-0.00029894173727246,2.1971962025467046e-06,-1.0221126554503904e-05,-1.388990371378199e-07,1.0322910786345242e-07,5.7224908026317724e-05,2.8329621269345677e-06,2.5005691587062968e-08,0.0002875672690162939,1.2538775370384431e-08,6.475494400108903e-08,3.637615752010774e-10,2.8068279906325105e-13,1.4491222602527067e-08,2.639914855637558e-09,1.791386377416727e-14
3300,7.061666472400257e-05,0.00017137373598646622,-7.663840222340238e-08,1.171794425074917e-09,2.7593320521840743e-13,-3.311036359889405e-08,-3.5730568105958593e-09,-5.308704612483227e-07,-0.00025112276822889266,2.1015464636761676e-06,-9.328601880827887e-06,-1.0596776382358393e-07,8.393282116819005e-08,5.761031708104092e-05,2.7660693776626727e-06,2.486256826684441e-08,0.0002958404442333482,1.3260475193477446e-08,7.517791050675967e-08,3.257170588383243e-10,2.947497994359139e-13,1.4501920301379796e-08,2.7855464786672886e-09,1.801221630384916e-14
