milliseconds,X_gut,C_p,C_per,C_e,C_t
0,4.1821442120120264e-05,2.8983304298235377,3.9529969419781765,3.0861656626475282,2.5986801289529
100,1.2596362166029372e-05,2.804514570259045,3.9500055571261736,3.0424703926146157,2.6167911732555815
200,3.7939737484403255e-06,2.7264174238220518,3.934142244519884,2.991129395326163,2.62741723724939
300,1.1427287098303002e-06,2.6600722541808004,3.908953900188024,2.9360408659561394,2.6320828754022885
400,3.441847482050857e-07,2.602526267809545,3.877059657670716,2.8797585407491244,2.6319546178736295
500,1.0366921653496932e-07,2.551591444815727,3.8403914049239365,2.823900509098916,2.627930658715143
600,3.122569527131646e-08,2.5056491855248906,3.800373059396108,2.769442265563394,2.6207080436205326
700,9.405571965341285e-09,2.4635026818500254,3.758053411165174,2.7169247097824187,2.610832691054401
800,2.8341848848465948e-09,2.424266916905754,3.71420433086187,2.666600535248646,2.598736568229311
900,8.539641008758643e-10,2.387287156561077,3.6693933082040293,2.618536352641066,2.5847653260730574
1000,2.58754699180075e-10,2.3520787096439237,3.6240369924692835,2.57268316855826,2.569198858051414
1100,7.854971038663861e-11,2.31828240285189,3.5784407444560435,2.52892446289195,2.5522666365043585
1200,2.69892399212847e-11,2.2856318020356214,3.532827747128416,2.487108292898186,2.53415913962603
1300,9.462747007220149e-12,2.2539287704969544,3.4873607097704604,2.4470686337743515,2.51503649588023
1400,2.1963567692486034e-12,2.2230257253721075,3.4421576229897783,2.408638575537966,2.495034883860397
1500,1.3009451753505835e-12,2.192812527696577,3.3973033986699592,2.371658329391414,2.4742713701273362
1600,-2.8104655853012167e-13,2.163206462708942,3.3528587656227766,2.33598010305705,2.452847697131763
1700,-1.6638102966883117e-12,2.1341452629957396,3.3088664630181275,2.3014700096554557,2.430853033361567
1800,-1.3494678124784643e-12,2.1055816329262935,3.2653561006958673,2.268008850475864,2.4083662019094567
1900,-3.7824553241827874e-13,2.0774793515314,3.2223476177551578,2.2354917898777886,2.3854573569955977
2000,-7.017258863863428e-14,2.049810480616488,3.1798537596613543,2.203827388307394,2.362189268103416
2100,-4.817694841173331e-13,2.0225532578501597,3.137881947177258,2.1729364380868907,2.338618352188866
2200,-9.375236430386866e-13,1.9956903970894995,3.096435783604806,2.1427507505629464,2.3147955523048496
2300,-1.205509923756964e-12,1.9692079085542864,3.0555161004230356,2.1132118408138885,2.290767021047849
2400,-1.0791891464464952e-12,1.9430942204338577,3.0151217352952484,2.084269665475009,2.266574684099837
2500,-4.577101472685882e-13,1.9173393965349228,2.9752502247658548,2.0558814177770173,2.2422567626682683
2600,-5.214380130903555e-14,1.891935241940719,2.935897708412336,2.0280104446560965,2.217847944153247
2700,5.764540712035941e-14,1.8668745967603115,2.897059554098481,2.000625419040346,2.193379847156201
2800,-6.226366485966053e-14,1.8421510725687213,2.8587305900648814,1.9736995423939947,2.168881309620122
2900,-3.326618853613241e-13,1.817758901226874,2.8209052372659276,1.947209895615248,2.144378617654149
3000,-5.285089619731647e-13,1.7936926010431882,2.783577803898241,1.921136698948825,2.1198958164370736
3100,-6.437173686497121e-13,1.7699471373612963,2.746742340970182,1.895462966311385,2.095454781459884
3200,-6.268039280257517e-13,1.746517535746474,2.7103929838476164,1.8701736468679606,2.071075562300214
3300,-4.581473501869678e-13,1.7233991548538996,2.6745237082303794,1.845255747204326,2.046776356511843
3400,-2.87424799869815e-13,1.7005875102106067,2.639128484717294,1.8206976191090067,2.022573754965378
3500,-1.0199374333300866e-13,1.6780782712578468,2.6042012797892227,1.7964890621299385,1.9984828125244236
3600,-5.3419325850545016e-15,1.6558673563590596,2.5697359695907704,1.7726209770951287,1.9745171489690845
3700,1.1643764909554e-14,1.6339507043384178,2.535726541162355,1.749085208496844,1.950689118419182
3800,-5.2768423548701586e-15,1.6123244154160383,2.5021669655141094,1.7258744469786607,1.9270098635313948
3900,-4.6739370435643877e-14,1.5909846077182117,2.46905132342028,1.702981992455702,1.9034894477793547
4000,-5.904933508261183e-14,1.569927428718733,2.4363737935175216,1.6804016690292096,1.8801369523274758
4100,-3.885026023237407e-14,1.549149108253929,2.4041286036769858,1.6581277529838938,1.8569605073673545
4200,-1.2034474475561988e-14,1.5286458730537023,2.372310105160926,1.636154792587992,1.8339674289247714
4300,2.410191840385757e-14,1.5084140536263322,2.34091267625518,1.614477720653708,1.811164202879154
4400,3.501187958803574e-14,1.4884500258394908,2.3099307724100253,1.5930916383934879,1.788556609311298
4500,2.5654333538714976e-14,1.4687502284981053,2.2793589092497566,1.5719919557757676,1.7661497279574583
4600,9.824529712583156e-15,1.4493111808971006,2.249191645277179,1.551174242875424,1.7439480227975777
4700,-1.2901045283833175e-14,1.4301294261974355,2.2194236308173823,1.5306342763495198,1.7219553747444725
4800,-1.9571471314289192e-14,1.4112015727596523,2.190049569642747,1.5103679861869503,1.700175143883347
4900,-3.155881291796248e-14,1.39252425032208,2.161064256762285,1.4903714333890214,1.6786101683697394
5000,-4.3393740517239947e-14,1.374094139514552,2.132462550243305,1.4706407865384372,1.6572628775313956
