milliseconds,T1,alpha,alpha_T1,alpha_T1_alpha,T1_alpha,alpha_alpha_T1,T2,alpha_T2,alpha_T2_beta,beta,T2_beta,alpha_beta_T2,T3,beta_T3,beta_T3_Inh,Inh,T3_Inh,beta_Inh_T3,Inh_T1
0,38.89158805945392,9.920012474837522,-0.016376533337039263,0.02008560402813072,0.07944874240244758,-0.17271217850833256,3.8479464472839884,-0.00029279594982259134,-0.004467087510117537,-0.02072939691247994,0.003629943632783662,-0.022172417227200637,38.531217602089185,0.0014260692360957491,-0.009476894424400473,-0.01066897732623622,-0.008215615345777798,-0.0018797235224333488,0.010024403201543894
100,36.33826140518152,7.451201018271244,0.4194951045149538,0.035513475484251975,0.8822348430220167,0.23022844066823014,3.756267722450362,0.05090340879735755,0.0009400581076884878,0.006391600368554074,0.006971434962251948,0.03302936262158097,38.582710620026695,-0.0015816907428340716,0.011652982842586227,-0.013373854271406417,-0.004716362895919501,-0.027184392705616994,-0.008148173187701438
200,36.08541837729948,6.670270866548702,0.42571892274034756,0.08021100394346853,1.1648254593257912,1.2442480657063124,3.786790656766541,0.05214998285767755,0.002980949879500573,0.017322293012056025,0.005263931950229937,0.060416796450670184,38.55008684154154,-0.0011290566777133926,-0.013671879375603171,-0.0011841190603757673,-0.03550493938825527,-0.004590083955298792,0.002514573165777022
300,35.35773319699249,6.660207671375911,0.39382123161084026,0.229126982267349,1.499332474305758,1.5402100288909781,3.6950857809120414,0.04528453888024458,0.021852692224358566,-0.014231604384498855,0.001811729124638544,0.13508940140331785,38.504608568484066,0.0022420941099818535,-0.014557560254029852,-0.0027114336232147524,0.02422880221196912,-0.03154038256387341,-0.004765471176034302
400,34.507882778011094,5.30262820681817,0.3792041232634757,0.283329974890082,1.5875258600719986,1.6108462663343674,3.5989145187510996,0.04096075298623277,0.02973321751019688,0.01883994518418218,0.02136071592425887,0.1909909202324741,38.424971667865684,0.00186306064742516,-0.009873916631518563,0.022421826428640768,0.02663834263071918,-0.0008157208441595474,-0.011894496646097411
500,34.00149926643577,5.13134665586864,0.3418777697050882,0.37733626795730135,1.7139982638685254,2.199461490690862,3.6222469003725766,0.038659954665797094,0.03796537721141224,0.03708135793464305,0.027688157843776276,0.20835662459224075,38.462563649568004,0.001233781106931461,0.012892979695307262,-0.005540623501579229,-0.03145962112646985,-0.01148835521362368,-0.0076699678030278
600,33.526069406070164,4.584432387436943,0.3689272340340752,0.44312397971033585,1.6604031846253415,2.2957699808356096,3.554318347750408,0.040521871806171846,0.03842653317964398,0.08724865712843852,0.04646865197291748,0.21632073297070983,38.404101439796385,0.0018135021808376257,-0.013284066662312716,-0.022038859429534954,0.03268750118102526,-0.02263417304015353,0.007450836505568071
700,33.53517232717821,6.061807834909707,0.3831077359883379,0.4586684622826223,1.7135075815076406,2.743100741417715,3.5370129992722457,0.03783991008216084,0.050690811865409184,0.18306328176887832,0.053584987342407166,0.2631469930309905,38.41403926510254,0.002378499663212667,0.014174135356504894,-0.001997951248175111,-0.002199074797781249,0.022471555926155108,-0.0018848860629255462
800,33.396011866952925,6.263991292299723,0.37667154356315596,0.5089456521303275,1.8674515086432302,3.047172498555363,3.5052876387201253,0.0398322368760974,0.0528396465085232,0.20506981038623232,0.059067937044231085,0.2786012930462118,38.40235534126486,0.006688812149240404,0.0020618492462606726,0.019686816168339696,0.02079225855814259,-0.003047853600617021,0.0027732787643659444
900,32.43706159728967,5.311145261518865,0.3899751354706233,0.5116351667834464,1.9157410771352463,2.721719403140678,3.38626155175607,0.04109467633995173,0.06153322858761205,0.1346875363478618,0.07325199453973973,0.2699444793911535,38.52737453268043,0.007767005841892898,0.008103484573097145,-0.007019079846223712,0.0005130974262486415,0.005289680171604267,-0.007300860697223194
1000,32.27138376086668,5.5659599596995255,0.40276555093994204,0.5480782818659015,2.0563480090227557,3.1121201727753,3.3401813910919484,0.04441737595616709,0.0533455840053193,0.2647773666141797,0.08893752716355398,0.3226836726691719,38.4753402215238,0.005979075058546255,0.02084042900996918,0.03019894364380142,-0.011464722083536882,-0.00024061225946648418,0.009747661129911362
1100,32.119526932516386,6.789701868238216,0.44230012672125746,0.6496761914525921,2.0554708111099935,3.6794511120932856,3.315983413312753,0.046095272916678365,0.06703870723482507,0.26087319264152964,0.11438661866959407,0.3121513743764619,38.44651499530535,0.011145802598939554,0.0037777374233750466,-0.010669678600099403,-0.01895016253801881,0.05175271307400035,0.0032124290402769096
1200,31.714209351726456,7.52189969563094,0.47414812301221604,0.727840787895738,2.2114754907871284,3.628433063729717,3.2968192918570005,0.04648505459795503,0.07209189274242934,0.32014278807502655,0.10870782824888271,0.3957990131368508,38.45997792913841,0.01030734770273297,0.009790730738076835,0.019360161597391668,-0.0025426358621485944,0.056177932798748324,-0.0018833188135091166
1300,31.476134532380996,6.970759604990746,0.4985108889241078,0.747521429579959,2.325856829730384,4.092358423254147,3.223090764650019,0.05030870334759891,0.07393310325673723,0.3400558287088372,0.143134245497546,0.40328390419309734,38.46101969849112,0.010669091736019765,0.009133713085022165,0.030805451070930495,-0.021391619246649486,0.04541043777595205,0.009051940493239898
1400,30.896259466038615,8.188591310382845,0.5301749087923393,0.8213706170716251,2.358747542401225,4.440483455072177,3.239950680492156,0.05126385991281697,0.08630325344145691,0.37288580323013654,0.15054289780699381,0.40735818797956824,38.300965502542965,0.015213195650931509,0.03758280648707528,0.017130835931790808,0.013224195504100462,0.09883471197760108,0.0048515291339265645
1500,30.454631151579992,9.458400460174131,0.5236894246656212,0.7755118333062327,2.6021125440767334,4.354757262717499,3.1367496407973285,0.05423066863269314,0.0915313264562721,0.47851652747647444,0.1603380186307586,0.45115674031185665,38.26734200032332,0.01409905566782523,0.04124611356266195,0.03148970437145816,0.03134918207823577,0.09202928730322214,-0.0008309391653934118
1600,29.87663297533163,9.978426605189004,0.5588038775021195,0.9285099942739908,2.6514775147953396,4.703347037322483,3.062952781297147,0.05859661811401773,0.08481931283782566,0.4853892578231101,0.19745539246667712,0.47162811370714114,38.22113249790927,0.015305656044175572,0.03366662718840219,0.04588736491162876,0.059942588699901524,0.10047982117588158,0.021187293897958304
1700,29.513824547955583,9.164892233849912,0.620751153974098,0.9309559644070502,2.785998824814687,5.097202259764153,2.9877690016812455,0.05956940614431173,0.10065161694825275,0.4722603530447188,0.21126315244337845,0.4877688071834498,38.293906058825115,0.018118635623932386,0.06409940229253983,0.06179148280587059,0.02119204994085684,0.13238594530343556,0.01853542170333721
1800,28.198983195292676,11.23333309064444,0.6350328331353098,1.0588236509756077,2.908917505567637,5.6016948869948955,2.9448170083659666,0.06296975376749603,0.10899256953351219,0.6113168393185795,0.21009547729709513,0.5588936418209645,38.168084352354334,0.019975439520444373,0.05310394699680497,0.08655267401550204,0.031883462947146016,0.13439396775700133,0.017033554304606853
1900,28.258073659894468,11.147382583322145,0.6676796778131715,1.1212315644706394,3.030278509529174,5.543833309311995,2.8893593117746326,0.0645993068577998,0.10776078792722223,0.5949656449678531,0.23741572925809254,0.5399709088811556,38.13647135996148,0.022736709225739483,0.05832282977443157,0.08180742756329556,0.09002572436101605,0.15671317529287163,0.030633873825100712
2000,27.506319602181264,12.741292283835879,0.6854188791903515,1.077946824457785,3.2296333185886215,5.909478342385856,2.8145840347721163,0.06916769523248839,0.1160757150009908,0.6768968071924942,0.26797255931667086,0.594885472968881,38.17093266395404,0.0235975662778708,0.07089747889290833,0.0934757725611017,0.09314802000614358,0.18406820938812787,0.04110799125351597
2100,26.251790718222317,12.94864543529827,0.7241352831374679,1.1994098883660194,3.3463376226038637,6.293228773807439,2.7858371136816227,0.071227482047506,0.1311445707522691,0.7928913833521948,0.2864787106610871,0.6104629431388344,38.06673325426493,0.0252721070663368,0.1052236556553637,0.1046017660722317,0.05982549862928221,0.2165484948330382,0.03884883615653571
2200,26.435107648992982,13.296287517031027,0.7623602997938969,1.3021620400451408,3.56358685701294,6.779319007853657,2.749974368187433,0.07428480125416721,0.13050994666650514,0.8465040153347164,0.30553663891841887,0.6789345489918368,37.99536959991998,0.027686511273446013,0.10812011260900523,0.13108385525926636,0.12271093651741427,0.22803442847354663,0.05242253680579362
2300,25.05778618273058,14.454890113456317,0.7926825419255796,1.396383408655397,3.7167819318049715,7.549094129439547,2.670568946669788,0.0795232123775313,0.14186705061110733,0.890133350747263,0.32215309254846924,0.7188783320376211,37.90121110389096,0.031049741916460476,0.13402138453955784,0.13999768877289193,0.08806491400393263,0.2674542482058383,0.05415579709820144
2400,24.47757430929668,15.081678799317103,0.851932409989361,1.4424162543772752,3.8706354000039895,7.550939573812016,2.5572626077975493,0.08137074018043636,0.14874395000345517,0.9329230494839156,0.3503452251747925,0.7393581425925925,37.8642846992726,0.03183296005576655,0.14378731942757642,0.13963808607063255,0.17236127335951376,0.32848829409511315,0.06356709800581864
2500,23.68717039553413,17.788515202374278,0.8896733190890604,1.4700917108824805,4.047439537473984,7.8485264545545546,2.5274970156900705,0.08641270832961664,0.17054016782909234,1.0629868557124493,0.37040519310693004,0.7790849785001522,37.83145174478146,0.037042091617485756,0.14817308865271245,0.16737486468018467,0.19136925669211594,0.3225618807874927,0.08097481077156203
2600,23.048286570938572,18.48016660282147,0.9385420589658741,1.6918175990579627,4.1607578811630415,8.511038760450997,2.3788120264972434,0.08822444740131748,0.1665656586372234,1.0489120667071588,0.3867783088724947,0.8550760431794528,37.666999731454794,0.03775505304465467,0.16342937753443482,0.19140828442986954,0.1795029054924625,0.3577768226378024,0.10938953708524876
