milliseconds,SPB_B,SPB_T,Bfa1,Bfa1P4,Bfa1P5,Tem1GTP,Tem1GDP,B_Bfa1,B_Bfa1P4,B_Bfa1P5,T_Tem1GTP,T_Tem1GDP,B_Bfa1_Tem1GTP,B_Bfa1P4_Tem1GTP,B_Bfa1P5_Tem1GTP,B_Bfa1_Tem1GDP,B_Bfa1P4_Tem1GDP,B_Bfa1P5_Tem1GDP,Bfa1_Tem1GTP,Bfa1P4_Tem1GTP,Bfa1P5_Tem1GTP,Bfa1_Tem1GDP,Bfa1P4_Tem1GDP,Bfa1P5_Tem1GDP
0,7.710387934691752e-05,0.0001584325190533231,4.613195665228723e-09,-4.2629376054468797e-10,-1.9079262800094824e-14,5.747212892716769e-08,8.543552564414594e-09,8.413582567543546e-05,5.532563643053739e-05,3.7891247701721947e-07,-9.836426873296341e-06,-4.6650109784270176e-07,3.268223593318661e-08,2.136463770488029e-06,5.083501646838801e-06,8.591398226619076e-10,1.2564178154119367e-05,1.5670017261506457e-08,2.585588098910996e-09,5.6129809747350805e-11,-4.550651580878178e-14,1.2454366556024469e-09,-3.4504310057596667e-10,-1.8536206749320895e-15
100,5.3272303594889064e-05,0.00015415816847482214,8.678522616377686e-09,-2.2162185795370612e-10,4.7523267366433957e-14,3.90342424405052e-08,8.129442519736615e-09,2.7138171986162843e-06,5.255974406128483e-05,-1.5132613092678646e-08,1.4210603949414698e-05,-2.838106510034505e-07,2.2764059417441293e-07,9.55832781527148e-06,5.339423339795509e-06,2.9188744223233074e-08,4.7214608566031534e-06,-1.67102495478558e-09,-5.704000012832183e-09,5.343517765233042e-11,1.756857399029393e-14,1.2834897327966773e-09,4.0931318045149364e-10,-2.1503221296706405e-15
200,6.864372150374758e-05,0.0001548368304492988,1.8293228466737918e-08,2.4362853643556756e-10,4.782163951468647e-14,4.90698583183227e-08,6.932650870041361e-09,1.1637296415686037e-06,0.0001253421341840961,1.633445380115733e-07,8.550801488989033e-06,1.9918886520556053e-07,2.5920362592255675e-07,1.43785055026014e-05,5.08595283629113e-06,4.693672569381533e-08,6.777237344564097e-06,-6.7558711014542725e-09,1.2041115275511668e-09,8.786803119745968e-11,4.814012747539854e-15,1.691808602229997e-09,5.432360189512195e-10,2.338702247770756e-15
300,9.876186208590083e-05,0.00016066032880760527,1.534691847485302e-08,6.044496877199451e-10,-5.2810392423221954e-14,4.055070697805436e-08,6.056160427764887e-09,1.0323670607799498e-06,0.00010868863028796863,5.712398342558675e-07,-2.471184809410897e-06,1.138306389430798e-06,3.3780956926249774e-07,1.308406409518271e-05,5.0547535375408684e-06,6.037713935903675e-08,1.152384989111495e-05,4.940330878675378e-09,-8.548033678240732e-09,1.3512133681445502e-10,6.903988166323973e-14,1.1151775147380955e-09,8.824742201185444e-10,-1.2902406223000953e-15
400,0.00010352635526706332,0.00016565835959334206,2.547768149755942e-08,-7.177055797298457e-11,3.081775706545753e-14,4.9292540184277625e-08,6.740701110301173e-09,-3.0710629212835487e-07,7.217730823048123e-05,8.088602028484346e-08,1.1821200962624567e-05,7.138349036656848e-07,4.048320644910922e-07,2.1433447493546494e-05,4.785739476805866e-06,7.085753293431083e-08,2.0877814381263282e-05,1.071303045797352e-08,1.0068933494995763e-08,2.13657630616042e-10,3.6595060892699003e-14,2.3758928145602654e-09,7.325939707446074e-10,1.0522391459356942e-15
500,6.793647670793736e-05,0.0001541093639696548,-6.6385557514756395e-09,4.5452443601854637e-10,-9.213339506847231e-15,4.852190838474363e-08,5.298346010977076e-09,7.903743577768934e-08,2.820263484022873e-05,1.4117675492695546e-07,1.1277288147040232e-05,8.885914216582041e-07,3.7395561220717495e-07,2.1056177364287926e-05,5.077618185630408e-06,6.861973897322618e-08,5.1457481949371666e-05,3.355291667046739e-08,2.4749895705950752e-08,1.683010275143391e-10,7.875338148240966e-14,1.017642276061713e-09,-3.9426193224733925e-10,4.3633702768347923e-16
600,7.63522083690359e-05,0.0001666515172655247,1.22118357095616e-08,-3.743106782053641e-11,3.349914246026191e-14,4.860280890494174e-08,5.700470494640895e-09,-6.128709931099644e-07,4.903314290456697e-05,8.551610403968782e-08,4.284536391765727e-06,2.4709570997829037e-07,4.144613733405782e-07,1.9042285961325605e-05,4.857625979883305e-06,6.698912884604547e-08,3.2618038824363787e-05,2.2192965128856096e-08,7.214065636248132e-09,1.5062476465172902e-10,1.154164474909741e-13,1.9891097866998046e-09,3.9655258796548187e-10,1.5384706622645106e-15
700,7.032791049136116e-05,0.0001610585272611912,-6.450306789084972e-09,6.033619215673976e-11,2.942546268943878e-14,2.2313941579744496e-08,6.2004545473319085e-09,-1.5365114779414041e-06,-3.6836271931674374e-05,2.866775555776615e-07,-3.98903012332382e-06,6.979283020751787e-08,4.1997603611689653e-07,2.3686577825496326e-05,4.897463921982944e-06,6.533425744415615e-08,4.428970845980876e-05,1.8815935560244853e-08,3.6048319002832457e-09,2.620146342436195e-10,8.62824569111956e-14,3.3034060589859875e-09,-1.6050052757329e-11,2.117709514457579e-15
800,9.061408611594933e-05,0.0001599942479983134,6.3214442402000225e-09,2.876939055461372e-10,6.51905340448211e-14,3.484354827415561e-08,6.02528960219901e-09,3.227069920240774e-08,-2.6189480857341148e-05,2.458874395700573e-07,5.055549818450937e-06,9.948528585340677e-07,4.0708257252928694e-07,2.258960044155314e-05,4.2367568028549676e-06,6.384291398750786e-08,4.752513722815407e-05,4.2691153556424864e-08,9.48345480098252e-09,2.565219599869753e-10,6.295833540576548e-14,4.382824100241229e-09,-9.352367755016767e-11,4.684797403441675e-15
900,0.00011262227809306937,0.0001675629016450236,1.1587489747107086e-08,5.705155628734394e-10,3.82318199287297e-14,3.546721889158139e-08,4.408434942769215e-09,6.072851460074234e-07,-4.5582379065633766e-05,9.686905899384591e-07,-5.3536271219723e-07,1.0348877723373677e-06,3.5930795496325486e-07,2.814362494841891e-05,4.653344573995076e-06,6.090207500326704e-08,7.599723608045779e-05,1.4275196727158141e-08,2.340809258526376e-08,2.165495434009469e-10,1.599395925846194e-13,4.1979236532962554e-09,1.1778148765513468e-09,5.036494935215299e-15
