milliseconds,IL7Ra,IL15Rbeta,gamma_c,IL7Ru,IL15Ru,IL7Rb,IL15Rb,IL7,IL15
0,1001.5213686541149,1002.8247801810446,100016.92209679772,-2.418826860306277,-0.5166814560665999,14.291731099329102,0.16880600931170087,6014.98641062209,601.6490099203849
100,209.53774345450316,191.45337697604535,98388.45242720988,740.6291263085732,801.352015997868,64.44960895868563,1.0931696511255038,5951.581631195997,601.5044405636216
200,37.78377247938752,29.632043176798852,98065.3285949684,847.2773413165781,957.3333845580678,122.28567331945001,0.6905841837675734,5908.520991419676,600.4483295131505
300,6.927017628219466,15.184893940035032,98044.14630991816,787.9701293664832,991.1925175774442,220.32182002646874,1.271576653360301,5838.9008568142235,599.0707926468172
400,12.885168521679763,18.5109172133957,98030.5356543259,710.1876978285179,995.2891670149678,282.82340735711875,3.4006710794321338,5750.909232341932,598.0434680162066
500,-0.2803004631537851,11.636502830843629,98035.98269186447,665.0269865332556,976.8330341997107,333.3089957515762,4.857527199673205,5699.471408425563,597.9062752812888
600,16.510799647091464,-2.5352073480259483,97995.98399393866,611.1400156567482,991.3248485369027,371.2581273963483,4.39046526369366,5610.6668135783,597.5835834345268
700,1.956253781606319,-5.535338193310518,98036.721346648,546.6074704465119,976.4562300082664,450.518862387584,5.942335140750892,5562.758069515956,595.3886897396549
800,15.684270494887384,7.026655719863455,97990.10078948541,524.3628424507868,999.5615941598281,502.31405393371216,7.548357828639876,5529.571279964279,595.6612526417223
900,5.69265939643916,3.1776620154528588,98012.76675158377,463.16704102201504,984.8410782583587,527.9047787720293,7.221026662089276,5480.294827990991,594.5803284278364
1000,3.7243399954105563,-2.9745043456436964,98027.00141860225,417.2690970400869,986.0227546004754,561.4401721475936,9.16763105600328,5446.248446660484,593.5539820370673
1100,-7.1902356142909545,6.221287633271938,98034.09222309638,409.69729477431764,972.7263655458453,613.097206036642,10.535803580850816,5437.114938683971,592.867928614754
1200,-2.047939476055364,18.532843359099473,98009.43070379108,364.98160266441994,994.5100388003907,645.7056510796758,11.161017468989435,5391.950025184137,591.9062416974874
1300,0.8159980764144712,10.728384207404652,97997.19339839136,361.2569435090091,983.6213606196392,630.6486109795952,11.956933912793012,5395.31726008816,591.5056656512235
1400,10.23690729173637,3.533778850534236,97991.03608736246,310.15471901972364,974.4860133595282,681.6259597441846,11.500941522044492,5350.304924101784,588.9188821222331
1500,-5.645666805084382,-0.9732946505568449,97981.40284139822,301.73573912967214,970.9158243832077,695.9672386255776,12.042847172377556,5330.328425229417,588.5292136006833
1600,10.328390841076049,8.655136319181569,98030.01584239957,305.4034160291075,967.1487228463557,725.5951506398235,14.697532107088051,5306.699592723395,587.6354699325552
1700,11.139309082145024,-0.095319625981932,97983.03588921852,288.3445867624058,972.9517080798362,720.888616227313,15.679824423065593,5279.930977535491,587.9650490814734
1800,-3.0959552997148507,-7.939039098073917,98011.94874394074,249.1990963683014,973.6063281078721,746.6996837312433,14.62827040757395,5267.818155755928,586.8472434618296
1900,8.161618429464419,-5.397035332196733,98029.67880501598,220.0771594556702,988.4527143719667,765.5744829276144,16.372171194915474,5245.166282778751,586.9367793920575
2000,1.3222795689015485,-0.5008873857590226,98027.28883347838,232.59424434673755,967.9958035128303,760.7174790871537,16.645280715169584,5257.815521768753,584.4090144695685
2100,-11.486371592113958,5.879812190746788,97999.77243708825,205.58808818503266,967.5424939500244,784.433791732627,17.765787224660233,5234.908419077798,583.7338352152602
2200,-2.2019387731328943,4.298857601440887,98006.15601557064,187.66620840769684,970.8132826446001,806.1717708516337,17.699767217855463,5217.180107946062,582.5220723724966
2300,-7.347075634672762,9.724399905466266,97988.78476376488,196.77521671361737,963.2674556166205,803.2569133334493,19.223937088293766,5240.804212655677,583.7091594865752
2400,-11.935753920137284,14.529789626222927,98008.29410662252,171.12805724359723,980.8482190717181,822.2753011215462,20.16417212484627,5196.890718733968,582.2564648797638
