milliseconds,C,I,R
0,9009.260764752165,98.21639795252679,982.4539823823234
100,9250.584174316298,100.26652890957644,1033.0938659467752
200,9187.54580608206,101.69309383739211,1017.9761742939893
300,9555.326679563757,106.53380922176517,1049.0699831735192
400,9627.141963667977,105.96348035569163,1076.5187174362459
500,9957.440705683643,109.39247605645551,1120.6831768969469
600,9979.84858511134,110.98444273856437,1124.81657233223
700,10399.577676527028,112.57988341159623,1162.224099063875
800,10628.142977121377,113.41433734535191,1174.9073215650553
900,10514.144241874395,116.66459381840858,1205.2374892244175
1000,10873.291139352514,119.06147424919234,1205.1233448546154
1100,11231.41753965422,123.4451839355655,1239.0793807465311
1200,11457.3415731945,125.61883329737633,1232.750670629837
1300,11337.81005025059,127.67265135596804,1263.460695091301
1400,11827.152142585825,131.23204089916175,1307.5302148322446
1500,11815.047389287212,129.75556597140852,1335.6853173295342
1600,12312.515390244222,134.38633400723063,1349.8773224803767
1700,12506.491854769207,137.48184189469683,1373.2185397871317
1800,12708.68297427515,137.56548669974643,1397.0414830449097
1900,12733.567861913823,141.20252365128167,1446.3975124718079
2000,13039.13948920043,143.69859158281085,1476.1459754882987
2100,13229.018160007123,146.57742963434904,1475.6461875019854
2200,13531.942282729557,150.01805387387236,1529.0541480170525
2300,13666.624267416406,151.58303206836146,1526.3099021566554
2400,14273.65721492898,157.51328609464915,1581.3856889588471
2500,14177.527734730222,159.08750941660688,1577.4799914352227
2600,14784.727275408926,159.19076618159244,1636.878717245807
2700,15063.641286191169,166.48355031288335,1649.2074218941125
2800,15343.129010789818,165.87409962284673,1674.3794362332815
2900,15489.400684842507,168.57853105616877,1697.9166246644527
3000,15574.615626368357,173.79474477591845,1740.859333753424
3100,15897.58462446652,177.75619476241332,1778.6763167836289
3200,16287.539407305861,182.48576532042264,1795.6857434880935
3300,16510.847081064498,186.09967309960484,1856.061992824929
3400,16982.862673846103,187.41689289359437,1899.7841933712414
3500,17413.924645830826,192.65812072403224,1921.039955231564
3600,17726.25519680162,193.5447130498424,1936.295798282999
3700,17857.278360484004,199.386675583507,2002.8160995647922
3800,18057.812991961076,201.35696545267461,2015.834625213419
3900,18535.533167909496,207.12459053939955,2075.0454566872677
4000,18775.505481376567,210.95678801365352,2088.9622508909492
4100,19377.693661695852,213.11611347928795,2155.47187945199
4200,19460.588307588674,217.56452813837834,2160.1162875201867
4300,20089.919484758513,222.31650881806152,2208.4482382564315
4400,20155.632868105942,225.75897117993406,2234.777044872202
4500,20718.608003324163,232.66032900398778,2293.348118476438
4600,20964.565543280238,234.5318491744853,2320.243869413904
4700,21372.75196855039,240.0662960781187,2365.297034679388
4800,21755.17234963053,245.83879908789328,2420.9364303281545
4900,22134.80894646374,249.83439560069706,2478.658180311303
5000,22726.172295878423,254.3574677275653,2483.5484596638616
