miliseconds,C,I,R
0,9168.220154065584,99.39475404362516,977.8755827423286
100,9177.129397082836,102.18605848114693,1041.0029160430593
200,9361.614783452327,105.4098425394691,1055.17225021876
300,9471.78043129884,103.79522920520229,1079.9983270704172
400,9562.529706608711,108.03016273818896,1083.779063732611
500,9756.932729565006,107.42914184112037,1081.5718844037988
600,10137.565557490858,110.74008070471521,1102.2898843833473
700,10215.466423905089,112.73053874167647,1135.2762425241772
800,10345.257768594056,113.66408912653966,1157.0568652006543
900,10780.340202941825,117.42177570195122,1183.949745304212
1000,10944.023367150305,120.57595008848092,1186.1448207152341
1100,10923.545927953879,123.69901564091066,1214.547558781551
1200,11343.59513450694,126.22713585344574,1237.2704459526026
1300,11368.36122840043,128.29464595368952,1267.9007152636482
1400,11587.966693082177,126.85308157489963,1300.0049775005573
1500,11995.46128442482,129.69650459207017,1322.122063780262
1600,11979.802220230375,135.3853546590302,1366.8741911631178
1700,12389.711678896434,134.63043000106512,1380.387110156469
1800,12819.670413518928,141.152093359973,1410.0273958063938
1900,12934.6659756276,140.69538627276546,1409.0866005085138
2000,13083.646569701059,143.4983467835466,1456.9952057609519
2100,13550.021587794381,147.31187166158995,1485.3120280923945
2200,13555.485594207481,148.6808741104121,1497.0296771608275
2300,13831.70743710456,150.4342561937105,1544.520829589285
2400,13974.158276385666,154.6474552371655,1588.80084609495
2500,14464.861890727252,156.29490329279756,1608.1609608858876
2600,14594.249547697065,160.08391200250122,1635.5342766510255
2700,14742.56548285027,165.3274138768894,1667.9333095881243
2800,15290.293208207268,166.63104296757177,1672.7392952303865
2900,15669.314089394651,170.75270402410723,1728.328324422936
3000,15654.118221236324,175.67659198360852,1770.8218489528288
3100,16026.407964571643,177.85360665343748,1788.2294569644737
3200,16306.900142977056,180.0083509735264,1800.7626554292076
3300,16773.15317448972,185.0595547456072,1854.6064252858318
3400,16972.668213981313,186.78333736736118,1861.1100221783786
3500,17062.37172280839,191.98822376117417,1913.3935425320044
3600,17463.10326984473,196.23220562838407,1948.9021342296226
3700,17789.99589123689,197.47647072671316,1988.3290397606752
3800,18048.81902103475,202.28966207819684,2036.897842497884
3900,18499.08890467054,206.4221846009908,2072.073407998592
4000,18718.01733666401,212.0226398990131,2093.792417747763
4100,19370.553566596143,213.83249349135423,2120.601031836265
4200,19535.016495845113,218.68580633779192,2156.7733748478245
4300,19903.038311600507,221.3686075742995,2231.6682501470564
4400,20199.45691643733,225.50321163921592,2254.9475764271424
4500,20777.232981084668,232.10987780157856,2314.5238739251763
4600,20998.1068906152,236.02451204964194,2333.8452696671875
4700,21368.694562072054,238.37270064795345,2372.849732269052
4800,21767.384843453565,243.2854381555976,2431.813619963058
4900,22226.84377468951,247.18532290568302,2481.7802251768517
5000,22446.888735657933,252.5830378688312,2514.5433125662917
