miliseconds,C,I,R
0,8917.557699396015,98.61079189387,1011.8558843001277
100,9222.276491541114,100.15250643153561,1037.6399514894667
200,9428.088784387115,105.55025615928722,1052.6295175128212
300,9448.216321149375,106.66484660204154,1065.042953363354
400,9862.277154137331,109.36797596717864,1078.544343691558
500,10076.417333292955,109.56492790957087,1100.0951353483463
600,10148.978327361356,112.86228445141707,1104.543137459975
700,10447.0566971327,114.30603584595501,1150.9204201388682
800,10608.606876268095,115.74649982459489,1184.082902880324
900,10484.614928179624,119.98452574990425,1199.0797232284467
1000,10952.329219720521,120.39338807046657,1187.2071167823167
1100,10997.418123567473,122.15124172023361,1229.7266333827934
1200,11481.719020926574,123.95188620592555,1265.0046758956903
1300,11518.273228715447,128.05801752194947,1272.878971186189
1400,11626.281477337245,127.66935560846396,1291.8906567242668
1500,12113.196052034793,131.78464181464193,1344.130169732989
1600,12221.584807430096,134.77457815313608,1355.9745630180191
1700,12213.986536481809,134.2792148344313,1358.8383695347652
1800,12630.83717275949,138.35325655220956,1383.5017646175636
1900,12980.549434902483,140.34877094437883,1450.2972263760948
2000,13253.811343428626,142.72408283928843,1447.249547430966
2100,13322.814727531657,145.38617090622014,1481.5913517677839
2200,13491.523606144765,148.47261434066698,1506.6500456432175
2300,13958.033415530434,153.13103018467584,1535.8553804669566
2400,14305.330649738746,156.3518418241484,1581.498836141107
2500,14269.191475559963,160.41540067101948,1614.3395008244051
2600,14488.077910411477,161.0162597258782,1627.9859102244952
2700,14866.90836301489,165.13165782972808,1672.1430742672949
2800,15090.325688260576,169.48974365286182,1674.9094973652113
2900,15372.936918158464,170.26594566255943,1698.4896558357136
3000,15699.896066952102,173.42418941267783,1756.9692857448597
3100,16064.039209463901,175.76017552345843,1763.0291416929344
3200,16486.754957748737,181.15654284557854,1818.5025592834493
3300,16597.177292062268,183.57017299153767,1838.0668547071703
3400,17065.16208166407,188.26215981336188,1896.8351649920667
3500,17157.549111074266,189.15043887290614,1914.9398821254804
3600,17556.396752669494,193.77334081103547,1955.5414982615243
3700,17904.078827273635,199.94727822714742,1978.7607892323097
3800,18031.587550254237,203.40886890159746,2045.6991173049096
3900,18471.639936356012,207.60322394722925,2048.754536086571
4000,18813.52348369544,207.57897949539944,2083.631375112743
4100,19403.83411289531,212.79382719013364,2121.6778100359484
4200,19592.47796977908,218.9196724362074,2163.7753423349013
4300,20028.35533507736,222.37969916763922,2200.3215811067485
4400,20187.673275270277,226.02340273789474,2248.282825572984
4500,20659.76883169363,230.15782218333203,2271.974181022516
4600,20870.087255081133,235.0920107907703,2320.3922490378436
4700,21421.88607807658,239.6146385701295,2357.7537116973963
4800,21946.911114511084,245.6615089539061,2426.8025206055718
4900,22094.74937060096,250.37457499851652,2441.376769634824
5000,22532.01766314206,255.58181116141418,2489.1945706255237
