miliseconds,C,I,R
0,8807.490829422844,102.22407312259472,994.5072388311362
100,9144.292429254145,103.92463031356326,1035.680019784292
200,9445.292369766494,101.45735122037576,1020.8298119770236
300,9400.568172485833,104.51229408778791,1054.1618277343805
400,9577.474808241781,108.15178906906348,1066.6340768012778
500,10011.084156522264,108.1555823590116,1089.115905132945
600,9909.261500153576,110.90933912072197,1134.3513037908804
700,10348.376120570414,113.14993184292081,1128.4089068261478
800,10465.785968976521,114.9195834723794,1144.7410328180172
900,10741.912474005137,117.92280277494687,1192.0448880912122
1000,10780.235202813385,117.81134743627383,1194.5408499007644
1100,11248.52211453127,121.96830928149059,1219.8751034545123
1200,11424.442794642962,125.40974133541836,1276.2751424670855
1300,11528.409006369326,125.95566343717411,1277.7577662874694
1400,11772.537725149112,130.77829139724972,1304.16403232569
1500,11803.110277111644,129.26061199280645,1319.8744733737792
1600,12312.701051507755,131.78694031160052,1341.6863473301946
1700,12244.872456297839,137.14279178550336,1354.9975641135015
1800,12697.367445688837,139.72885030574304,1411.2525593835728
1900,12787.781811572184,142.59507254639976,1451.193372061369
2000,13233.75677349655,142.00784768122907,1475.8636898949576
2100,13270.80920996077,145.47812350099153,1501.6178425808807
2200,13787.817906457101,148.60853591955288,1501.8661626364078
2300,13786.707746156184,154.10130741623,1528.59762484929
2400,13998.450964671203,153.3808105960302,1582.1106084828386
2500,14197.636821966047,159.9982011239019,1585.3623928470604
2600,14492.660412595083,161.97040400549866,1626.1641449404426
2700,14916.823696617159,162.2513651737634,1644.6706394278665
2800,15134.453216068207,168.3173850230326,1704.9636714308658
2900,15351.398312355344,172.25232716091026,1718.8057530748222
3000,15819.064508971416,172.11579845052182,1731.913384317797
3100,16179.101946526409,176.761135263189,1775.4671093161871
3200,16236.058396479088,178.8595255333727,1816.8652323360718
3300,16635.3780820557,182.50163403799647,1828.561929190072
3400,16875.051915933018,185.66354727332464,1896.6055505144293
3500,17166.46395150995,192.60484354149057,1934.9901237633123
3600,17494.88475266281,195.72244692222807,1974.140139077774
3700,17822.799389697528,196.46189928309738,1969.1190363692044
3800,18386.26950737976,201.27722667457428,2032.9530984116113
3900,18389.047279593266,206.61483355735226,2076.8049773664625
4000,18705.622397506962,209.6395106835616,2085.900108031013
4100,19113.21335286928,213.1366251814623,2153.5381615779893
4200,19447.77455546983,218.25246156640435,2195.226313186902
4300,19767.536463882818,222.06844690959826,2200.7747445580085
4400,20432.10189611425,226.02937341616934,2255.420048299357
4500,20697.809882948306,228.59014631935597,2312.266531444683
4600,20846.594806008605,236.6763820501436,2342.958039503537
4700,21340.19287454458,238.94464734645155,2380.2891040491277
4800,21922.545364443336,244.48638140912587,2414.788653885309
4900,22326.437033277816,249.31022516811916,2457.217806254163
5000,22392.957329821438,251.92502509266052,2519.2179195236404
