milliseconds,C,I,R
0,9118.504688278279,98.10504536039426,1016.3051555521611
100,9363.467631543037,103.63490157940882,1027.0681897124402
200,9150.363114308808,104.3971888377224,1021.6125826325422
300,9593.4065869922,105.1472445461321,1075.6175556344738
400,9891.830984596889,105.3300929478076,1087.8331427801284
500,9871.22464981276,108.59384939480816,1092.226099413063
600,9918.087956833755,113.03779263997143,1122.567352770718
700,10309.013678661158,113.34199514792138,1159.0912595928671
800,10546.351137190755,117.68630502420085,1162.6639666327962
900,10536.930191170564,118.30210897773408,1191.203641034866
1000,10938.213813179982,119.8168849269944,1201.6934428282427
1100,11252.787355201432,120.55731046744785,1233.9989400132458
1200,11216.077741732322,122.32114948930983,1255.9121180031123
1300,11495.462706095896,124.69378772278279,1263.2116987471318
1400,11644.814313483086,128.00128024164277,1307.335766308007
1500,11894.800904629208,131.78581423052202,1316.3225247633377
1600,12242.693460053375,134.56722837232329,1366.9975569955843
1700,12291.120117895902,137.13572982727732,1376.932494985059
1800,12665.746469620017,141.07218614357132,1402.8982436784968
1900,12737.031492021408,139.95327114471644,1427.8446674038578
2000,13123.204621507746,145.22389911648207,1460.6473209669748
2100,13432.633151660022,144.90145463221836,1505.3826696228082
2200,13459.709709107441,151.3498057072506,1524.2454385306999
2300,13710.459070376939,151.38531499611176,1544.4670307678389
2400,14022.719910818576,153.58460053114985,1546.2696943073245
2500,14389.481517553199,159.1590433888741,1612.6796302453276
2600,14587.776398504326,159.43323827970676,1622.236285312865
2700,14979.547931582263,162.1174911688735,1645.9485948737465
2800,15330.767734482974,168.19257024733972,1709.222488632271
2900,15379.525619786156,169.0944157178237,1703.6085394190104
3000,15651.74415233633,171.6259296737087,1750.542099958101
3100,16112.62219629988,177.18681186424828,1780.6724118834245
3200,16348.026571881634,178.13056916568627,1823.1422661765455
3300,16661.34644952924,183.39268095048897,1844.2417717508145
3400,16813.314603412025,186.43834481409385,1869.525184518182
3500,17112.965350245744,193.15232549490673,1918.1964026544103
3600,17680.495052598566,193.9684363198439,1957.2429086309344
3700,17859.828375895868,197.08025560599637,2002.888090710361
3800,18404.77254392437,203.9772293973568,2009.1588787519947
3900,18656.725380521246,207.33764857387325,2064.484314906508
4000,18845.60886041249,208.48379213671308,2079.4803736801114
4100,19095.092138066477,212.31392053089866,2119.6290951215265
4200,19580.652966572077,220.1522270573622,2191.212032061061
4300,19734.846791180436,222.82016861802947,2201.9607616295307
4400,20178.538622706674,228.09610038158783,2247.602982866777
4500,20533.222365835998,232.42480224138623,2307.8769169864026
4600,21179.468959599533,235.42877572414753,2321.805530911235
4700,21526.417929219057,238.6999872964193,2374.2651640373124
4800,21590.052463620235,243.3411752684555,2439.774899732591
4900,22092.337117807125,250.38550970170448,2481.770614429723
5000,22630.55138184049,254.31526711820536,2519.3717635139847
