milliseconds,M,Tc,N,Tr
0,3.9994844493330906,463.9989033714669,227.09228217860547,41.989968194244035
100,4.0003197579711225,464.5558887426085,227.0585190475153,42.03634547755141
200,4.001155497511332,464.7696487208982,227.32238145071082,42.07538813409397
300,4.002253872539329,465.7327648908769,227.45972925044268,42.11410049677686
400,4.003001976557169,466.63901870354516,227.51098523206704,42.141488186871165
500,4.003434388897417,466.7261786575969,227.72858334622182,42.19625045031059
600,4.004873934912255,467.31152268398296,227.89372835733133,42.202475660751944
700,4.005139210269671,468.0090064887553,227.86998269527245,42.25360067813319
800,4.006522937001638,468.42828169785207,228.09711142639384,42.286005296444635
900,4.00672086038541,469.08576543167555,228.28927002854394,42.327165193393576
1000,4.007419844509681,470.0505221642392,228.25635076426263,42.36343788575245
1100,4.008789870203304,470.19790535669347,228.5296535393787,42.40998046652973
1200,4.009587201359088,471.068088359983,228.5784435463361,42.41084798484415
1300,4.010625928680179,471.29420359566234,228.78670537833872,42.46001693269947
1400,4.0104479815325,471.63379056317416,228.95174254558555,42.48365833645199
1500,4.01201809757463,472.7670415668407,229.02945322800431,42.522465185059446
1600,4.012568827461557,472.8040567777906,229.13008525298451,42.58093628249484
1700,4.0136454204953385,473.5568662416528,229.20666412210744,42.61478285267667
1800,4.013901774928478,473.7766380378949,229.39708025470787,42.60942260176641
1900,4.015189170681185,474.78058178343605,229.52876697189842,42.67003754303052
2000,4.0155780258748,475.49824729679665,229.66877339308502,42.69149284760812
2100,4.016534107399187,475.5355014389387,229.7233281855615,42.73321258345931
2200,4.017566631361145,476.3759846562667,229.97696997299386,42.77186816037298
2300,4.01816050228535,476.51250116444436,229.95745115311826,42.77104661347104
2400,4.018602341316252,477.13795421066965,230.09720057919174,42.809231023532796
2500,4.01921612773272,478.1746048126343,230.28842668336756,42.84286598692609
2600,4.019895023361766,478.8060349212302,230.46492749642584,42.86989951345069
2700,4.020872045745669,478.90560138950434,230.53414049344894,42.92436009679866
2800,4.0221474718790455,479.8613122498514,230.58328755466772,42.91790787188689
2900,4.022603333039868,480.1170204415146,230.78350914396813,42.94531275266706
3000,4.023093701365177,480.9424658391563,230.94132850423006,42.98097095986187
3100,4.023800014538227,481.4714910897673,231.08264210541185,43.02013228751266
3200,4.025228355561729,481.3372103065089,231.21342566226454,43.04518622137655
3300,4.0251464357841344,482.28743486004913,231.40549430273657,43.09130740191302
3400,4.026924059400204,482.57635690148857,231.5065015518738,43.13007127334571
3500,4.027466745551851,483.6063203125744,231.65319606266718,43.12536786338226
3600,4.028066213767838,483.3862861532667,231.65417083438098,43.18469361137994
3700,4.028813841054693,484.5014139351482,231.88378172253755,43.18396022221029
3800,4.02984629331784,485.0257829173777,231.89202059925776,43.23198448700405
3900,4.030561483395269,485.0878438019633,232.1573723861386,43.238682527700924
4000,4.031368241045156,486.08149766140497,232.2577013693263,43.28346793533563
4100,4.031215336251808,486.3098107698077,232.23317465015734,43.29505194757377
4200,4.032531689136705,486.83564111660064,232.45294057646876,43.307525236976744
4300,4.032766255581235,487.2766106780735,232.55616247788447,43.347019628657925
4400,4.033801592888255,488.01360470004664,232.73083092199712,43.37098635099887
4500,4.034587134705585,488.0300644921049,232.80700261577314,43.418153112277686
4600,4.035047707101081,488.41261824235926,232.94148994762915,43.44663470090654
4700,4.036617210354101,489.46477585853535,232.98291669834035,43.449443444910905
4800,4.0374904216733905,489.8174524567998,233.27600081558205,43.48258687900972
4900,4.037437810962402,490.1472853174534,233.3978252391288,43.51173297956044
5000,4.0388784774659605,490.6770349857701,233.35414028948833,43.53111152809606
