miliseconds,M,Tc,N,Tr
0,3.9996419799278167,463.80247937995307,227.07163017157242,41.98290760661301
100,4.001216213752236,464.9024034269773,227.05811676715314,42.03728725807655
200,4.001024873735938,465.45073641494275,227.30054573557072,42.054274979974096
300,4.002058733983086,465.86444909750986,227.45514470344534,42.132522742391295
400,4.00305455870795,465.9234256114321,227.55476688909283,42.12411855630598
500,4.004508981415312,467.27771710935014,227.73233083251054,42.18547995124767
600,4.0050874904868845,467.80577934755075,227.8591075983939,42.21863060232181
700,4.005360035003706,468.41100579577085,227.8948928288785,42.27198915010396
800,4.005865410132472,468.52737733143084,228.06823573108443,42.28806904758997
900,4.007425970548924,469.1747998402725,228.24974264062706,42.31498387798141
1000,4.007981646377781,469.524097383622,228.29198109240508,42.36558433267856
1100,4.008278091449947,470.25851062985794,228.4788465534169,42.405270525284024
1200,4.008965733557436,471.1264724205934,228.51330044482148,42.44623667293055
1300,4.010463424717203,471.6264156465123,228.72257536796488,42.44452775441888
1400,4.010963382336864,471.9862925897205,228.90476401065834,42.503581238614366
1500,4.011653241779282,472.36231065254555,228.95688912294818,42.5261607660285
1600,4.01259519514016,472.852680538898,229.15615685844799,42.54333535885153
1700,4.013774702193221,473.7010611367906,229.32678368870674,42.597679323370585
1800,4.014678521503851,473.89201016639606,229.3235622341868,42.608506410305964
1900,4.014808379908863,474.7754177646171,229.51332425415723,42.635813687661354
2000,4.0155555012964035,475.5165643772181,229.58485694371234,42.682219780477176
2100,4.016637697230578,475.83525558905905,229.84923910447387,42.740169113127735
2200,4.017440776843665,476.67610985452103,229.95907479174974,42.74034768816956
2300,4.017453888412406,477.23331142335115,230.08345519849655,42.78350777609828
2400,4.018698668777566,477.7241924867429,230.19203665834618,42.79228420173598
2500,4.019057942994064,478.1304221128701,230.30669226770112,42.823856577582504
2600,4.020763318993813,478.2672361614622,230.39334747586386,42.87655373136351
2700,4.020951493866502,479.23429188206757,230.49620569453953,42.91253949279184
2800,4.021679817383203,479.4355575765409,230.7409422871482,42.93351289458665
2900,4.022959692971533,480.05320711542424,230.7297569706365,42.95100599858788
3000,4.023763170757709,481.00323822659493,230.9705159191812,43.012169546189405
3100,4.023566136551339,481.27570860868815,230.96996104502858,43.001253324564026
3200,4.024504338740091,481.4733041464965,231.1773127161528,43.037381729732516
3300,4.02593369739467,481.87064900146277,231.30873670197175,43.08514760303115
3400,4.025956712277141,482.9924603111041,231.535432008924,43.12944010334323
3500,4.02749114254966,483.585133472294,231.59922986113853,43.144798991116126
3600,4.027622079285515,483.9760846191749,231.66022762414775,43.14213152235434
3700,4.028170900729431,483.9570905246279,231.91053795210095,43.19750941184337
3800,4.029648375996438,484.4914465720413,231.878280007413,43.217811886684245
3900,4.029795175874747,485.59410796525395,232.07032977890051,43.25169211842909
4000,4.030827923733919,485.4793761264899,232.20302244174388,43.259858652976284
4100,4.031848742514724,485.89448677969636,232.23972315707184,43.28370550441595
4200,4.032072647967001,486.49741407277014,232.46569812336716,43.34676692779058
4300,4.032957853845915,486.9504765935791,232.65306363889948,43.36768621479543
4400,4.033587925701392,487.8708219556939,232.6704773586823,43.39598977582154
4500,4.034653964171845,488.1981567948628,232.80860885619725,43.401875653968
4600,4.03500952805504,489.05225672678245,232.91363029278116,43.43264224640519
4700,4.036697132320636,489.10252233134264,233.17016557503587,43.46540484961754
4800,4.03642264650372,489.76725417963854,233.11880996394808,43.49898011308902
4900,4.037379423247118,490.6093356412535,233.23149801376928,43.489036584901775
5000,4.038834707682804,490.912999717382,233.42298197635597,43.515677840798816
