milliseconds,Susceptible,Exposed,Infected,Recovered
0,11080779.802686337,201.59858697968642,25.321148866965576,1.2889859588904589
100,11080760.95698664,185.8545208156763,29.29711028108855,2.5408860931265305
200,11080753.854584565,208.09781696657114,27.83686153106062,2.550772787310804
300,11080742.077621674,190.5078596900549,30.48248078498886,2.034463406833544
400,11080728.331702339,212.4939250194366,36.90833546026724,2.0589789067765043
500,11080754.760220187,208.48393957732713,43.93916773715784,2.2916336131664843
600,11080749.228582801,233.36839217681933,40.501059837771464,3.110488183307863
700,11080699.274881244,226.9636501447601,39.39814878878448,3.8351978433001936
800,11080728.727496097,247.1051213658859,55.4018661854437,3.736137960902732
900,11080711.464931963,236.1415828655955,49.40537718933279,3.437839052514204
1000,11080708.570477337,264.1271156209239,57.42547996340118,3.530610722726665
1100,11080672.22429195,247.44877138755695,63.259023990410725,3.451223490578987
1200,11080673.7825432,261.2660791827924,57.41372137287652,4.133736802707494
1300,11080649.649314355,283.44532724719636,72.37921391448096,4.774972699650148
1400,11080624.70437758,278.49662834957047,62.36333082486242,5.481945425315303
1500,11080606.845642114,301.29418928175517,73.11292116783015,5.986295859436846
1600,11080612.9271895,287.1761879825798,72.75968309005223,6.3487579584284015
1700,11080588.587369142,320.38496555138016,73.15530811685106,5.842667504559447
1800,11080611.852420758,323.7253430273228,81.49194193443532,7.351176595444398
1900,11080556.912064383,328.7774421846763,88.9773777618948,6.420833759984345
2000,11080567.880449971,330.74630078752733,91.98144274078005,6.909256716747828
2100,11080568.247475542,352.83584119276446,102.93200801407161,7.663157311453972
2200,11080537.895189965,344.50398134893766,100.88411643227501,8.800043234347132
2300,11080535.983354181,363.1437851364974,100.07484980797302,9.268822043792106
2400,11080527.919876236,369.14440443349645,117.38242409019936,9.087922058606285
2500,11080481.683710445,392.01560178635486,111.28920984484151,10.165381337679008
2600,11080487.99831662,403.94094696010256,123.29989214253989,10.941589711252067
2700,11080457.90102462,420.0212690767832,120.31362875967312,11.932646376314901
2800,11080441.643354166,412.9492158521231,132.39570623041416,12.046816375946168
2900,11080403.145138541,437.3618920775572,143.5994919398358,12.739236084662911
3000,11080396.555620806,454.58256897434165,135.22985852701274,12.39750458840976
3100,11080401.658957938,468.71340839813394,152.63122507841385,12.926311321241966
3200,11080333.597852992,470.8037723301579,153.437950326312,13.620040451681893
3300,11080354.783359632,482.8120354208651,166.21721775283848,14.459547354469509
3400,11080307.369122252,489.98267777594,167.8755632671583,15.088229705386528
3500,11080284.188058803,524.8729596478744,166.54178122902564,17.59479908229476
3600,11080285.361742226,515.9597731236605,179.9195452869696,16.887093135058397
3700,11080251.642837508,531.9920038853717,188.7143929634284,18.917192976317118
3800,11080210.570636116,579.9886482569466,190.13739707160624,18.634296607461337
3900,11080217.142253127,575.0251276650138,192.3410868347702,19.53043112808175
4000,11080150.546127522,592.7898043710841,205.50154168675616,20.999809329073734
4100,11080137.17022986,609.788135886586,207.4154286821453,23.227870503553433
4200,11080093.19624918,639.592601611649,225.93630657177593,23.94745596940091
4300,11080063.160969215,644.1461542772267,222.99557847558535,24.150149967342955
4400,11080041.1181766,683.1633835631088,236.09954472477506,25.807818196243957
4500,11080027.018712604,708.1163794648161,241.02414925426422,26.450783341098738
4600,11080001.032439962,709.1990564191584,247.2464630198603,27.6309518869753
4700,11079989.877427137,726.2036871121724,256.59579185474195,28.54493649291715
4800,11079904.99962598,752.9193767889213,276.9692641415848,30.96404574457873
4900,11079879.860453198,790.3972653374427,289.58642514687233,31.13551473998769
5000,11079860.753983075,818.8680263541038,298.3638707247045,33.817229449064904
