milliseconds,Carrier_Cytosol,Carrier_RanGTP_Cytosol,RanGAP_Cytosol,RanBP1_Cytosol,RanBP1_Carrier_RanGTP_Cytosol,NTF2_Nucleus,RanGDP_Nucleus,RCC1_Nucleus,RanGTP_Nucleus,NTF2_RanGDP_Nucleus,Carrier_Nucleus,RanGDP_Cytosol,Carrier_RanGTP_Nucleus,NTF2_RanGDP_Cytosol,FRanGTP_Cytosol,FCarrier_RanGTP_Cytosol,FRanGDP_Cytosol,FNTF2_RanGDP_Cytosol,FRanBP1_Carrier_RanGTP_Cytosol,FCarrier_RanGTP_Nucleus,FRanGDP_Nucleus,FNTF2_RanGDP_Nucleus,FRanGTP_Nucleus,NTF2_Cytosol,Pipet_Cytosol,RanGTP_Cytosol
0,11.8952664327711,0.00182967434742422,0.5,2.91577340630959,0.0842265936904004,0.560888580955963,0.0466849733424111,0.4,0.0118032373274648,0.9391114190440372,10.821132858063601,1.75546095870568,11.5694219089212,1.47617820113791,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023821798862085,0.0,0.0
100,11.895252945090233,0.0018296667884969407,0.5,2.9157724679706036,0.08422665612676392,0.561014444740264,0.04717469735895621,0.4,0.011799000681066228,0.9264118550156155,10.820201748302184,1.8748820336798193,11.569370126506918,1.3617670700624485,0.0,1.3584195730061457e-07,0.8713236299907892,0.12289952102127888,8.759026400776727e-07,0.001013302390293684,0.0005271606943144404,0.012573700278800863,2.6680046804556018e-05,0.01533340911274808,0.0,0.0
200,11.89514352856251,0.0018294712322259655,0.5,2.9157648097634095,0.08422448836053338,0.5629181618111908,0.045890885418035446,0.4,0.011784964516928145,0.9002420744579372,10.81652533323052,1.9600446032387755,11.56795898472123,1.2884024179528173,0.0,9.028348540427604e-07,0.7853210098211589,0.19625363049104988,1.070187624101607e-05,0.006348592652387218,0.0018127118902343474,0.036839763796618824,8.08840002283815e-05,0.015343951739913103,0.0,0.0
300,11.894816967497023,0.001828980793289241,0.5,2.915744327286897,0.08421509471508287,0.567282370053421,0.04415101579772427,0.4,0.011768892034627613,0.8700196841371642,10.809911650978687,2.0194471444968354,11.564539581755147,1.243467990726955,0.0,2.4959630696799905e-06,0.7248076913980505,0.24116787112801472,4.057799647793636e-05,0.017128343010629196,0.0032277695739865854,0.06269794589762168,0.0001416941089159974,0.01536413831966355,0.0,0.0
400,11.894179356951886,0.0018281666344343883,0.5,2.9157091939152626,0.08419417726630476,0.5732041937873092,0.04232381258953051,0.4,0.011753129687540949,0.8408553907679602,10.801145407425548,2.0617632332902365,11.558969399903038,1.216113714985147,0.0,4.869997826960676e-06,0.6809353744046907,0.26849425814372285,9.662881604443149e-05,0.03293597973391135,0.004484720636777991,0.08594041554917084,0.00020059751503491302,0.015392027038990057,0.0,0.0
500,11.893181394750055,0.0018270402692666884,0.5,2.915661193780447,0.08415912195779048,0.5797943009600897,0.04061732820973703,0.4,0.01173853438705626,0.8150454181498499,10.791139063070684,2.0925074437062623,11.55137296795008,1.1997535319229313,0.0,7.895000440985964e-06,0.6480996236290275,0.2848212596960511,0.00017968426260792463,0.0528598768396466,0.005494038837844445,0.10516028100467854,0.0002547402790368335,0.015425208543993272,0.0,0.0
600,11.89181201056349,0.001825634513705532,0.5,2.915603772701447,0.08410899330279333,0.5863866770665256,0.039128281831617255,0.4,0.01172531838153961,0.7933729503568054,10.78063995127978,2.1152560373897975,11.54200500638518,1.1903485580091906,0.0,1.1425860877007116e-05,0.6227045916139083,0.294189834541555,0.0002872340028140644,0.07593379493692737,0.006256370071110508,0.12024037269967572,0.00030363143474885314,0.015461607608475947,0.0,0.0
700,11.89008660178141,0.0018239917771555574,0.5,2.9155405841347184,0.08404417480041294,0.592553702585688,0.03788551636092156,0.4,0.011713417711478807,0.775840719676349,10.770174568501437,2.1323756336097768,11.531169279787887,1.1853948044244325,0.0,1.5329949153765775e-05,0.6024117155024034,0.29910552908639987,0.00041524107585942736,0.10129894151535633,0.006806601099304239,0.1316055778677708,0.000347676127576884,0.015499666645542181,0.0,0.0
800,11.888036374147443,0.0018221568068355312,0.5,2.915474738973576,0.08396593790613437,0.5980601295633469,0.03688125720876798,0.4,0.011702660448277636,0.7620816562511994,10.760076294091384,2.145464331541346,11.519171451374813,1.1833211831370916,0.0,1.949591500907208e-05,0.5856786192049251,0.30114051093173827,0.000559323130791524,0.1282476531295744,0.007187465100870445,0.13985821432055276,0.000387550845271462,0.015538306085455074,0.0,0.0
900,11.885700392317085,0.001820172395609288,0.5,2.915408555490039,0.08387605789886171,0.6028072996977795,0.03609074849391286,0.4,0.011692846498854749,0.7515851529488928,10.75053322451266,2.155622608836657,11.506293630590816,1.1831289217499548,0.0,2.383443429171912e-05,0.5714734525447477,0.30129425611713173,0.0007153866218309259,0.1562198724897801,0.007438562146542789,0.14560754749209556,0.0004239489181281411,0.015576822285693499,0.0,0.0
