milliseconds,x,I,y,z
0,200.0,0.0,800.0,100.0
100,196.14403779290345,0.0,581.0925984181555,386.60547214061165
200,195.2244272337827,0.0,280.98256873336675,869.4492042531232
300,197.06241361408095,0.0,89.59897093927847,1165.74203888385
400,200.23157022961271,0.0,24.212950776825636,1226.0481356600353
500,203.85268484687833,0.0,6.497607633508131,1198.018388451581
600,207.6423314276362,0.0,1.8180490057251466,1147.9606123065425
700,211.5247012218513,0.0,0.5361534366667282,1094.2589270351475
800,215.48009183736917,0.0,0.16678318587501714,1041.5471582811347
900,219.50357935308293,0.0,0.05463398360330604,990.9486174540375
1000,223.5942684006084,0.0,0.018803618306298522,942.6825652763808
1100,227.75241449020692,0.0,0.006783837610834939,896.7284586200594
1200,231.97861688733164,0.0,0.002559640200004453,853.001862782657
1300,236.2735805254606,0.0,0.0010078753332831108,811.403163666953
1400,240.63804201373563,0.0,0.00041329121277045017,771.8315906628876
1500,245.07274526808413,0.0,0.00017614417731098316,734.1893268352936
1600,249.57843284653157,0.0,7.787999191385233e-05,698.382658517121
1700,254.15584246937496,0.0,3.565754745357939e-05,664.3222059508416
1800,258.8057053169189,0.0,1.687739216488716e-05,631.9228612970059
1900,263.5287449543161,0.0,8.244872332367051e-06,601.1036341303152
2000,268.32567647944836,0.0,4.150668054044558e-06,571.7874707644838
2100,273.19720574655804,0.0,2.1501598521533335e-06,543.9010700530253
2200,278.14402861007613,0.0,1.144559285660119e-06,517.374703498719
2300,283.1668301670755,0.0,6.25234394999784e-07,492.14204230419756
2400,288.26628398981484,0.0,3.5005462009636473e-07,468.1399921171787
2500,293.44305134503475,0.0,2.0063010114620322e-07,445.30853552626303
2600,298.6977803988049,0.0,1.1757868399872327e-07,423.5905821057242
2700,304.0311054066533,0.0,7.038314855756866e-08,402.9318257165776
2800,309.44364588915755,0.0,4.298878711944978e-08,383.2806087335133
2900,314.93600579333605,0.0,2.6764856103637792e-08,364.58779289444175
3000,320.5087726404013,0.0,1.6970436898791308e-08,346.80663643160244
3100,326.16251666040546,0.0,1.094981167733239e-08,329.8926772121927
3200,331.89778991462094,0.0,7.182774588796115e-09,313.8036215191251
3300,337.71512540611405,0.0,4.785776691056473e-09,298.4992383215566
3400,343.61503617945135,0.0,3.236732717266762e-09,283.9412586997666
3500,349.59801441047074,0.0,2.220366520200938e-09,270.0932801424996
3600,355.66453048685247,0.0,1.5443423612538112e-09,256.92067555338275
3700,361.81503208093284,0.0,1.0882089671454455e-09,244.39050649964466
3800,368.0499432149184,0.0,7.757910331893475e-10,232.47144093792545
3900,374.36966331974423,0.0,5.59713907552862e-10,221.1336751945781
4000,380.77456628982446,0.0,4.0898178490534175e-10,210.34885932585203
4100,387.2649995344435,0.0,3.0279742940180765e-10,200.09002576130558
4200,393.84128302637123,0.0,2.2670268990588224e-10,190.33152166544937
4300,400.5037083486737,0.0,1.7059981914763762e-10,181.04894523826988
4400,407.2525377418678,0.0,1.2854207184204661e-10,172.21908494561336
4500,414.0880031528735,0.0,9.772467930973457e-11,163.8198618027631
4600,421.01030528839345,0.0,7.570536032117864e-11,155.83027364665557
4700,428.0196126724706,0.0,5.936810149307047e-11,148.23034235673006
4800,435.11606071001796,0.0,4.635323127772847e-11,141.00106405760434
4900,442.2997507584142,0.0,3.5945482022794764e-11,134.12436173247266
5000,449.57074920893353,0.0,2.824800154825091e-11,127.58304005805125
