milliseconds,Hsp90,HCom,HSF1,MisP,MCom,TriH,DiH,NatP,AggP,HSE,HSETriH,X,ROS,ATP,ADP
0,301261.30423848634,5900.666186776245,99.94909481645772,8.06826740793451e-07,226.9653250336264,7.08863180187535e-11,-3.318308664787378e-09,6000060.083530721,3.1848398566646494e-12,1.0000000000053058,-5.113645522480979e-12,-0.07947895348438504,100.0,10003.17877743949,993.3779126742331
100,300275.9702032516,6000.991723698476,1.3461172154267629,0.0008009882760337191,2595.283678368586,8.764901178932541e-11,1.390738209759979e-07,5997448.999592262,-8.002091953661264e-13,0.9999999999969647,-3.206846977576359e-12,-0.03767031335956536,100.0,10696.461830854012,325.23101069589035
200,298020.87905513326,6000.905157882339,1.0303564312554636,0.0008081768120435157,2621.103265517685,1.244042699247709e-10,1.0989818512871749e-07,5999154.016968109,-9.372865364183038e-12,1.0000000000056282,-3.7526366050723096e-12,0.2506211572686071,100.0,10886.301141103702,125.66116386445952
300,295919.15283293824,6001.045412740939,-0.4859519824460179,0.0008209610202352964,4680.380969078133,8.421054998963337e-11,7.57504976083992e-08,5996349.1168152355,-1.5933702214686128e-11,0.999999999996051,-2.570217721280474e-12,0.15852414538262277,100.0,10944.900199357817,59.26658396531286
400,296055.1228702168,5998.997457432234,0.7678492085778282,0.0008096571006343499,4879.165043422992,1.2029359813336708e-10,4.6740274627446e-08,5995339.669829665,-1.72943221892625e-11,0.9999999999978693,6.783206049731802e-12,0.5206240641932497,100.0,10964.288046218993,55.045501552019616
500,293793.4449887099,5999.338710750238,-1.0329554906396716,0.0008056093810387181,6267.350874850224,1.277794738206582e-10,5.117663945653258e-08,5993560.411836104,-1.974784068906923e-11,0.9999999999956983,3.31968414066603e-12,0.3909342708552951,100.0,10953.926267252293,50.49678788345558
600,292952.0534409351,5998.891313620662,-0.011175538031265931,0.0008266805870911444,7720.0653255437455,1.2091689911706343e-10,2.2827078405413558e-08,5991671.232044645,-3.0790821502521276e-11,1.0000000000010774,2.3534610818588166e-12,0.4729426076047184,100.0,10967.293054207455,52.76570996069391
700,292220.90105705743,5998.906031014717,0.8050375739005737,0.0008112593354924304,9016.966943866155,9.795443754691704e-11,-1.5907498584052303e-08,5992757.353233513,-2.2092583435642818e-11,0.9999999999905285,6.990026939049708e-12,0.8259556713371505,100.0,10962.206709991786,52.39067065992152
800,291383.62704103236,5999.091115329152,0.5288933937475477,0.000822945387665994,10518.691182524335,1.8264244344357917e-10,-2.0692702579817392e-08,5991775.041779517,-3.6003078618720834e-11,0.9999999999910488,1.115775619140553e-11,0.8435821660253023,100.0,10959.945468921902,45.86320898504542
900,289164.3459269212,5999.486049209465,-0.16017698635527444,0.0008362243267546347,11704.065954295538,4.770442486813949e-11,-4.1745687908939056e-08,5987945.384028843,-4.284613646618908e-11,0.9999999999885538,4.654001019941216e-12,0.7657130846693909,100.0,10933.31203944871,46.50854474872667
1000,289635.2707238893,6000.4373262533045,0.37510216798431767,0.0008311014682838846,11948.331074756175,2.326169712150939e-11,-6.833833649887922e-08,5987096.605886901,-4.537860215209724e-11,0.9999999999944699,1.010870611481511e-12,0.8736329268238844,100.0,10949.542809085617,59.54169361106187
1100,287832.79627835256,5998.943233288166,0.5835577009437102,0.0008397635795477714,12912.054798477751,1.0529760545914701e-10,-8.966285754247841e-08,5987808.013264393,-4.4922519953832535e-11,0.9999999999987178,1.0186060826181325e-11,1.23034915479175,100.0,10933.25416025434,52.77398455926733
1200,286066.21448327904,5999.715343588056,-0.2646637596117978,0.0008260598867174376,15500.939376602346,-2.0309661275542813e-11,-9.959556901648307e-08,5985746.604983639,-5.168236093795603e-11,0.9999999999956862,4.3103667126972265e-12,1.1798857735274662,100.0,10928.225815038246,79.7819723255272
1300,285232.39012319886,6000.75708217801,1.2350964132304592,0.0008465403459930659,15094.876850565437,-5.534070772344711e-11,-1.1748799373993348e-07,5986195.136946292,-5.665985525443797e-11,0.9999999999961181,1.0165439175319853e-11,1.4453751577467482,100.0,10929.144630061764,74.13399634313585
1400,284111.1756204557,5999.015142358825,-0.5723084495441113,0.0008468337403524856,15460.532673352536,-1.9385232601523813e-11,-1.2106257810610423e-07,5985307.678946263,-5.5100586516616464e-11,0.9999999999942761,6.166102032726949e-12,1.3008218525184734,100.0,10929.07427426752,72.77936608260283
