milliseconds,Hsp90,HCom,HSF1,MisP,MCom,TriH,DiH,NatP,AggP,HSE,HSETriH,X,ROS,ATP,ADP
0,300596.51376767963,5901.184255146024,99.05966960828766,-3.1405664385821756e-06,-1120.0322111645103,-3.8056639727558024e-11,2.6734219634938046e-09,5999090.365895499,5.087988730529565e-12,1.000000000003625,-3.778370316423894e-12,0.04169103912300059,100.0,9992.036019110821,990.9320178609618
100,298331.6771831876,6000.576826939974,0.043353847721336644,0.0007984794060197556,1199.3943057951144,1.484293386952353e-10,1.465561499252444e-07,5999526.392034997,-8.592040130075122e-12,0.9999999999957432,4.92491153963977e-12,0.18799549651587083,100.0,10694.81804831575,324.1415917024434
200,298687.46077888797,5999.115882132387,0.6862966770528602,0.0008110586606652913,1263.8259639083499,1.5080941429704012e-10,1.1517559601726685e-07,5996259.803710769,-7.077506674397402e-12,0.9999999999950874,-3.030288710082559e-12,0.1856422102696096,100.0,10878.82169301978,116.41434182253775
300,294959.22826127085,5999.755361487095,-0.7118406790422681,0.0008191161397811755,2516.318355470701,1.4991735120402215e-10,7.754096302043225e-08,5995033.222570401,-1.0910298869317788e-11,0.999999999996539,5.2298315830695215e-12,0.38904758967593966,100.0,10944.096455681998,65.17649757674316
400,295287.44775491866,6000.516373954342,0.2485884282236888,0.0008005011159683776,5395.898082280705,1.3112573175174773e-10,6.79950032656533e-08,5996530.065404579,-2.13244059873794e-11,0.9999999999946896,-2.0657561822358304e-12,0.4208748455174151,100.0,10960.535029750457,33.58897446893087
500,293091.8993228232,5999.044964023866,-1.0938861768368908,0.0008191978872500387,5934.325940280925,1.8312421261903156e-10,3.5094154202428856e-08,5994512.313175296,-1.8397729691806773e-11,0.9999999999938926,-2.7151319441130742e-12,0.36468267651961844,100.0,10955.03210789877,48.132647014643055
600,291918.5709115913,5999.607275047674,-0.23474522480740415,0.0008161457697806135,7639.698041704644,8.804869820473034e-11,1.089233972223566e-08,5991417.902316461,-2.6018241408690024e-11,0.9999999999983942,-4.382907677489705e-13,0.6500388887632089,100.0,10957.940666133905,33.76252666392085
700,290113.1525917416,6000.900573173367,-1.3047342598172482,0.0008137004181686041,7151.167125784546,1.0990127804671016e-10,-7.265084844753164e-09,5990493.230178975,-2.6138604498605298e-11,0.9999999999948267,2.713528618229244e-12,0.7269421464598973,100.0,10945.570004206256,44.99430719460673
800,291849.2733731839,6000.358048488997,-0.2306549630888843,0.0008356161432709706,10496.415859383571,2.0869452193362462e-10,-3.2536390405897645e-08,5989048.57850639,-2.8459306940688803e-11,0.999999999992677,4.813870804415013e-12,0.8428725372252743,100.0,10948.830950984157,61.00760470754979
900,290778.4248059712,5998.93620683387,-0.5219915965086077,0.0008150910286780893,9207.334917806764,1.882630002699586e-10,-3.4844741826976384e-08,5988450.931534187,-4.2014218653704324e-11,0.999999999992594,1.0565078981403026e-11,0.8588581542736565,100.0,10934.091820299647,55.172504317652596
1000,289277.93811132445,5999.80540102295,-1.271716507343994,0.0008401156537956553,10295.278133152855,9.043624991566351e-11,-6.947539879932095e-08,5987227.683699503,-3.575524286128918e-11,0.9999999999955632,5.96918163032213e-12,1.1410776561194698,100.0,10945.017963496888,65.46948764841807
1100,288001.11892622354,6000.619907208816,0.5520806468856312,0.0008367250902378732,11850.369168971278,4.968820825997346e-11,-7.625713753902166e-08,5988619.966837532,-3.9887513346323465e-11,0.9999999999914103,5.669020566616005e-12,1.180149444428338,100.0,10933.11461112007,50.47246149595974
1200,285498.6853125681,5999.254224940219,0.905917458912022,0.0008474799365958882,14847.187466342546,2.1162819047008668e-11,-9.41551931387558e-08,5984658.896044756,-4.561252711421173e-11,0.999999999995881,1.335521201066689e-11,1.2358498849833748,100.0,10934.66393057857,62.91272802969499
1300,284398.14813559037,5998.709301417258,0.6274417776157705,0.000829344286919689,16251.916199834588,4.586833735191252e-11,-1.1514741541913698e-07,5986310.689056219,-5.67290082964922e-11,0.9999999999971813,9.024635805608544e-12,1.1731093538998243,100.0,10931.811123667198,85.51151348370507
1400,283848.8217987273,6000.409772038661,-0.7864700808771395,0.0008336709332883056,16807.865559004324,6.255696404661793e-12,-1.4020581372097434e-07,5983540.618265176,-6.313041711148613e-11,0.9999999999929213,1.0981852216624338e-11,1.2683451174241114,100.0,10936.792618117232,84.43294621567334
1500,281048.67582894216,5999.653529657252,0.9349853461599145,0.0008348957012665441,16708.30212481671,-1.274726678205646e-10,-1.5193090289823853e-07,5982653.375373891,-5.574098941889423e-11,0.9999999999990764,1.3010034707412701e-12,1.573365953812687,100.0,10914.365775625642,84.4336803485851
1600,282287.98215725215,5998.617948604694,-0.9133163026376999,0.0008631992204112476,18651.780753815896,-1.8195623777973578e-10,-1.5007270265395356e-07,5982888.023092487,-6.123076870230411e-11,0.9999999999938347,7.1876880120008346e-12,1.5317789010987708,100.0,10921.492052101872,84.59458277918071
