miliseconds,Susceptible,Exposed,Infectious,Asymptomatic,Hospitalized,Recovered,Deceased,Cumulative_Cases
0,9901732.663286192,36712.03580115454,731.7860800218923,2074.299854593521,16.921789242877246,-740.0130657418154,0.44975824633556755,-22.136631100739287
100,9898286.10317026,35655.041503564906,753.382630131806,3213.8324546892895,43.188180731270094,398.9797410847722,0.8723629765354182,60.03569681461559
200,9898207.115218261,34972.505517896134,778.570418952743,4067.1152410459963,72.71302412871991,2284.132554159134,1.243716607730375,107.87458725366614
300,9897319.119288791,34612.30656691853,796.8561304638241,4714.640049228292,104.59874566034526,1445.167171598077,1.3792065795235247,235.94664806450015
400,9895710.764640898,34424.73498710308,830.2500253080557,5360.391489422984,151.20799796595912,3331.2466657656905,0.5987682380991031,364.4038416195372
500,9895558.586340237,34431.40529181359,838.2524820674844,5932.120398800669,188.2409517211212,3025.502538477845,1.7089299609463666,336.7823443339503
600,9893096.785700366,34556.28362837454,861.1076090680914,6451.655297899442,258.24374347382843,5889.698804224553,2.730388555416792,536.2077305153368
700,9893308.962873241,34628.75090827285,863.7892204792204,6749.252144127214,284.32864395603195,5937.280059716582,2.5879491818416103,497.60953121946375
800,9891496.017307492,34330.496846856964,879.9503045450065,7074.824556148765,309.78648214790303,6948.737075505823,2.2084107104374424,628.1617889800411
900,9887513.257337712,34660.350786199204,883.6042316744945,7266.259375152204,348.42411397429765,8082.530981106697,4.251785218291811,662.026308750875
1000,9886816.038322564,34799.17928694719,904.0152343909791,7499.6793986886605,393.30706865914334,8847.373586268366,3.5852210787823857,865.6236864639221
1100,9883059.160244936,35406.77874920114,909.9352537462008,7786.02606434221,415.3389210717697,9801.930200397155,4.398481707678712,921.1299255971624
1200,9882535.087860664,35403.832909831355,931.5502646095707,7844.776658360019,450.585319522422,11478.100029706007,5.316418896342427,1002.4868783253117
1300,9880117.036159735,35886.95814426242,942.6081881580079,8219.479754725562,530.992723581004,12437.26890526155,6.560334005547149,1066.365671352278
1400,9879652.379866596,36491.389190425296,946.7033219910243,8351.13422398832,544.1325711552033,14477.149181755034,6.205482939651887,1168.2128214494612
1500,9877607.140546842,36970.01214103843,972.1752327348814,8399.169227820677,609.3760179103065,15960.336700929494,6.7646617547657,1215.4509866503054
1600,9875700.93699721,37507.58264305066,967.8409805333492,8648.855682538595,621.1679228552573,18388.342390422396,8.449768331529715,1326.125333292058
1700,9873938.086947517,38002.67906615502,985.4992280007434,8690.289072944108,660.0187678606115,19744.927631746843,8.265125603258815,1450.4485320742947
1800,9870345.330340251,38213.434019076645,1008.008884379934,8806.982071328988,683.5175916931998,21364.42888248938,9.940816270421251,1461.523959276769
1900,9866929.36121946,38589.54966967537,1007.4240479953313,8903.460844362524,750.1284000734721,21407.491120719027,11.11620702832881,1565.2739193382154
2000,9864662.863837255,39461.6448767917,1031.094753811518,9109.398338031915,771.7225995823105,24560.0535706121,11.633111827713511,1620.4581944786923
2100,9864172.372819526,39449.15907118845,1033.9801970197243,9252.62027766782,818.0498562777399,25403.097523524368,12.973879739110531,1838.777953145213
2200,9860442.868252607,40486.547443241536,1040.4541539839047,9380.604442853519,892.1169323971166,27402.22315340572,14.424546579127169,1823.4727255125022
2300,9860315.61807741,40665.53546849344,1068.9408049246508,9425.328217822911,889.4944167738491,29123.312235822268,13.780470838348249,1972.3081978521834
2400,9858229.41546266,41227.88695512499,1074.4343608158536,9670.82012294786,949.3825959647177,29328.993061069308,15.295757181104243,2120.7600403165966
2500,9853390.355270205,41690.88683740473,1097.6632764587357,9881.133896138204,961.7887211253991,31477.766955358617,16.46595376455279,2137.58636492885
2600,9851561.744827667,42694.656171355586,1101.3453070282692,9979.065903644885,1049.0970738606632,32000.174731929113,18.190203159926625,2216.5580805532204
2700,9850644.934956709,43007.83342643811,1121.4406090049765,10037.53980651198,1086.0326148743948,35152.7850056821,19.287089879939032,2358.072060067642
2800,9846216.09922532,43558.469396537796,1145.278292082155,10175.200552619048,1087.9355473789265,36430.68763523685,20.928064606964117,2518.4752722401927
2900,9845528.896206474,44397.70160332582,1150.3506012554676,10369.616431591525,1135.531725326657,38159.26434320564,21.596443817995002,2518.41267693841
3000,9840068.764918726,45036.38844637151,1173.320030745028,10448.489053310044,1177.0585662743522,39799.21786580541,21.97221281042587,2611.8386670948557
3100,9840000.704736514,45316.31776710496,1188.2063367393964,10593.024853605248,1254.841822132643,41616.51587584942,23.905371517662317,2739.9296340127426
3200,9837407.085990617,46379.73686227337,1197.5663638339095,10788.144386267832,1286.27589527056,43451.48681717869,24.867696109688133,2811.3871483158873
3300,9832630.00492522,47075.29330099757,1216.5145347630134,11084.6975382544,1338.3235287610114,44659.1905209634,26.397875432483637,3021.8280670530794
3400,9829792.935262386,47202.652658231644,1229.5163869730343,11074.23413750086,1344.7547764322105,48314.847631512544,28.982451427228792,3092.710936135216
3500,9829559.07909851,47981.420028220666,1238.5106406150583,11321.550982425617,1369.077577120643,49384.36956205442,29.045186352677156,3145.021435579294
3600,9824890.369385889,48958.4710682867,1249.3025810205847,11378.063548018068,1440.4608790518712,51370.85661054224,31.204102823746272,3266.589464756335
3700,9822391.714479582,49602.60116840134,1267.8067358785984,11700.709269815321,1474.3184182784,52737.863742521535,32.39935723720748,3445.846954319464
3800,9821300.453212775,49788.559830345606,1286.3764644958105,11804.64217987359,1491.8605090017481,56248.96376751605,34.221813797113704,3567.2837719522804
3900,9816886.571611065,50533.2662526024,1319.985793123679,11862.376025527328,1553.221612174593,57455.29832605401,36.127552659868726,3673.139135426707
4000,9813449.878616678,51216.637273074935,1318.7547352803945,12147.24173983979,1593.344387687213,59442.49489652913,37.67005241470651,3746.8551806123555
4100,9809614.917491833,52135.14613526319,1339.3828682143605,12244.221934412613,1650.5064225528183,60415.3975200961,38.625357639566985,3937.8140274757366
4200,9807497.142583309,52825.037559559285,1373.3618460617408,12247.761411193544,1667.8706092674693,62405.29774259377,41.070464958406966,3949.6676618811084
4300,9806571.764947588,53545.45772393539,1380.9172325001032,12528.757021361434,1712.6922292470624,65502.5220291902,43.02196727681342,4136.94747117332
4400,9803167.819684276,54126.28036900592,1406.2848759578058,12707.429977839818,1758.2287490638907,67805.527124714,43.99459375380885,4309.2086604135075
4500,9798027.751407871,55241.263541471555,1414.9182522014778,13014.979278937246,1824.1828592265913,69585.12333953599,45.76825824317777,4353.012560321741
4600,9796323.675436847,55325.16355660113,1427.6003231317143,13077.223198784175,1859.860835289421,71633.46804505885,49.28919406263461,4579.209436870936
4700,9793900.457734974,55977.52990714724,1452.8153050416963,13347.98190077092,1923.771281895383,73390.47304116623,50.15521810650526,4593.555613358985
4800,9787577.58329301,56907.91369949842,1484.179393308861,13429.424949194065,1949.8230986514063,77034.34970638744,52.36759241901401,4760.351232047262
4900,9785228.303322336,58236.02040004911,1503.3083865681451,13655.581792890089,2010.540433906634,77627.66914381777,54.63546011674899,4906.014139652178
5000,9783558.47722681,58382.25190047338,1505.5023798387922,13727.482910179224,2063.6596670741555,81501.1710162894,56.97185004174511,5073.938984895068
