miliseconds,y,x
0,0.09996491559248812,600.3793695511442
100,0.09125261727382904,601.3771121739338
200,0.08487639632059332,604.8889467580186
300,0.07912084155078328,608.6037741019754
400,0.07536810368993341,611.1314449879228
500,0.07034943516427898,611.1478413391359
600,0.06688808853471095,616.7919199912542
700,0.06339525132409453,618.2640977722588
800,0.06162757992789109,622.6156753539587
900,0.05905492765877093,624.5264524572171
1000,0.05753509065352941,629.5551587008434
1100,0.05569755341547058,632.9220904040069
1200,0.054094198939043686,636.3376272794757
1300,0.05296080862874532,638.5244627943136
1400,0.05075198083292208,639.752676885297
1500,0.049938902144795405,643.9434600737976
1600,0.048752031555633464,646.233873307295
1700,0.048073763062962335,649.5075248892078
1800,0.04820880989359904,651.453588480532
1900,0.04693023410231993,655.9345124405628
2000,0.04558893967014644,659.5248837751766
2100,0.04474816700751562,661.0324609795964
2200,0.044258604631757216,665.2527150908231
2300,0.043973121047487164,665.4875460579866
2400,0.04267326136451125,669.178290519007
2500,0.04227872519686206,670.3495825277671
2600,0.04220556834044277,675.4468832536231
2700,0.04217166546868086,674.3944204488212
2800,0.04117191836964957,677.8375275493374
2900,0.040364427528323345,681.1947513711232
3000,0.04097923753539758,680.8710603916622
3100,0.04010736986894659,682.656556489728
3200,0.03931369476982675,685.9746420540152
3300,0.03998326770082079,686.8460076588624
3400,0.03862478433255524,688.3569138632043
3500,0.03795144919589782,692.2719153344365
3600,0.03803229193986989,694.6869507339401
3700,0.037762809354268234,696.3489103624377
3800,0.037715434688457415,697.8517204097673
3900,0.03719729620638747,699.7136572651414
4000,0.037359400713450834,700.8422642377811
4100,0.03717696892653092,701.619898364946
4200,0.036905766823062305,701.5229960909777
4300,0.03581409457688829,703.9438927160992
4400,0.036893609417172624,705.5648250570212
4500,0.03644257205645564,707.5283293294549
4600,0.03584730962441652,706.2713697543011
4700,0.036186344062295546,709.3092115052444
4800,0.0350300455309719,708.1569212955077
4900,0.035087170308219555,710.1870537866725
5000,0.03462023265266948,710.107810843852
