milliseconds,IFNb_mRNA,IFNb_env,STATP2n,SOCS1m,IRF7m,IRF7Pn,IFNa_mRNA,IFNa_env,TNFam,TNFenv,STATm,STAT
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
100,0.0002958793857260702,1.2337686468175055e-14,4.1534919485672113e-20,9.283102626669058e-09,3.83238768533719e-25,3.0103245290970457e-23,2.0803429524231404e-21,1.1037408542057538e-24,2.457394802572531e-05,3.953662729569006e-08,9.661315210712716e-08,0.0995407242060885
200,0.0005836677477800887,4.8901000138779485e-14,3.142016570595977e-19,1.7267335323627777e-08,5.683503760840601e-24,8.664011921124558e-22,1.12217602771057e-19,1.0895007369162094e-22,4.832361499972774e-05,1.557547970555069e-07,1.8675589699137186e-07,0.09908691853998632
300,0.0008635865910580438,1.0902672816389052e-13,1.0083374717695028e-18,2.413492627450468e-08,2.698415060860393e-23,6.063163509173116e-21,1.1275711850845641e-18,1.5467817970023998e-21,7.128940229685955e-05,3.452291274926261e-07,2.7086229860686396e-07,0.09863833283317995
400,0.0011358510772426478,1.920706632630631e-13,2.27660161656702e-18,3.0042111988683926e-08,8.06615697801057e-23,2.420955959536238e-20,5.941592930553991e-18,1.075975778310596e-20,9.35097105868506e-05,6.047646347949609e-07,3.4933654598252316e-07,0.09819473359102682
500,0.0014006705020276039,2.974061386496696e-13,4.243060112485199e-18,3.512337738060874e-08,1.8669576393598533e-22,7.057099980450734e-20,2.1703394805993224e-17,4.9714346374925614e-20,0.00011502110606880983,9.313713196698505e-07,4.225558429490154e-07,0.09775590237145321
600,0.001658248493652693,4.2442345952453213e-13,7.008870916643915e-18,3.94945721324078e-08,3.6755562836430903e-22,1.6809412521696484e-19,6.217692757584747e-17,1.7214386276283338e-19,0.00013585842144169712,1.3222477923242344e-06,4.908723873234129e-07,0.0973216346856178
700,0.0019087831174242726,5.725295953169064e-13,1.0656103957233209e-17,4.325539035858252e-08,6.473924545265775e-22,3.4811466806742604e-19,1.5024739278063572e-16,4.863595336451772e-19,0.00015605482484416019,1.774769388959191e-06,5.546148247179875e-07,0.09689173919115579
800,0.002152466716091556,7.411486254848621e-13,1.5245704154642668e-17,4.648852239626113e-08,1.0523118174799736e-21,6.501532192111643e-19,3.183826673543713e-16,1.1665218164281303e-18,0.00017564177141279742,2.2864941017567093e-06,6.140875090402559e-07,0.09646603810240548
900,0.0023894866466219714,9.29719580056278e-13,2.083145629457915e-17,4.926806808661386e-08,1.6076209872647965e-21,1.1238682064287628e-18,6.157100917949706e-16,2.5220236799297445e-18,0.00019464932891153307,2.855114309705146e-06,6.695765174311057e-07,0.0960443638436641
1000,0.00262002524878185,1.1376965060939521e-12,2.7458213031499116e-17,5.165865248022682e-08,2.3382105424339227e-21,1.828337728519027e-18,1.1096785959913175e-15,5.040283279172813e-18,0.00021310617057877288,3.478456826633473e-06,7.213495205931117e-07,0.09562655911709252
1100,0.002844259814681537,1.3645485825541581e-12,3.515991182784762e-17,5.3715518876996355e-08,3.2689836947797603e-21,2.8313124343089445e-18,1.8874373779855528e-15,9.436624950864592e-18,0.00023103957625352813,4.154484473595723e-06,7.696558642360083e-07,0.09521247686641018
1200,0.0030623626920824164,1.60975979232776e-12,4.396062694121714e-17,5.548505534714543e-08,4.4245761057197294e-21,4.209122034542576e-18,3.0580010811417777e-15,1.6714856359814173e-17,0.0002484754826923876,4.88128855192449e-06,8.147274645449979e-07,0.0948019797735119
1300,0.0032745015151621807,1.872828205920147e-12,5.387803098102884e-17,5.70069648217403e-08,5.8286336855405245e-21,6.0468735243075435e-18,4.755267501985583e-15,2.824107605014793e-17,0.00026543858406656427,5.657073649727347e-06,8.567806313284142e-07,0.0943949392371456
1400,0.003480839365885962,2.1532655159270844e-12,6.492475773286672e-17,5.8315599709776855e-08,7.503594100767071e-21,8.438113028902155e-18,7.140398646775103e-15,4.5823843601321656e-17,0.000281952406878627,6.480148399598828e-06,8.960173989959305e-07,0.09399123463557167
1500,0.0036815348687127664,2.4505967728982312e-12,7.710838029362329e-17,5.9440648562353296e-08,9.470769047349686e-21,1.1484228756862666e-17,1.0403558228655778e-14,7.179711036849552e-17,0.00029803935576864913,7.348920813082867e-06,9.326263105762672e-07,0.0935907528947577
1600,0.0038767423082046765,2.7643600360349345e-12,9.043205096596157e-17,6.040780506032934e-08,1.175027442580902e-20,1.529402092405213e-17,1.4765524483329833e-14,1.0911063383957084e-16,0.00031372076566522537,8.261892159773244e-06,9.667833050710556e-07,0.09319338799567099
