milliseconds,measIRp,IR,IRins,IRp,IRip,IRi,IRS,IRSip,X,Xp
0,1.0,0.08729500761361268,8.863634554874231,0.001725457115356056,0.29656986314895717,0.7507749894184331,9.993583223463048,0.00641677633438903,9.15443913226988,0.8455625562025161
100,1.0,0.0872950105400163,8.863635229057847,0.0017254572394877967,0.29656959715606,0.7507749751664806,9.99358321702511,0.0064167884509466035,9.154439969966761,0.8455623988508317
200,1.0,0.08729501354861308,8.863636531006064,0.0017254573991656312,0.29656821165934805,0.7507750247071853,9.993583227989452,0.006416774465632991,9.154431258324012,0.8455679508659882
300,1.0,0.08729501522767902,8.863636608437565,0.0017254574552012644,0.2965674121317916,0.7507750010247407,9.993583243533742,0.0064167623166600275,9.154433191612414,0.8455704206710318
400,1.0,0.0872950169750506,8.86363736667566,0.0017254574121766445,0.29656743441354244,0.7507750343580916,9.993583267236495,0.006416756214500249,9.154426243133585,0.8455721248748453
500,1.0,0.08729502182925043,8.863637894143258,0.0017254575021756187,0.29656693398325606,0.7507750742034605,9.993583275414322,0.006416730748240874,9.15442791443677,0.8455753597594122
600,1.0,0.08729502126989382,8.863637937130695,0.0017254577657315386,0.29656598085070035,0.7507751033604407,9.993583274905685,0.006416720651766749,9.1544253760961,0.8455771783564054
700,1.0,0.08729502588100163,8.863638712200697,0.001725457891899071,0.2965656234593791,0.7507750896864834,9.993583287608047,0.006416722462621956,9.154422547450102,0.8455821018820924
800,1.0,0.08729502662492925,8.863639424430056,0.0017254579839904008,0.29656535411995455,0.7507751088131919,9.993583300843483,0.006416699734917655,9.154415826370217,0.8455844615644782
900,1.0,0.0872950317353395,8.863639943013515,0.0017254580875537733,0.29656519980088086,0.7507751345900424,9.993583299712883,0.006416694043508022,9.15441178302186,0.8455868462241108
1000,1.0,0.08729503460500311,8.863639818333588,0.0017254581862015882,0.29656433018726497,0.7507751576379846,9.993583323177702,0.0064166901358036765,9.15441294138217,0.8455884141987078
1100,1.0,0.08729503209294957,8.863640970862694,0.0017254582329926185,0.29656367556281893,0.7507751635889579,9.99358332486443,0.006416668278307565,9.154407060315096,0.8455924991989533
1200,1.0,0.08729504057225382,8.86364180155521,0.0017254583144816705,0.296563229716838,0.7507751899412052,9.993583336470046,0.006416674270752007,9.154402360355471,0.8455914950645674
1300,1.0,0.08729503872287281,8.863641513777027,0.00172545830195393,0.29656238827839343,0.7507752123309838,9.99358333910571,0.006416659717738152,9.15440286463391,0.8455994034576131
1400,1.0,0.087295042385971,8.863642218356297,0.0017254583780149718,0.29656236433226424,0.7507752057651098,9.993583356330575,0.006416647736661436,9.154398079996199,0.8456030050870136
1500,1.0,0.08729504343191109,8.86364189602966,0.0017254585464277087,0.29656193481338466,0.7507752612840468,9.993583358835789,0.006416629312923873,9.15439461230157,0.8455988097921063
1600,1.0,0.08729505131783828,8.86364306836478,0.001725458762505933,0.2965617319964885,0.7507752420541934,9.993583380837077,0.006416619082519004,9.154395648645293,0.8456066972379696
1700,1.0,0.08729505228065051,8.863643150835847,0.0017254587103410525,0.2965607996556333,0.7507752862397166,9.993583369488412,0.006416620235201697,9.15439254987291,0.8456063776469162
1800,1.0,0.08729504980258795,8.863643584720192,0.0017254587343938942,0.29656065100463785,0.7507752682643852,9.993583387201475,0.006416620257530031,9.15439266214197,0.8456065265822601
1900,1.0,0.08729505235887718,8.86364445786518,0.0017254589464404258,0.2965598527274231,0.7507752804078007,9.993583403950547,0.006416615232777649,9.154388811403656,0.8456120888336489
2000,1.0,0.08729506014001066,8.863644809557291,0.0017254590079134333,0.2965594818223672,0.7507753142257192,9.993583412095168,0.006416611434402349,9.15439010012441,0.845609915606077
2100,1.0,0.08729505703742838,8.863644743955785,0.0017254591098455677,0.2965594803170218,0.7507753156732893,9.99358340707745,0.006416593490011488,9.154384532767807,0.8456173781345995
2200,1.0,0.0872950590897444,8.863644993368226,0.0017254590271220877,0.29655837469946955,0.7507753547581401,9.993583418085382,0.006416588075996097,9.154383732489027,0.8456152631798391
2300,1.0,0.08729506232098123,8.863646321425387,0.0017254592496040416,0.296558184712667,0.7507753392890797,9.993583427061433,0.006416571592719667,9.1543767601757,0.8456176435782923
2400,1.0,0.0872950655788861,8.863646039083914,0.001725459185996452,0.2965575748912594,0.7507753739090035,9.993583432335317,0.006416560390864901,9.154373736178343,0.8456225861666722
2500,1.0,0.08729507010115177,8.863647228217141,0.0017254595092882103,0.2965567145518007,0.7507753982405365,9.993583436624217,0.006416552285717564,9.154377239930962,0.8456214958646959
2600,1.0,0.08729506756055783,8.863647762819031,0.0017254594897085243,0.2965564656989892,0.7507753928178342,9.9935834492136,0.006416555929720918,9.154375779315343,0.8456293884403966
2700,1.0,0.08729507406133974,8.863647631813064,0.0017254595003639297,0.29655662647199,0.7507754246380107,9.993583453399287,0.006416535123870314,9.154370901813538,0.845631700558918
2800,1.0,0.08729507084830505,8.863648208877034,0.001725459511812122,0.2965567004822995,0.7507754487563588,9.993583469818507,0.006416538557756208,9.15436871045296,0.8456317499131654
2900,1.0,0.08729507278266314,8.863647555470408,0.0017254596763339402,0.2965564305502788,0.7507754634139889,9.993583475230547,0.006416538250069664,9.154368000656026,0.8456317295986269
3000,1.0,0.08729507657069165,8.86364843095235,0.0017254597788111164,0.296555318062124,0.7507754454064466,9.993583488383319,0.006416522274559266,9.154364757774328,0.84563768218666
3100,1.0,0.08729507842698984,8.863649300315657,0.001725459880235631,0.2965550472506225,0.7507754914671102,9.993583479151681,0.006416526807152093,9.154364724327046,0.8456360224116479
3200,1.0,0.08729508323158466,8.863648748419367,0.0017254597700920068,0.29655421317405417,0.7507754952178962,9.99358349765004,0.006416511964214431,9.15435887109349,0.8456391882243731
3300,1.0,0.0872950850778756,8.863649273386153,0.0017254598831999766,0.2965541623772554,0.7507754788181985,9.99358349036556,0.006416508603868382,9.154358339218616,0.8456373452171486
3400,1.0,0.08729508254679437,8.86364925510408,0.0017254601233484045,0.2965539252698926,0.7507754797515072,9.993583510327111,0.006416486417673061,9.154357488882129,0.8456397153612881
3500,1.0,0.08729508328191689,8.863650332746387,0.0017254600103557114,0.29655379705400314,0.7507754927221296,9.993583499407883,0.006416497173522452,9.154354293113661,0.8456480903877704
3600,1.0,0.08729508703554062,8.863651008533829,0.0017254600418529803,0.2965527171688996,0.7507755177233871,9.993583506684987,0.006416485475305469,9.154351017072857,0.8456488519920491
3700,1.0,0.08729508822005348,8.863651554991163,0.0017254602695587998,0.2965533335301769,0.7507755271103285,9.99358352636946,0.006416471673070791,9.154351008668364,0.845650294601414
3800,1.0,0.08729509348373422,8.863650586628031,0.0017254603156832385,0.2965533217520039,0.750775542615449,9.993583536134613,0.006416481273550129,9.15435287888981,0.8456516150035799
3900,1.0,0.08729509037074269,8.86365103571351,0.0017254603282412576,0.2965518055287762,0.7507755829488296,9.9935835302499,0.006416453983604264,9.154348136064277,0.8456497975122301
4000,1.0,0.08729509688163198,8.863651351956198,0.0017254602776166658,0.29655200024316186,0.7507755629743698,9.993583540638184,0.00641647226867647,9.154347907092426,0.8456521060989812
4100,1.0,0.08729509601179539,8.863651476142898,0.001725460425605893,0.2965511283057218,0.7507755603059103,9.993583541148015,0.006416461252393087,9.154342593276873,0.8456536354166215
