milliseconds,x,y,z,w,v
0,1000000000.0,5600000.0,190000000.0,50000.0,9.4
100,904054913.021351,5592800.641114824,189620729.4822551,184709129.62759933,138179491.76730153
200,862035065.1475873,5585832.984628184,189242216.74980846,363475954.8476614,275603981.53949624
300,835498625.7501819,5579089.281844984,188864460.28665367,538634786.0021082,412280679.4162032
400,816366710.6653581,5572563.640741129,188487458.58143318,711049682.655858,548214374.8599998
500,801571070.4417903,5566251.055787724,188111210.1259718,881183340.3224773,683409101.8051765
600,789611831.5784681,5560147.065205497,187735713.4151731,1049326416.7716143,817868544.4883986
700,779656150.3676211,5554247.587982656,187360966.94698223,1215678412.5698245,951596188.93271
800,771184532.8401214,5548548.828898937,186986969.22236562,1380386626.8910317,1084595398.5585117
900,763852121.047687,5543047.222044038,186613718.74529782,1543564103.3998272,1216869450.4196498
1000,757425792.361901,5537739.39252824,186241214.02275154,1705300001.310641,1348421556.9096718
1100,751735619.3181555,5532622.126709621,185869453.56468925,1865667609.2414374,1479254881.972745
1200,746653872.2231185,5527692.352531377,185498435.88405517,2024728231.3300328,1609372550.4366655
1300,742083576.7659081,5522947.124271772,185128159.49676827,2182533852.651326,1738777653.7068737
1400,737949359.9228734,5518383.609585351,184758622.92171556,2339129323.320147,1867473254.5674486
1500,734191415.1406709,5513999.078015263,184389824.68074557,2494554024.3216033,1995462391.2529237
1600,730761137.9109566,5509790.894004986,184021763.2986619,2648842860.0110445,2122748079.5183628
1700,727618930.4251176,5505756.509922137,183654437.30321684,2802027021.5172405,2249333314.6831174
1800,724730933.3691846,5501893.458765776,183287845.22510543,2954134887.9426026,2375221073.7764316
1900,722069249.0544417,5498199.352733821,182921985.5979593,3105191889.74679,2500414315.424766
2000,719610428.3931333,5494671.875604534,182556856.95834082,3255221286.2004976,2624915981.713741
2100,717334441.2900084,5491308.779164752,182192457.84573692,3404244460.6241755,2748728998.870223
2200,715224254.858359,5488107.879075893,181828786.8025532,3552281219.0076675,2871856278.0056715
2300,713265005.5570643,5485067.052151791,181465842.37410805,3699350024.8928447,2994300715.6680627
2400,711443706.3481572,5482184.233716772,181103623.10862663,3845468122.066362,3116065194.3504114
2500,709748846.4617363,5479457.414744045,180742127.557235,3990651714.307494,3237152582.968212
2600,708170327.5128412,5476884.6399739655,180381354.27395436,4134916001.67229,3357565737.118425
2700,706699270.18273,5474464.005247344,180021301.81569523,4278275322.7318254,3477307499.4076476
2800,705327765.0778782,5472193.655450838,179661968.74225155,4420743261.991887,3596380699.7303386
2900,704048793.2722036,5470071.783008093,179303353.61629507,4562332695.780698,3714788155.4602065
3000,702856035.3793852,5468096.625645192,178945455.00336942,4703055903.101514,3832532671.724426
3100,701743649.3408564,5466266.463061126,178588271.47188428,4842924731.322229,3949617041.838072
3200,700706859.5393074,5464579.622420409,178231801.59311005,4981950155.545991,4066044046.5820327
3300,699740656.3906026,5463034.464614494,177876043.94117132,5120143190.773923,4181816455.9880056
3400,698840626.9440738,5461629.391665298,177520997.09304178,5257514305.644277,4296937028.288246
3500,698003340.9712414,5460362.849417245,177166659.62853876,5394073164.960085,4411408509.396364
3600,697224669.8129647,5459233.311118957,176813030.13031644,5529829751.182693,4525233635.385493
3700,696501469.7722793,5458239.292130165,176460107.1838614,5664793256.457857,4638415130.039274
3800,695830832.1066577,5457379.342236836,176107889.37748653,5798972567.712788,4750955706.031747
3900,695209649.3755146,5456652.040889294,175756375.30232474,5932376543.001376,4862858065.650638
4000,694635751.0111973,5456056.006027767,175405563.55232438,6065013432.246581,4974124899.69229
4100,694106696.5911587,5455589.88329044,175055452.7242426,6196891434.220854,5084758888.477649
4200,693620374.9618237,5455252.3502334375,174706041.41764036,6328018452.911982,5194762701.501976
4300,693174804.6093903,5455042.114442692,174357328.23487708,6458402197.260938,5304138997.530606
4400,692768186.9515051,5454957.911904634,174009311.78110406,6588050162.292583,5412890424.911147
4500,692398793.5097183,5454998.507069339,173661990.6642599,6716969669.446917,5521019621.361687
4600,692064967.3988918,5455162.691481767,173315363.4950646,6845167885.238265,5628529214.165642
4700,691765122.6765153,5455449.282312993,172969428.8870135,6972651849.369803,5735421820.380873
4800,691497925.5249379,5455857.125140613,172624185.45637265,7099428328.036911,5841700046.538854
4900,691261936.756736,5456385.088343054,172279631.82217237,7225504062.955824,5947366489.112878
5000,691055848.1276307,5457032.065562691,171935766.60620221,7350885621.26824,6052423734.350149
