milliseconds,c,cer,nIR,rIR,n,a,V
0,0.10000866834079855,100.0000414275341,0.007902291422220488,0.283205163520265,0.010031287384653795,0.4599999834195137,-60.00095583676436
100,0.10001587768445754,99.99995406324435,0.008132604792678622,0.28094353017064644,0.009888666715086623,0.4599999789750212,-59.997075672031734
200,0.10002107595977625,99.9998382060816,0.008298160416838866,0.2796198333540082,0.009865533321776958,0.45999996925285236,-59.994935751361055
300,0.1000209172342345,99.99982745937803,0.008331527192203007,0.2760428974594999,0.009883254273910527,0.45999996931931303,-59.99473910568125
400,0.10003077555231644,99.99985084077427,0.008340725139160286,0.27725914327575496,0.009832528184059889,0.4599999275713263,-59.99603465868521
500,0.10003355026728218,99.99972718047556,0.008419527832384137,0.2747083039974512,0.009725159607354534,0.4599999011348311,-59.99433482820023
600,0.10004015815740339,99.99970643015702,0.008566839480672628,0.2722945767936792,0.009692971390093471,0.459999872457336,-59.99310761308645
700,0.10004651410649083,99.99960466762006,0.008608405140891342,0.2710226314027621,0.009564880362587475,0.45999985690337736,-59.98997984205238
800,0.10006625039377887,99.99958794460255,0.008941535972893978,0.2687489343655664,0.009556706183192485,0.4599998504212286,-59.98977910308022
900,0.10006737720112659,99.99958997164832,0.00905558182113505,0.2673324390136497,0.009512956005580506,0.4599998516050548,-59.98566944904952
1000,0.10007332940108171,99.99948540201815,0.009164729727925454,0.26745001330416474,0.009385764679634225,0.4599997903739584,-59.98475801964032
1100,0.10008080989204976,99.99939784583994,0.009082262627980469,0.2641391603991244,0.009284384110144397,0.45999979070402947,-59.98578951111531
1200,0.10008173653014922,99.99938886796807,0.009375028376644168,0.2655831368336165,0.009365244684988219,0.4599997818385345,-59.98141196713487
1300,0.10009116671738966,99.99939561166894,0.009305395963102763,0.2645618877822998,0.00923410352446754,0.4599997455380242,-59.97817184427638
1400,0.1001041561012889,99.99933905126657,0.00957378644096724,0.2628110867438677,0.009098767490511129,0.4599997117226308,-59.97984585539867
1500,0.10010658347766128,99.99923123826245,0.009484405082291794,0.25910747845062443,0.009093304480389348,0.459999716116647,-59.97465957232761
1600,0.10010886274543876,99.99922515658238,0.009887892085775035,0.25857866037239247,0.009010259290983074,0.4599997055648345,-59.976902166669575
1700,0.10012251164415942,99.99917997898501,0.009978973679640884,0.2571495329764758,0.008985012779545373,0.4599996609046785,-59.97013706226984
1800,0.10011628175764527,99.99905062275478,0.010094553353904002,0.2572845309378535,0.009000604611550828,0.45999963758874085,-59.96891876589789
1900,0.10012707604047602,99.99907347448035,0.010078610048754507,0.2547693369893216,0.008970107279177455,0.45999963377081104,-59.97127933518634
2000,0.10013006960378507,99.9989948354227,0.010157869791661181,0.25377525181183747,0.008880547774869496,0.459999587634962,-59.96551027407792
2100,0.10013933231943094,99.99897172908095,0.010345439344940541,0.25226551221989013,0.008732396024629548,0.4599995806856927,-59.9658674032027
2200,0.10016352321161776,99.99894155580961,0.010340998925272262,0.2522902764369765,0.008812982303602725,0.45999959506262383,-59.96635872069255
2300,0.1001650747178154,99.99884353948777,0.010483546100323876,0.25268757548118376,0.00861269807513995,0.45999956099938105,-59.964469462268006
2400,0.10016369725647148,99.99878623643929,0.010502204417561951,0.2512587502394752,0.008641235697899463,0.4599995346946623,-59.95719914800441
