milliseconds,M,FC,FN
0,3.0758935987029874,4.77328883575753,3.635938770843681
100,3.0495272629577683,4.740291695062474,3.7022738138611544
200,3.0048687317842497,4.727446416924957,3.6904989387977687
300,2.971137245084576,4.729453189211289,3.73540201424073
400,2.921023866285025,4.773683549066582,3.668641964551436
500,2.875664515139087,4.7046222933941015,3.6652337241805153
600,2.8614441409495868,4.76084976998555,3.7869028137717753
700,2.7792910692842754,4.750647574261953,3.757735901466912
800,2.811011455381224,4.669491041060963,3.702797800623259
900,2.673031659376995,4.74043632702638,3.811769335918209
1000,2.638027115135926,4.668535440551095,3.795445296287702
1100,2.643177210791901,4.7063895805248634,3.789728118814741
1200,2.56011099866552,4.714046347464919,3.73859782792966
1300,2.533435010498587,4.690025791717425,3.8519962786142026
1400,2.514000206972556,4.656304466165807,3.770971689753911
1500,2.458804932601837,4.601490000820144,3.83219381117448
1600,2.441139017179294,4.64481870511103,3.8226299400664128
1700,2.425333819485825,4.560899164128671,3.8529104408322077
1800,2.310746031521998,4.625828934616694,3.862250847323801
1900,2.2921771746361346,4.575682927850289,3.8638424574452883
2000,2.234540002240311,4.552597781175038,3.784038789963898
2100,2.2783764274640834,4.545639125683037,3.8486196264342523
2200,2.2473795155671175,4.4741064727299875,3.7928266251684173
2300,2.1535965822464465,4.484987960440661,3.773987973865224
2400,2.0662477077984565,4.471155286313898,3.7402526367779267
2500,2.139918541190997,4.409221060310161,3.816469509186887
2600,2.0711471554096375,4.347723093610987,3.759485273898808
2700,1.9806364852928897,4.320835596685333,3.8055929279528264
2800,1.9236094519918256,4.383291181347247,3.7975903175668773
2900,1.8634366376235574,4.333656508628038,3.782370527472327
3000,1.9248639244554948,4.2963294354222334,3.789334853769948
3100,1.8657702338509843,4.203535193076314,3.7470209577910794
3200,1.741095427742397,4.2560055700918,3.7417917493332706
3300,1.7085769573912983,4.165182196657562,3.676754610865193
3400,1.7865072795974482,4.108715787070758,3.6771394740438117
3500,1.6716014356416657,4.073161208643771,3.6553544841684467
3600,1.6267639941775263,4.044973124952209,3.629964052582075
3700,1.6537033132354584,4.067321998798601,3.589845042834709
3800,1.5297505834507672,4.049610167384872,3.5940442685422855
3900,1.5177646454465643,3.9202470621909584,3.6467028595144115
4000,1.4550911292443285,3.8873224576125254,3.5524994907919965
4100,1.4052786416213268,3.894124286017866,3.6338947419053595
4200,1.4084543113227312,3.871055173037388,3.593528553994205
4300,1.4497372185804291,3.755644444705765,3.564425261849128
4400,1.3254811657904324,3.757313963115613,3.5145505472996312
4500,1.3039426597776511,3.72413085422967,3.448200306566576
4600,1.304885387122485,3.660849405962083,3.4208954002051617
4700,1.3013273478205791,3.623839446787945,3.396860823210999
4800,1.2002368279990068,3.577939996600552,3.396064407529042
4900,1.1497005417227406,3.523553665894748,3.3474019672167303
5000,1.1055499404702303,3.496652507016772,3.3830499009110477
