milliseconds,M,FC,FN
0,1.545728339791841,0.27054340452313097,0.5351006052686839
100,1.6706004229752587,0.1989708875345882,0.5384448813714487
200,1.7747742257807628,0.2762371556152326,0.5350034935453156
300,1.9039632036881613,0.31048115175178564,0.4505121479604566
400,2.0178741029875145,0.2489034821063495,0.43536464388334994
500,2.0771407846677423,0.28174654774365837,0.42161386924140903
600,2.2279921184816716,0.32921777614813635,0.448353824725314
700,2.375313684015991,0.4226940658459035,0.40640809331716665
800,2.415210544014039,0.3519229646774611,0.4399749684766301
900,2.552384557512684,0.45046496521582935,0.4329835779865731
1000,2.688425629043578,0.42117629093371506,0.36582993252321827
1100,2.8020891821585194,0.4481312138521015,0.38873250152376826
1200,2.8727659984906126,0.4434063737022379,0.504236008835212
1300,3.0345985579144306,0.6071960106985722,0.4663308086425977
1400,3.094364335017443,0.6023938601687712,0.5050023098179937
1500,3.2096533596562438,0.5468926389515655,0.38165390480963607
1600,3.3676929817823695,0.6614437913230446,0.3784515335046744
1700,3.455522652423268,0.7425762266800711,0.4407076941331502
1800,3.568299374900134,0.7475248841910971,0.5149059042160495
1900,3.6671447133225015,0.7873748984836247,0.5362398137980408
2000,3.747619931480673,0.8270025714745376,0.4706723827858689
2100,3.901787017829081,0.9495373737072692,0.5037172759695729
2200,3.9614776421248905,0.9344790342373339,0.5467083471407834
2300,4.076153580844169,0.9893501581266547,0.4899500772643068
2400,4.1689903067312875,1.1035711547451166,0.52745673652226
2500,4.282494467888522,1.2203933383694054,0.5792554729473101
2600,4.3964417884636955,1.1899134578725288,0.6705179907297883
2700,4.49763380820041,1.3631926618962715,0.6347659726206493
2800,4.596100135037967,1.2964329921837818,0.6647613681942496
2900,4.685808541617497,1.3552625323957703,0.6555923548296259
3000,4.7267886579849305,1.5210010523276105,0.6786561325010577
3100,4.862401412941485,1.5996327396785501,0.7608272995411551
3200,4.870959942409599,1.6618693694819844,0.8477561030486296
3300,4.977068372600739,1.7168207937363695,0.8344486462316848
3400,4.994694922717213,1.8235320051554216,0.7962348063863091
3500,5.053517071466484,1.9700974277324226,0.9460753969181355
3600,5.101262194026824,1.9295102589646562,0.9169918250640284
3700,5.175793452201206,2.051490631854618,1.021307875359814
3800,5.199514306236546,2.2040755318874155,1.0003645078258367
3900,5.200295085109483,2.2482453587753937,1.0907101105211272
4000,5.27063193316138,2.2808309849943242,1.1432049566322933
4100,5.2594949181215345,2.4152231792412806,1.1133460381575346
4200,5.27209265596364,2.4920348982829577,1.2791444292496563
4300,5.300578620825144,2.5643635744339823,1.2374766948638127
4400,5.300248301107735,2.678159236445548,1.3476183072739663
4500,5.261207724017536,2.761760849672192,1.319961472348706
4600,5.254918658818963,2.7528628177129764,1.3893148839544736
4700,5.258006776595925,2.8437098484065237,1.4587817787725121
4800,5.216795670807311,3.003337183124849,1.4884482129121903
4900,5.1833609093918875,3.021687066457773,1.6487258693455034
5000,5.151289283413622,3.030579209925165,1.6988724383133043
