milliseconds,C,M,X
0,0.3,0.0,0.0
100,0.31728295812983254,0.0033940212177470887,4.857256897010559e-06
200,0.3341391729429082,0.003916413280434388,5.608983156640813e-06
300,0.35057918623301754,0.004527519784019398,6.489619553416501e-06
400,0.36661327047639286,0.0052496050220145534,7.532015806913331e-06
500,0.3822514436032377,0.0061112906012326575,8.778574150507145e-06
600,0.39750347502858,0.007149675845970024,1.0284627719003345e-05
700,0.41237889133796085,0.008412545311242083,1.2122072007684248e-05
800,0.4268869819019706,0.009960443586538642,1.4383083834818686e-05
900,0.4410368041904624,0.011868031900732864,1.7183174984647846e-05
1000,0.454837188873929,0.014224214998442937,2.0663003163925704e-05
1100,0.4682967448258306,0.017129406568325085,2.4986597295349063e-05
1200,0.48142386406643606,0.020691048296722612,3.033767709088782e-05
1300,0.49422672670002515,0.025016656299438934,3.691279436369589e-05
1400,0.5067133059303822,0.030206136873537515,4.491359741034395e-05
1500,0.5188913731175386,0.03634595011149582,5.4541741725366556e-05
1600,0.5307685028522607,0.043504798475188594,6.599581731881784e-05
1700,0.5423520778512002,0.051732549142637876,7.947279720128361e-05
1800,0.5536492934882721,0.06106165771381743,9.517342402123451e-05
1900,0.5646671624506943,0.07150872000788856,0.00011330768890078785
2000,0.5754125190286912,0.08307697352172091,0.00013410254610804928
2100,0.585892022782501,0.09575976900786917,0.00015781219280348093
2200,0.5961121621793376,0.10954251810006112,0.00018472732779102746
2300,0.6060792576926874,0.12440465078314437,0.00021518633809480521
2400,0.6157994646988174,0.1403218314325755,0.0002495898805026661
2500,0.6252787757248464,0.15726714719801613,0.0002884169929965147
2600,0.6345230223889048,0.1752115197020158,0.0003322439328941716
2700,0.6435378765875873,0.19412464734077786,0.0003817715670437379
2800,0.6523288510084085,0.21397627269710476,0.00043785983897929817
2900,0.6609012985798539,0.23473594181448523,0.0005015716392974119
3000,0.6692604106647049,0.25637316506232,0.0005742375714011209
3100,0.6774112134874591,0.2788580227260176,0.0006575344526752726
3200,0.6853585621116451,0.3021611326183308,0.0007536196303334451
3300,0.6931071311660076,0.3262537295495528,0.0008652742820752381
3400,0.7006614001461141,0.35110771529259027,0.0009962179953765045
3500,0.7080256325107275,0.3766956634488903,0.00115136686465082
3600,0.7152038407929289,0.402990803323287,0.001337553959805782
3700,0.7221997424894314,0.42996696323474964,0.0015643309768522144
3800,0.729016675403701,0.4575985136535649,0.001845477907826054
3900,0.7356574795319852,0.4858602546449853,0.002201434260819987
4000,0.7421242981530903,0.5147272752876246,0.0026633704970574447
4100,0.7484182509366933,0.5441747567126343,0.0032802096888953896
4200,0.7545388848933208,0.5741776931428465,0.004130509655782213
4300,0.7604832655204513,0.6047104877951204,0.0053409383770634915
4400,0.7662445544005051,0.6357463582882726,0.007111404170988933
4500,0.771809989597364,0.6672564460897376,0.009737537079277351
4600,0.7771586114875159,0.6992085105421973,0.013609567744782971
4700,0.7822595638879595,0.7315650587068673,0.01917036618044119
4800,0.7870718607040779,0.7642807145451049,0.02684811084031921
4900,0.7915457273713664,0.7972983030503553,0.037001912326329135
5000,0.7956248574894855,0.830542301428729,0.04990199442168967
