milliseconds,cLc,cLm,cLn,cP7c,cP7m,cP7n,cP9c,cP9m,cP9n,cPn,cTc,cTm,cTn,cXc,cXm,cXn,cYc,cYm,cYn
0,6.743058853947919,0.864205420065687,6.84934783205327,20.066289129990295,4.284803128947945,2.062624330855727,6.07849677376304,1.1040497490121806,3.7118208270742477,0.0009690455905673901,0.1743258139174312,0.3684929597152964,8.056756080172676,13.066328294430779,8.516640878494806,31.949863837344267,7.186898019100129,0.1955077621740941,1.061119454195293
100,6.86667352804185,0.852487970082564,6.8688425459876,20.358857454746996,4.351348304236219,2.1268041572105294,6.014846260179849,1.1213989023890811,3.7896759662590216,0.03488089326611521,0.1661211029299309,0.36189654126373955,7.8574703903546,13.09379191032358,8.439290496998277,32.14952992165914,7.045496975305884,0.1898892243768302,1.0530537026495985
200,6.900148990167579,0.8401951139089948,6.914369654512093,20.63524880666312,4.359905039823957,2.1547502193071573,6.155264778561613,1.135390519960626,3.81154810112333,0.07407175836408442,0.161075044682533,0.3501026013267969,7.757836029970058,13.255398975004429,8.574043551675604,32.35054619756314,6.911697801826965,0.18538588883512908,1.0480138672396826
300,6.893259013455048,0.846923423656364,6.951086756379654,20.73479812747818,4.413505916376244,2.1935587550336537,6.10093267462904,1.159364107314182,3.861525530525659,0.11241543683320132,0.1601922038200837,0.3452926586542656,7.732531466121538,13.325839834080757,8.44982867626285,32.62042690734648,6.790118804314251,0.1838516838339801,1.0277490127353592
400,6.946693576442543,0.8346811123359179,6.972522582926288,21.522237092798168,4.4422684298835495,2.1948913452111958,6.109951753261803,1.1688366269732562,3.8764103794077642,0.18279394765452164,0.15271716849202396,0.32982709246841313,7.469711381690006,13.404592731719205,8.523416625983927,32.829456147628214,6.684076121197765,0.18110870467620308,0.9974405974348391
500,6.975085808229587,0.8455820471112427,7.056213027368023,21.16649506000249,4.515912878807624,2.2396625358165725,6.191592057293988,1.1907172356565732,3.9054250862212343,0.21449455636713408,0.15404216916419033,0.32237234916513174,7.40627820079116,13.557626994442858,8.479124535252172,33.049143766628724,6.571017133528285,0.17713104189301876,0.98828311807142
600,7.046769453640675,0.8260769781256004,7.105974261227904,21.94857169807587,4.533850891203001,2.2561921260881634,6.278194092632116,1.1980842340209075,3.918279857275853,0.2360524941021412,0.1495753110832355,0.3124615045269109,7.179538179816633,13.557504085589295,8.484567966642821,33.23657345854633,6.431840089539726,0.17360001022761437,0.958380745922815
700,7.0313369292542784,0.8311353740789641,7.1026331361181745,22.128847462337838,4.568173905046304,2.3468721516359765,6.228591337033988,1.2198411094462436,3.9258104147370863,0.28163312390953377,0.14780973289448565,0.3062474253817313,7.117957281449435,13.666228647151256,8.503718636116606,33.47190468048091,6.334596086090473,0.17105454169727174,0.9730158416139687
800,7.1173198853464505,0.8387258452864537,7.1880220782919055,22.867749487519248,4.574135471124151,2.392241402495698,6.342894695488982,1.244879010326261,3.9310031871531868,0.2926345221432416,0.14750154664541923,0.2891832104167584,6.957294036168452,13.781849423947769,8.550676843720987,33.85381194580227,6.158995995353691,0.16559963862442553,0.9332318981819164
900,7.091275031254118,0.8327774923770472,7.161282455650432,23.557189953780696,4.615809418599864,2.3606164650883503,6.3363590395577924,1.2491616789635338,3.960912348091324,0.33184833931498026,0.14334242990599924,0.2925111054751112,6.883487273066079,13.850143340734192,8.47544912698108,33.973249278132755,6.239352411090319,0.1646821296890848,0.9185049139820745
