milliseconds,x,y,z,w,v
0,1000230533.5516863,5600060.412896777,189999760.98833448,-58931242.759743676,6563952.748106024
100,902468466.2057642,5591775.806254074,189610543.1611545,290237951.17443633,143768931.63950542
200,860086121.0163244,5585758.647783252,189149005.76015314,280094770.5333885,229869527.91142857
300,838063694.9400321,5581240.00899065,188988228.5833972,465893192.4967451,479762289.4476495
400,813498460.8210907,5572712.03609273,188577446.55564418,679977881.2820865,576177412.7422901
500,799875934.0784367,5565816.438617853,187895207.4604145,786848307.6623869,752908173.6450527
600,789784904.6058719,5558471.226045473,187753102.2348744,1104289080.0173411,822438694.3624336
700,779018457.3577679,5552238.029556644,187177965.77443153,1265283444.0675428,876805473.2721508
800,772780204.5616974,5550322.152494899,187163579.19673806,1349100437.1543908,1091756417.060188
900,765824319.9737357,5544615.868306634,186458473.4037223,1550861850.336739,1285885375.8055844
1000,759922803.5744007,5535929.952351391,186327990.2836504,1668661197.9160364,1329279206.3569617
1100,750739463.6307887,5532548.322271712,185911382.2614044,1763734090.0863953,1542757761.933899
1200,743661736.4344456,5528145.323849724,185722940.07539186,2025828404.4586241,1690563563.0545156
1300,743860191.326459,5523835.970271012,185333647.07797125,2199325392.447213,1812760902.0387723
1400,736128748.1863579,5520409.059191681,184982155.05107665,2333773860.908552,1915505288.3790002
1500,734200530.5908924,5514494.217317606,184304927.91643462,2526326664.4920697,2016574375.6459906
1600,731051283.9887589,5507968.09132354,184088888.63637257,2576315320.95996,2144460262.4269798
1700,730341876.3086149,5507239.880101929,183675314.0254047,2697243395.167122,2236196868.655264
1800,722159766.274796,5500771.34979208,183380985.41809464,2935717827.46555,2452649277.000942
1900,723889779.8572716,5496276.436288632,183086059.97008032,3017730221.567564,2420360580.7023478
2000,718232059.9188867,5495078.563984454,182348882.28336567,3300968158.6414027,2546070838.668869
2100,715946216.0046519,5490037.110279344,182008756.19190922,3450685391.513362,2676224955.6332116
2200,714946848.226683,5489259.579985269,182073635.6004359,3550636091.710902,2785439969.756676
2300,714597426.5968978,5486140.46244265,181204191.43609536,3596496350.169924,2941790980.2728605
2400,710500965.9699405,5482801.204726136,181005653.96646866,3829737401.632667,3134736002.075937
2500,711091885.2036133,5478908.591605029,180620035.90648758,3960578184.768174,3287128456.73037
2600,708534738.5489107,5478277.242987493,180536344.8063051,4182530069.0022264,3293852125.6602707
2700,707387953.8519944,5476522.222682017,179754740.53341085,4384444949.404506,3421213964.4436965
2800,705255045.4554178,5474281.280912052,179538050.62353992,4355308704.302549,3681363222.8418818
2900,703131932.6990441,5469815.857764949,179450333.25932404,4525502851.810666,3748175065.4894896
3000,702612843.568762,5469217.293197826,178688762.6078341,4705241835.770489,3868349020.325823
3100,701617298.2422891,5466414.721925045,178816531.3456203,4898286706.819137,4011775529.9998374
3200,702706493.9382875,5466116.259906186,178400896.06970283,4977313562.540327,4118044124.0969105
3300,699967667.3032645,5463200.704755913,178134542.5771186,5047076394.781117,4147668183.237138
3400,698519739.2235925,5461202.348595525,177522272.52690017,5220431750.999333,4250404973.4802465
3500,698563026.0941836,5460555.439661329,177029111.12449458,5365911212.914295,4370230855.30766
3600,696327029.8453363,5460386.000363826,176727945.01398063,5592913809.468246,4477891703.045859
3700,694653147.2285957,5458203.713163287,176431314.42866835,5741869709.69018,4672364659.234201
3800,693205424.6668757,5459467.471286513,176341597.1304564,5850197388.893703,4809258922.045582
3900,695799081.9230222,5457356.222156996,175944555.4920052,5904464910.311358,4927769395.615609
4000,692061300.8085576,5455643.280709137,175206627.28275967,6172532711.999394,4961922828.014096
4100,695429797.1436317,5455598.046084336,175164329.31179535,6181874350.600214,5082006198.729972
4200,696377478.642713,5456724.354873149,174941052.9650528,6287646152.117755,5176224842.933524
4300,695489160.2211729,5454503.185233703,174398848.7501603,6479421736.911559,5218102490.185141
4400,691438084.761956,5454509.110093458,174105451.3047595,6626590648.84109,5476838003.336436
4500,693212161.1006185,5454049.108978319,173709155.2622266,6614037865.66379,5489921428.612576
4600,691338066.9639574,5453582.793058534,173177738.00247604,6930947819.1553,5679709074.389907
4700,688819788.1635725,5456443.068793241,172734935.19393566,6922237438.135325,5771159690.818903
4800,691179990.0525713,5456704.558574074,172558312.01450896,7193739694.55929,5815302264.093871
4900,691130067.812259,5457939.312230107,172034601.9507007,7272367345.773734,5881703482.139387
5000,689191215.9118077,5457936.993090441,172168136.37201446,7336725537.8582735,6041892514.434269
