miliseconds,x,y,z,w,v
0,1001257568.8690509,5601456.117721484,190172889.45599625,-39629601.87122515,-88340132.45477484
100,903032174.5915347,5591819.735189938,189420985.1715948,242346234.90676564,216280924.40107036
200,861914431.6770444,5585713.455012518,189041236.85004315,422301050.5670439,340352202.13627243
300,835336832.2278813,5579417.501647485,188997465.15678126,586826222.9800291,418165736.2411222
400,817685396.3459063,5571572.386930198,188705494.24425402,657018117.2859446,589962464.5463498
500,799883283.6662867,5564798.173831699,188009150.7292868,863730069.0908911,619984468.2686441
600,790966821.1862359,5559937.120602543,187664673.70151448,1006614510.8802645,901187159.0091513
700,777783177.36089,5553192.102069699,187323062.97644892,1190063974.8528638,1029211476.7075925
800,772995785.4088035,5550144.538001611,186976240.4207697,1446325237.9433503,1050948303.7349839
900,765910462.9480906,5542166.214058419,186457849.00193262,1446540761.4803326,1300912775.5149975
1000,756258292.0593706,5535799.786167894,186128249.23654857,1632609583.7628074,1272312235.72963
1100,753276737.9042563,5533432.487737095,185626899.86026597,1855023747.6772954,1426422478.811704
1200,743915132.7179105,5527431.171346456,185307681.49395683,1962213699.8937771,1598320927.8100243
1300,741088359.8614382,5522493.504374376,184954746.9498399,2107198415.9068203,1809585383.0070243
1400,738691766.4786758,5517053.394655031,184697031.27139932,2363983087.0780745,1938034308.700664
1500,735007790.2996852,5513234.187831799,184239998.21124473,2440587410.516627,1917507094.9703038
1600,730575776.58736,5511049.840356372,184202919.55794027,2653069428.799519,2162551398.153758
1700,724701658.2679505,5505600.664847506,183519451.59698585,2823219808.4283414,2227584228.7679415
1800,726639762.4213903,5501321.053681954,183461412.00662416,2981970405.770153,2428226136.985567
1900,723561026.5080149,5498608.52019441,183079703.73024476,3104489376.6485415,2440899598.1494675
2000,716969419.3049694,5493853.093354167,182541611.25358155,3251067013.0148373,2547356751.404393
2100,714450755.7663087,5489288.442446542,182257487.93690524,3344314002.3721657,2822110268.201082
2200,712304490.7927905,5487685.618939445,181589548.25003037,3592216000.223082,2802930091.5885696
2300,715618378.327247,5484054.574894097,181570367.02846417,3653763480.1777606,3058230711.7693424
2400,713991754.5116242,5481899.127595196,181317058.19825444,3936717723.771548,3099664928.494529
2500,707732929.7122132,5478920.908437138,180833016.66523722,4092168933.148186,3152278519.4103584
2600,710762025.3294868,5476387.411806258,180621285.34013468,4104920876.060065,3373165205.670615
2700,704224010.2661034,5476442.853991248,180280800.15263036,4320512388.180301,3393521156.7184534
2800,705210302.7873939,5473246.9960533865,179926246.50332743,4437622160.95673,3512165499.061518
2900,702683704.4244148,5471670.741355105,179086220.71944058,4501281334.725056,3653994123.812572
3000,700652014.8486912,5469782.311211259,179014247.8093789,4674641554.3730135,3809752763.8614125
3100,703287271.9174877,5467711.930226665,178771101.7708343,4925811715.774319,3938783758.003544
3200,700376767.0696574,5465253.968539871,178371891.20826653,4897570614.385464,3992545390.272978
3300,698428403.9724923,5461981.940232994,177729422.507531,5093805922.166803,4132211669.537813
3400,699207314.7891612,5459727.290239807,177464979.44425496,5296955141.499344,4320155747.152492
3500,700986836.8216267,5458977.801283691,177085421.43648922,5365428574.803172,4365541911.708357
3600,697443754.5887415,5458154.77876035,176938080.01861683,5496543154.148706,4455566703.514116
3700,697757306.0217053,5458138.596587667,176396393.34409833,5572424073.165656,4637744950.307267
3800,698306124.551199,5459233.748091731,176323112.03149334,5867710132.853656,4680786006.811626
3900,696347041.3832463,5458220.12954394,175876135.49714574,5838226863.903011,4859215147.374555
4000,692458833.5237255,5457368.152783903,175571994.21986097,6096866250.952502,5034083001.520834
4100,692681106.1631722,5456384.8520928025,175308746.01551202,6182847012.2110815,5059494534.186927
4200,691416655.500763,5455848.422526031,174467362.89992946,6367278082.934146,5191300522.706434
4300,694070641.8995796,5456887.645738945,174169969.46815413,6479815296.731496,5255713846.830643
4400,690071827.9971181,5452848.775549419,173760563.46150175,6653530258.496905,5336262908.6138
4500,690693236.7528926,5454407.329786236,173707092.9929758,6671112219.072406,5549978150.290985
4600,690574218.9975799,5453073.246369873,173470042.85443005,6863214504.198336,5545049953.338083
4700,690676125.9352611,5454801.2281533,172749024.35700113,7077337844.404291,5788744844.581927
4800,689444686.5298704,5453947.86111349,172420769.45616087,7094027932.608984,5861261076.27105
4900,688502580.7618239,5456395.057004644,172226583.3322947,7200554946.628021,5937726421.568061
5000,690909832.8234187,5456189.232403863,171972356.9323658,7456154602.431766,6119877577.641325
