miliseconds,x,y,z,w,v
0,1002445210.4234726,5599646.937675045,189874042.9057266,89065215.60369658,-87979518.69196153
100,906480620.9362334,5594023.195658893,189876409.41797155,177533220.30694595,128072164.96538953
200,860302863.3954614,5585487.5815148875,189160823.67968267,330493417.0143628,272488134.5211221
300,832528835.6960204,5578011.717030702,188836318.15399286,441541259.15634197,422818675.68772256
400,814646605.47815,5572706.703330931,188375861.43187,658617370.8344787,492668949.8517157
500,799798525.1328114,5566192.228890094,188318098.08448848,897426483.0679724,610441386.2468033
600,789126188.7771525,5560582.754468655,187706674.31117788,1146414622.8174772,788621942.1492015
700,778120087.1961145,5552666.093416571,187347948.16266733,1301978624.693083,1004291070.5279764
800,772570907.3499823,5548755.030282101,186974493.26615357,1370502999.5450478,1076162165.2996583
900,761472319.7450714,5544800.257184361,186506268.61661327,1454074528.5611262,1228367768.4143078
1000,758043536.7307533,5537580.828411701,186027056.14933038,1601821778.0023067,1316530753.6373506
1100,753865425.3846457,5533842.656037462,185829376.57373628,1816400541.1456187,1473255294.7240443
1200,747441020.4684528,5529031.112958224,185357550.10573462,2047174184.5808957,1678171365.0807443
1300,739400823.9626184,5521128.548067637,185188569.2852915,2083952282.5155938,1762631823.512176
1400,735726273.7434236,5519774.399936295,184720846.22930008,2442718797.8407965,1912265028.110622
1500,734199324.5514448,5513002.940832018,184337587.78329325,2596015166.0947556,1976731463.6553035
1600,727989171.9594848,5511416.79006753,184060934.96368432,2681856809.494529,2085833399.7930992
1700,725858197.526348,5503841.038618198,183411720.30728975,2726391352.7046337,2246297346.093862
1800,722241002.7327769,5502922.7547099665,183142521.18260095,2846445641.759323,2460691420.122725
1900,723469607.3440875,5496856.211069805,182763063.64355615,3062507110.8273773,2589950759.2971635
2000,721143710.5575892,5495741.147999332,182729737.84478632,3324722479.881175,2534982121.5781593
2100,718126371.4190993,5492320.890599236,182456518.01260486,3313007179.4785976,2815180397.4535894
2200,717339303.5028405,5486188.750249175,181575311.9572919,3496121534.327477,2905115809.4677663
2300,715993904.0351932,5487038.939645001,181609769.52380204,3757489467.480353,2946672944.866386
2400,708919967.5299333,5480160.814324565,181356818.49821174,3879860197.0414686,3049921134.714704
2500,710979276.9270598,5479770.395710142,180869984.7264608,4094671797.4659004,3264325467.716751
2600,706453515.9411105,5476546.359568416,180427516.48702574,4154013308.998336,3297606900.4674754
2700,705934648.6998895,5476342.702344161,180242120.95409414,4236179600.3943396,3441126531.0211635
2800,707023008.1104798,5471418.5818341505,179710415.83760375,4482668267.347441,3525717923.961806
2900,703176187.6022078,5468681.606035767,179424950.73886108,4530798120.593235,3716368418.7833424
3000,703182788.6955974,5466659.527078196,178861863.2425086,4661984730.434354,3764100219.34346
3100,702203074.4879102,5467126.778008769,178692439.4244367,4948667167.714838,4026860860.900779
3200,701524489.0878462,5462915.586260516,178248397.03178555,5034154364.332057,3986088018.1955233
3300,700667303.9830956,5461445.325559701,177870831.33376703,5100310018.442529,4245249380.9801354
3400,695948685.8170593,5460830.112342048,177698457.4881247,5324662691.500468,4327056988.067079
3500,697981026.1839678,5458880.294404629,177218717.94695964,5470896504.842185,4329132253.33433
3600,696769711.6558468,5457249.677813771,177073640.31621715,5581458174.661303,4503049292.152149
3700,694033719.9477899,5458299.346897107,176455235.8486049,5617943194.205744,4590908057.81479
3800,695508791.9726119,5455185.617869417,175894426.52223128,5724082438.834742,4689852932.694636
3900,697361725.7694428,5455066.572224937,175999491.42569372,5985412222.422005,4927009297.971653
4000,693738742.1312544,5455176.46232585,175631589.00900456,5990430138.347303,4980963585.44851
4100,693119174.9600707,5456396.487337264,174986242.04097226,6254307331.404376,5034922317.73509
4200,696530691.7167172,5456473.472699456,174642570.19035974,6345225807.982131,5236584900.929957
4300,692259599.3975644,5454117.984329267,174561265.68052214,6351770092.331211,5276382919.463726
4400,694041508.3516285,5456221.775604194,174243267.789593,6513196960.866491,5502317885.449669
4500,694917482.5609208,5456560.285588766,173736335.82625613,6646742015.070862,5464153194.417113
4600,691479162.1135974,5455075.917233889,173372609.51095137,6792701652.852741,5542423902.518299
4700,690550464.5428602,5455329.29268619,172906794.71779725,7026617270.587538,5671295829.622196
4800,690788541.4212546,5455421.36440711,172414061.10120356,7021112442.646752,5806372009.722545
4900,692268409.3693329,5458272.633449256,172138342.36832547,7330949554.571406,5987173959.976043
5000,691025839.6469436,5455555.231524631,172089066.62837788,7441995026.17992,6076351960.822936
