miliseconds,p100,p52,NIK,IkBd,IkBd_NIK,p100_NIK,RelB,RelB_p52
0,-0.07483193687772827,0.0021488683829181225,9.905281548117312,-0.000493833900443978,-9.101854197328112e-05,0.012959251369952877,0.024700079093874772,3.497423778624895e-05
100,2.5088154511951934,0.006443128576001151,10.06502493727904,0.0007094058019901438,9.18362924241583e-05,0.04714713766361211,0.13889030755057202,-4.69510749228811e-06
200,2.605905554706733,-0.004969085032019495,9.92702339853217,-0.0017666512332347446,9.549725515284819e-05,-0.012821109565569207,0.158754807122803,-2.3608072762735177e-05
300,6.310433284005541,-0.0037149580106164712,9.862674446820526,-0.0027973383049837803,4.6531599595557014e-05,-0.04832410533002781,0.21037396213943532,1.576009794473729e-05
400,8.9352319584536,0.0007190874614551843,9.821505951472172,-0.000736094080063104,-8.681998442742574e-05,0.1003821380307922,0.358106788730313,5.03844476578312e-06
500,8.88060661886408,0.006283289527499725,9.961059281023037,0.0013489668192261336,1.6894909292926956e-05,0.19650939019343633,0.4648087214686198,-3.155410785152405e-05
600,11.507895071983125,0.007835974731311115,9.843977306491658,-0.0005299919209620333,-8.711159419484021e-05,0.18332598971588,0.4568766552418402,8.554011256424424e-06
700,13.410251585492164,-0.0038073016668659426,9.825364880750014,-0.0006115733503615516,-9.11056792738064e-05,0.1701836807455978,0.5210447016725116,1.0081231151986643e-05
800,14.06133154513906,0.009858236312361532,9.695655522901179,0.0009958486287464225,3.6327169222140904e-05,0.27900278912313475,0.5964123708277805,1.8524033906367308e-05
900,17.145234278453596,0.0008314605539043087,9.527467571561841,0.001684162114235754,-2.97698226740811e-05,0.4217051836684515,0.7409805984707899,1.8638449812506314e-05
1000,19.1057133694996,0.01249429440382813,9.565687561973178,0.005037221751803326,-7.507899855532511e-05,0.49208075638281057,0.822855320086829,3.0313118812439287e-05
1100,21.840412261040697,0.0006755161767121615,9.39224333414838,0.0009262111979029838,2.1846389906050305e-05,0.5434257714681326,0.8467523269445866,1.3866652306609168e-05
1200,22.31339385792339,0.009735044953123571,9.248943804924606,0.0021502815032941633,-8.842306149708498e-06,0.624836432779467,0.941164687792948,-1.3886959881061693e-05
1300,23.649462443457384,0.02602138811296681,9.169771877448978,0.004231095549430498,4.866260603640844e-06,0.7782170882886569,1.0706091548622063,2.488987781800486e-07
1400,25.565470166444474,0.023912476978744445,9.202266624650358,0.005368358765722835,2.1096142254948316e-05,0.7900021267322388,1.0879809886114555,4.043866776826398e-05
1500,29.452481128858757,0.018283735608134476,9.019500923880466,0.00829872366905446,1.797842259539116e-05,0.9019836707992933,1.2025029851732945,-2.3431414117008514e-05
1600,30.084655803020112,0.03344347570439653,8.958214140526641,0.005315759990335386,0.00016243970581938713,1.1725939802464191,1.261886385404287,8.040631222574099e-06
1700,31.27968363333812,0.028913217698827223,8.78267928981457,0.007548548251524126,0.0001633314053590515,1.2587584522717157,1.4119984070277378,1.84750318198027e-05
1800,35.148709379145934,0.05053304253987371,8.609649721446177,0.009316750724914929,0.0003092284060259041,1.378007582908099,1.5098009667170937,5.833542674905774e-05
1900,35.61053717132503,0.05525281264181022,8.49009111497926,0.013397770086686104,0.0002911462449540663,1.4933126317228498,1.4882438176750437,3.6053453094242533e-05
2000,37.03996264988803,0.05250236717623953,8.290280421829095,0.012552322807979575,0.00042677229668111214,1.640121759472052,1.6110690037864406,3.6046649910618378e-06
2100,38.607841347580646,0.06957586658662102,8.224405975663615,0.014612782923584335,0.0004040531522213998,1.7753792065771876,1.6881049198477402,3.978257025826267e-05
2200,41.10022270052562,0.0736802353111127,8.015894297740372,0.02258820736905981,0.0004464953534683251,1.9062174985657911,1.7819698901726442,8.768098448151886e-05
2300,43.094874953185865,0.0776198843259267,7.8446315376961335,0.023404356502120693,0.0006268204344144849,2.037813015265963,1.863868176475619,6.448269213772929e-05
