milliseconds,M,C
0,0.3918267185948995,0.8095160647727605
100,0.4236855569922403,0.8927826263839237
200,0.4650195690700697,0.959547698558485
300,0.48827234725296603,1.0390215841376838
400,0.5778455846684323,1.1132500240046284
500,0.6511836667679467,1.1730697077280436
600,0.6925707216301494,1.1982534617180205
700,0.7247725422982851,1.2668011758677769
800,0.8616853045176339,1.3064406570502505
900,0.9122128321140185,1.3191052146407205
1000,1.0083727002457488,1.3430393591764307
1100,1.1735759927331184,1.3761344877544086
1200,1.292853794283152,1.353194150492632
1300,1.4356763686261997,1.3552893892390405
1400,1.6124184159721016,1.3144747622283601
1500,1.7908302591656309,1.2876043549513425
1600,2.002098013361397,1.2211844009373531
1700,2.205953766471114,1.1305491056193533
1800,2.502140559416224,0.9949701161156459
1900,2.7478036980260927,0.846137292676
2000,2.877860700831429,0.7071048029508885
2100,2.8457273337842004,0.5274267378368015
2200,2.6538746008883143,0.38336029069379335
2300,2.2072760735367294,0.2645773317850714
2400,1.7416637570488165,0.17267151444235768
2500,1.1798242484705932,0.14178112881029456
2600,0.7452510442563856,0.18301339483610882
2700,0.4815490043550348,0.2526770768645798
2800,0.31579576260651965,0.326979302467905
2900,0.24934154003751732,0.4102761701326697
3000,0.1832454006536003,0.5270295670092031
3100,0.22998117645081032,0.6123749877781379
3200,0.2775987799533644,0.6848867046322152
3300,0.28135237328448354,0.7843296158036598
3400,0.3333369530395206,0.8692887855450633
3500,0.41186549247353194,0.9454338735193656
3600,0.48063201705991526,1.0475979482534654
3700,0.5640999087338846,1.1075957240250849
3800,0.5883167013846534,1.17205119414469
3900,0.7147178627924753,1.237670693477533
4000,0.7582733653043304,1.2838419594173645
4100,0.8236105805142308,1.3281418056094947
4200,0.9308776615270294,1.3598083784344153
4300,1.0819386895265588,1.354032978597063
4400,1.164570090063435,1.3901504625818195
4500,1.282127011887423,1.3556561519710555
4600,1.4828631021997372,1.3598620367767582
4700,1.6231918814913748,1.3203838235088683
4800,1.84813412425447,1.2522437964302924
4900,2.0918191142249674,1.195128170481539
5000,2.3408350473218036,1.109433262883871
