miliseconds,M,C
0,0.42208023501498965,0.7916038470508915
100,0.38267674465650786,0.8623417171640652
200,0.4284004644184035,0.9617870725039976
300,0.4647693622178668,1.0284531402205175
400,0.5184777628022533,1.112171975944481
500,0.5978471185088907,1.1779240727247446
600,0.6703586499501828,1.205969608074728
700,0.7401833291398858,1.2743546500970404
800,0.8444938907009619,1.3054434079510975
900,0.9478525687064949,1.3506428268493178
1000,1.0159591865085562,1.371205265014887
1100,1.173794536844785,1.3786448423850945
1200,1.2720588887248017,1.351657617916562
1300,1.4254807919441905,1.3710409570771038
1400,1.5993938138470325,1.3045162146379177
1500,1.761316655411812,1.2700855669747892
1600,1.9991847947905408,1.22730412772675
1700,2.195820216188751,1.1089885023878236
1800,2.5183529942501948,1.0082330131079054
1900,2.706557096202596,0.8524718224701192
2000,2.8331618498228694,0.7031076109420641
2100,2.819284207839298,0.5436720756107847
2200,2.632584318292566,0.39691169027932277
2300,2.1751038140734384,0.2594952940136528
2400,1.737695191670814,0.1697205031485107
2500,1.1682571895822984,0.14230996547420513
2600,0.7838098840005693,0.19675179777734103
2700,0.5004016484710248,0.2406471526361282
2800,0.28647628040106327,0.32717158320430784
2900,0.24702321722027534,0.411135293724673
3000,0.17671229645483127,0.52908400589993
3100,0.2603405017591242,0.6049861040135434
3200,0.25054255093556554,0.7187530227362886
3300,0.34532981502956317,0.8050838621675823
3400,0.3588214609160408,0.895119699524596
3500,0.41477794796357403,0.970894469713085
3600,0.44644658380737845,1.02235422412997
3700,0.5591345463149648,1.0958145309622838
3800,0.6156076282625702,1.1809039470765441
3900,0.7107717788660124,1.2277300546603414
4000,0.7594395186906714,1.2584791582452493
4100,0.866291007894357,1.2960594971694488
4200,0.9359563079310479,1.3314674746601676
4300,1.0135614618746762,1.3593185756814774
4400,1.1832417268629212,1.3728964145821296
4500,1.313626448636946,1.37869570588192
4600,1.4214799054547747,1.359818554045429
4700,1.6053154972021229,1.3378914987907675
4800,1.8052479522722586,1.256677914637791
4900,2.0895099183120815,1.1777268945830557
5000,2.3374355768573225,1.0948464392128923
