milliseconds,ADPi,ATPi,Cri,PCri,PCr,ADP,ATP,Cr,P_ii,P_i,tmito
0,39.0,5626.0,9789.0,5711.0,5710.0,64.0,5601.0,9789.0,910.0,912.0,0.0
100,50.27698979382597,5614.723010206168,9884.992188773092,5614.084734304561,5613.00944744668,85.5315281810229,5579.468471818971,9886.067475630185,1026.5462616526586,1029.8259135540673,0.0
200,50.82815814188943,5614.171841858108,9996.258284509335,5502.818638567594,5501.708889344817,87.61794164555,5577.382058354444,9997.368033732108,1139.690377999204,1143.1023140986665,0.0
300,51.52126342391809,5613.478736576075,10104.256244361888,5394.8206787150375,5393.682881338077,89.72665699609907,5575.273343003896,10105.394041738848,1249.6040774796825,1253.1351512604645,0.0
400,52.34104192863357,5612.658958071362,10209.272064528595,5289.804858548337,5288.644161883079,91.87169278993078,5573.128307210063,10210.432761193846,1356.583615810446,1360.2235782043492,0.0
500,53.2693055433121,5611.730694456682,10311.54552704409,5187.5313960328385,5186.351984915042,94.05240176677064,5570.947598233225,10312.724938161884,1460.865860814243,1464.6064209097574,0.0
600,54.293026580535226,5610.706973419461,10411.270922839249,5087.806000237684,5086.611341554239,96.26874128641542,5568.731258713579,10412.465581522687,1562.6433836386439,1566.4777032908705,0.0
700,55.40261013130189,5609.597389868694,10508.611291296911,4990.465631780028,4989.258640416807,98.52095141066461,5566.479048589331,10509.818282660117,1662.078195170081,1666.0005429256332,0.0
800,56.5909841545415,5608.409015845453,10603.703136524942,4895.373786551979,4894.156950052295,100.80948031507394,5564.190519684922,10604.919973024631,1759.30627696733,1763.3117736490576,0.0
900,57.85284130186143,5607.147158698134,10696.662572213989,4802.414350862932,4801.189819221833,103.13486881102477,5561.86513118897,10697.887103855091,1854.4435302778643,1858.527962935955,0.0
1000,59.18420466445656,5605.815795335538,10787.590742878907,4711.486180198015,4710.255828419974,105.497793377829,5559.502206622165,10788.821094656952,1947.5911775979748,1951.750868863569,0.0
1100,60.58209389745333,5604.417906102541,10876.576480548545,4622.50044252837,4621.265921437677,107.89897415285155,5557.101025847143,10877.811001639251,2038.8382961649218,2043.069998982197,0.0
1200,62.044289434688835,5602.955710565306,10963.698280353941,4535.378642722976,4534.141419162252,110.33917164817395,5554.660828351822,10964.935503914676,2128.26375941679,2132.5645764271753,0.0
1300,63.5691783645364,5601.430821635459,11049.026253368138,4450.050669708779,4448.8120558221435,112.81922290116056,5552.180777098834,11050.264867254782,2215.9382020807325,2220.3055259602784,0.0
1400,65.15564537638474,5599.844354623609,11132.623683451324,4366.453239625603,4365.21441594313,115.33999969805829,5549.6600003019375,11133.862507133796,2301.925526857148,2306.356990329407,0.0
1500,66.80292295055955,5598.1970770494345,11214.548279912826,4284.528643164113,4283.290675020405,117.90237041762543,5547.09762958237,11215.786248056518,2386.2841041822344,2390.777543364248,0.0
1600,68.51051484607227,5596.489485153923,11294.85259724939,4204.224325827551,4202.988182735781,120.50719489246937,5544.492805107527,11296.088740341142,2469.0671765279344,2473.620596530913,0.0
1700,70.27811878166624,5594.721881218331,11373.586074395575,4125.490848681349,4124.257413537979,123.15536760608273,5541.844632393914,11374.819509538947,2550.3249264338415,2554.9364827069858,0.0
1800,72.10583114217758,5592.894168857823,11450.793613749518,4048.283309327441,4047.053399066055,125.84790679604033,5539.152093203957,11452.023524010869,2630.1031579138144,2634.771121388405,0.0
1900,73.9938779825884,5591.006122017414,11526.517765059782,3972.559158017234,3971.3335177407703,128.5858588807126,5536.414141119284,11527.743405336148,2708.4453659848414,2713.168120638327,0.0
2000,75.94271011127118,5589.057289888723,11600.797784446891,3898.279138630066,3897.0584376078223,131.37031451424974,5533.629685485747,11602.018485469103,2785.3918218029053,2790.1678560462947,0.0
2100,77.95259597790626,5587.047404022081,11673.670945167894,3825.405977909022,3824.190849745739,134.2021591911348,5530.797840808864,11674.88607333119,2860.980604389586,2865.808477252013,0.0
2200,80.023857003365,5584.976142996622,11745.172534560075,3753.904388516857,3752.6954248531542,137.08224801509144,5527.917751984906,11746.381498223775,2935.2477892407132,2940.126129765762,0.0
2300,82.1567743073138,5582.843225692685,11815.336236301697,3683.7406867752343,3682.538430728313,140.0113300003857,5524.9886699996105,11816.538492348614,3008.2277530313427,3013.1552604804765,0.0
2400,84.35253826310615,5580.647461736904,11884.19346351862,3614.8834595583166,3613.6884098792384,142.9908615826373,5522.0091384173575,11885.388513197691,3079.9533367041204,3084.928763536797,0.0
2500,86.6126732801153,5578.387326719885,11951.774178631638,3547.3027444452923,3546.11535174201,146.02256625499248,5518.977433745003,11952.961571334921,3150.456207501432,3155.478357957442,0.0
2600,88.93769224836895,5576.062307751621,12018.107588069111,3480.9693350078137,3479.790038436057,149.10753886955595,5515.892461130439,12019.286884640875,3219.7665841932126,3224.834314854121,0.0
2700,91.32740132751243,5573.672598672482,12083.222537416923,3415.854385660006,3414.683594263268,152.24593397281794,5512.754066027177,12084.393328813661,3287.9134278770493,3293.0256386920987,0.0
2800,93.78325625766492,5571.216743742336,12147.145996629082,3351.9309264478475,3350.7689811021414,155.43874073612764,5509.561259263867,12148.307941974788,3354.9247778506597,3360.080388963926,0.0
