milliseconds,M,P
0,1.0,1.0
100,0.994302407245818,0.9905055005960525
200,0.9887435612240802,0.9806292953271377
300,0.9833282273085783,0.970369745959689
400,0.978061404153176,0.9597269248600535
500,0.9729476633148892,0.948700753278122
600,0.9679925428498212,0.9372909901164829
700,0.9632022540823887,0.9254971919911663
800,0.9585835066695354,0.9133186993271769
900,0.9541435588747299,0.9007546223317479
1000,0.9498904117241862,0.8878037921669664
1100,0.9458329156169631,0.8744647432591808
1200,0.9419802959476911,0.8607358938845716
1300,0.9383432098646123,0.8466151842734957
1400,0.9349328684148231,0.8321004030472687
1500,0.9317622470040128,0.8171887867412951
1600,0.9288454805853774,0.8018772713616112
1700,0.926198460332288,0.7861622889841734
1800,0.9238390410909603,0.7700398251579591
1900,0.9217868281975001,0.7535054001626512
2000,0.9200645204025701,0.7365539222415352
2100,0.9186965604227221,0.7191798464420751
2200,0.9177122418740282,0.7013767943730106
2300,0.9171425714671185,0.6831379424217283
2400,0.9170255876750878,0.6644554047110338
2500,0.9174014039505987,0.6453207965257364
2600,0.9183186107746961,0.6257245292499771
2700,0.9198330435755923,0.605656037423324
2800,0.9220094290651241,0.5851036367902861
2900,0.924923096146058,0.5640544408810394
3000,0.9286622563976652,0.5424942138758669
3100,0.9333309898246409,0.5204072141539158
3200,0.9390529749844768,0.497776011318899
3300,0.9459750822938275,0.47458133969936267
3400,0.954273168066834,0.45080185473577195
3500,0.9641610231925046,0.42641378634924165
3600,0.9758997947476055,0.40139073994082464
3700,0.9898086367678823,0.37570341994850165
3800,1.0062793860317363,0.349319197773725
3900,1.0257957898221048,0.3222015778276489
4000,1.0489553776879292,0.29430954846519114
4100,1.0764926973147373,0.2655968321458161
4200,1.1092993858905489,0.23601114771112175
4300,1.1484165292005697,0.20549507119335159
4400,1.1950110118815283,0.1739887719240289
4500,1.2501947907948578,0.14145899766980874
4600,1.3146758569094426,0.10800683760973973
4700,1.3881161546557292,0.07431672904173758
4800,1.46838579187398,0.04333946285766637
4900,1.551783875499898,0.023168742607727708
5000,1.635376158849717,0.017784487175625703
