miliseconds,species_0,species_1,species_2,species_3,species_4,species_5,species_6,species_7,species_8,species_9,species_10,species_11,species_12,species_13,species_14,species_15,species_16,species_17
0,1000.2388765657511,-0.07590626826340231,3999.9506216334134,0.022622739414133425,-1.1524867617424232e-05,999.3426361027055,6.335272393283118e-07,5.4189683732411206e-14,99.9999903688752,499.999951844377,499.999975922188,-9.332334635842364e-14,-6.056978932651124e-54,-1.9406151623143188e-57,1.4725324849212133e-60,-1.9410200407641043e-60,4.7488545258823445,-2.6780535457578303e-07
100,999.2989671547414,0.795685123366116,4000.022109655053,0.05492492808520026,2.3773030107856117e-05,426.2118835670758,5.683332719039986e-08,-2.0548719272415757e-14,99.9999903688752,499.999951844377,499.999975922188,1.8997967537005608e-14,7.675443883891445e-55,2.001194629268087e-56,-2.4097845338558094e-60,-8.248904848483551e-61,571.4036530843515,-7.931145012403625e-07
200,998.8334482160948,1.0052314083001552,4000.0191992064797,0.014363609299468245,-1.0731003867503736e-05,270.23311319507957,-4.2222585722480296e-07,-7.278977748903534e-14,99.9999903688752,499.999951844377,499.999975922188,-1.81390308943549e-13,2.7146097564461115e-54,2.5049279338090216e-56,1.3994417714225636e-61,-2.1303889212463555e-60,729.2259919316386,3.3812867630997206e-07
300,998.1290012325993,2.0485781089954043,3999.9516243473504,0.0005782272937315258,2.328974438248082e-05,229.6934626097799,-5.782554782427627e-07,7.329980686495474e-14,99.9999903688752,499.999951844377,499.999975922188,6.424018557455361e-14,4.3694029141262197e-54,2.363037304497709e-56,2.3370343269491024e-60,2.4989974242340205e-60,771.565651627236,1.6020181423919533e-06
400,997.7662437995607,2.0783720016093965,3999.9127056910907,-0.001413120493657001,7.552686411582051e-06,225.0156455092521,3.3025799228165043e-07,-7.35915862610765e-14,99.9999903688752,499.999951844377,499.999975922188,-2.136813314813459e-14,7.002887837696992e-54,1.4334378492959848e-56,1.663106582454802e-60,3.756478926749162e-61,784.9400154772226,8.896437518293206e-07
500,996.8516141732154,2.8403710782316693,3999.9437035325745,0.1029928981753224,2.502623782685874e-05,217.52390191956235,3.361145208734591e-07,-3.4771201365763725e-14,99.9999903688752,499.999951844377,499.999975922188,6.177294711122009e-14,-4.111283946214713e-54,1.4643197940157404e-56,-6.1807044042812965e-61,2.3725588731719273e-61,785.4933215580304,-8.98957963385576e-07
600,996.7362006386348,3.369889549511183,3999.9156734606436,0.13566300372351273,-1.052515324760473e-05,212.95869382851436,6.507167953010211e-07,-2.4063413228346522e-14,99.9999903688752,499.999951844377,499.999975922188,-8.3161443808703e-15,-8.432972622466372e-54,-1.6091626381396892e-56,-1.6883435530826077e-60,-1.926256788992942e-60,788.0008905442079,8.200787143457087e-07
700,996.1807261468548,3.773509222005537,3999.870729282679,0.1074915127583831,-2.7027507432803594e-06,221.95546786280144,3.2226835085586267e-07,7.918879385653102e-14,99.9999903688752,499.999951844377,499.999975922188,-1.4479329757671418e-13,2.7232518820166805e-54,-5.325192717545719e-57,-2.7022134782351715e-60,4.949261431980461e-61,781.25728528316,-1.0701346737040303e-06
800,995.6252200500795,4.557327355868709,3999.8511039109962,0.11335812213275581,2.963986443085323e-05,211.406563013268,-6.64088247898997e-08,-4.436820698709334e-14,99.9999903688752,499.999951844377,499.999975922188,3.686438185775109e-14,5.2094813225632805e-54,2.655682807592761e-56,-3.319411949314902e-61,1.4299334611926249e-60,786.2812068901228,8.338327178718647e-07
900,995.2351370217881,4.894132101985703,3999.815240937011,0.14882371109580117,2.9769891273976517e-05,217.34664130490302,7.267400925315998e-07,6.447129230149651e-14,99.9999903688752,499.999951844377,499.999975922188,-1.192466736159008e-13,-1.5584230792118588e-54,-2.008521114991422e-56,-1.7082611830387925e-60,-2.633695661981334e-60,786.3245258940216,-2.7665315354526415e-07
