milliseconds,normalized_normal_cell_n,normalized_pre_cancer_cell_g,normalized_cancer_cell_a
0,0.999999989985761,9.999616284539838e-09,-1.0575664001589719e-17
100,0.9999999900003848,9.995732631345559e-09,1.6604355526203112e-17
200,0.9999999900191211,9.99255565234017e-09,5.900427700921185e-18
300,0.9999999900427656,9.98147854715945e-09,2.2241280605412814e-17
400,0.9999999900507952,9.97849309115543e-09,4.194852929557906e-17
500,0.9999999900555661,9.97041293209793e-09,5.543425912036244e-17
600,0.9999999900554254,9.971278961873588e-09,6.253852798129434e-17
700,0.9999999900664099,9.958134241905895e-09,7.987007505338232e-17
800,0.99999999008098,9.964327442496875e-09,8.735663857300074e-17
900,0.999999990083892,9.948308050019798e-09,8.171341931622202e-17
1000,0.9999999900875666,9.956910488036185e-09,1.114354920253644e-16
1100,0.9999999901145858,9.94106491184651e-09,9.714983752908892e-17
1200,0.9999999901270177,9.934284411339258e-09,1.0863414405607496e-16
1300,0.9999999901303174,9.93984121105795e-09,1.3411021246874919e-16
1400,0.9999999901324765,9.923711505944423e-09,1.2566120422107466e-16
1500,0.9999999901360107,9.918252954588072e-09,1.455916324172935e-16
1600,0.9999999901707487,9.913070479526552e-09,1.4415359786597444e-16
1700,0.9999999901669891,9.908648587505495e-09,1.5741207225662561e-16
1800,0.9999999901740328,9.911627963481326e-09,1.8297742768696387e-16
1900,0.9999999901762373,9.911977298044306e-09,1.977412631726734e-16
2000,0.9999999901925708,9.895051231242441e-09,1.9357817914636236e-16
2100,0.9999999902013416,9.893208723890913e-09,2.1231425851470775e-16
2200,0.9999999902233886,9.886047957526117e-09,2.2944628192893106e-16
2300,0.9999999902350521,9.883274465870665e-09,2.3292645608598494e-16
2400,0.9999999902256792,9.876466095783508e-09,2.255844654381613e-16
2500,0.9999999902323039,9.87202983552421e-09,2.3474088936907534e-16
2600,0.9999999902666832,9.863691997415348e-09,2.440733966621119e-16
2700,0.9999999902521084,9.863907230031542e-09,2.5366549251928736e-16
2800,0.9999999902654092,9.85852776182655e-09,2.730343286978327e-16
2900,0.9999999902979756,9.85140705860542e-09,2.814358901502916e-16
3000,0.9999999903094653,9.858185114174475e-09,3.0421260479068635e-16
3100,0.9999999903135547,9.84029767459017e-09,3.0494323322229366e-16
3200,0.9999999903174422,9.847272208072788e-09,3.1327497002642896e-16
3300,0.9999999903309262,9.833694346744727e-09,3.0909027689861436e-16
3400,0.9999999903417229,9.835351226898123e-09,3.306748836183746e-16
3500,0.9999999903419224,9.828844864086031e-09,3.4743512336508954e-16
3600,0.9999999903556004,9.82720806529112e-09,3.5264501452623477e-16
3700,0.9999999903735407,9.818034263169121e-09,3.6465337333126583e-16
3800,0.9999999903827304,9.816354839352387e-09,3.726621155719568e-16
3900,0.9999999903778609,9.812936953941921e-09,3.9200675445839835e-16
4000,0.9999999903775542,9.799185516242403e-09,4.018919928180789e-16
4100,0.999999990412165,9.800373386393829e-09,3.869130900778551e-16
4200,0.9999999904162962,9.78540063559714e-09,3.9732265249439887e-16
4300,0.999999990406497,9.78928644745864e-09,4.072356045371942e-16
4400,0.9999999904230654,9.783519841835605e-09,4.3799423684584204e-16
4500,0.9999999904431678,9.779553171367608e-09,4.342303430629947e-16
4600,0.9999999904601415,9.778173065641623e-09,4.448505643181966e-16
4700,0.9999999904460662,9.766212018296015e-09,4.452283581457966e-16
4800,0.9999999904699257,9.763475554247612e-09,4.783458728291161e-16
4900,0.9999999904798824,9.757299505881281e-09,4.709913669564222e-16
5000,0.9999999904898516,9.74756937656411e-09,4.956156028798306e-16
