milliseconds,normalized_normal_cell_n,normalized_pre_cancer_cell_g,normalized_cancer_cell_a
0,0.9999999899855135,1.0003998651431777e-08,-1.0151028972854898e-17
100,0.9999999900116667,1.0001710021636548e-08,1.0585223934513312e-17
200,0.9999999900210219,9.984211676380061e-09,1.9353262557833766e-17
300,0.9999999900387246,9.988536888029365e-09,2.0655544640581543e-17
400,0.9999999900354128,9.97316075933441e-09,4.679261486960168e-17
500,0.9999999900555727,9.97763617426229e-09,5.835286425335835e-17
600,0.9999999900483376,9.968094693101534e-09,7.072568082639983e-17
700,0.9999999900627026,9.962322304693938e-09,7.132634882645329e-17
800,0.9999999900690695,9.961794990205989e-09,6.733100044259033e-17
900,0.999999990094433,9.960562197732145e-09,7.772755119168107e-17
1000,0.9999999900900755,9.944960706361401e-09,9.947675043781731e-17
1100,0.9999999900961956,9.940719609144099e-09,1.1885307199255855e-16
1200,0.9999999901299524,9.934678744472291e-09,1.27762531775511e-16
1300,0.9999999901169234,9.940427813989979e-09,1.4039444383005221e-16
1400,0.9999999901300336,9.929086878854905e-09,1.511609575874276e-16
1500,0.9999999901494803,9.920457572521145e-09,1.530311537068845e-16
1600,0.9999999901480707,9.915931782217624e-09,1.7169032669373714e-16
1700,0.9999999901649005,9.90959031488286e-09,1.7245250274923815e-16
1800,0.9999999901643735,9.907524697861671e-09,1.7864369603797618e-16
1900,0.9999999901809263,9.908077283268444e-09,2.0179224145336833e-16
2000,0.9999999902056468,9.907149136545612e-09,1.9048125187721962e-16
2100,0.9999999902142093,9.899653117347785e-09,2.1867263165532017e-16
2200,0.9999999902237823,9.888645086905634e-09,2.2011364146683506e-16
2300,0.9999999902137433,9.884601476381802e-09,2.264104671627393e-16
2400,0.9999999902425319,9.878815536123227e-09,2.4097877590738173e-16
2500,0.9999999902324634,9.876989583803032e-09,2.4433349941549995e-16
2600,0.9999999902531951,9.876771484177206e-09,2.5960089834476635e-16
2700,0.9999999902635718,9.866343870204912e-09,2.6532506812641824e-16
2800,0.9999999902622834,9.86303304723094e-09,2.6211889970736964e-16
2900,0.9999999902797992,9.860817108432191e-09,2.7314807754734094e-16
3000,0.9999999902982788,9.849250351567632e-09,2.835693191905396e-16
3100,0.9999999903074209,9.846140654572708e-09,3.122380799162976e-16
3200,0.9999999903026575,9.840381660487885e-09,3.217292416464371e-16
3300,0.9999999903368924,9.833491354865658e-09,3.2664298372695306e-16
3400,0.9999999903262995,9.832848327841193e-09,3.430448431080101e-16
3500,0.9999999903510212,9.825737527458314e-09,3.4699248330076604e-16
3600,0.9999999903655828,9.823105818413656e-09,3.661592770552534e-16
3700,0.9999999903621583,9.81154894480397e-09,3.675200962070651e-16
3800,0.99999999037432,9.818863724287955e-09,3.6384094783455003e-16
3900,0.9999999903754719,9.808047196358082e-09,3.715087496133381e-16
4000,0.9999999904050996,9.797618802551495e-09,3.8690943359854784e-16
4100,0.9999999904120278,9.79842832781952e-09,3.9818826384354405e-16
4200,0.9999999904209989,9.78687961492076e-09,4.1579992238184603e-16
4300,0.999999990408767,9.78262567059312e-09,4.05917616265375e-16
4400,0.9999999904214038,9.785127995133105e-09,4.3634682554805713e-16
4500,0.9999999904396707,9.776069445197086e-09,4.3935711717491804e-16
4600,0.9999999904369559,9.776658695599e-09,4.611484718564103e-16
4700,0.9999999904445891,9.77179534435077e-09,4.4307020679048566e-16
4800,0.9999999904738773,9.765011818462442e-09,4.549128628822582e-16
4900,0.9999999904753791,9.756009605399805e-09,4.691337557827972e-16
5000,0.9999999904852799,9.7502372512783e-09,4.821564012994907e-16
