milliseconds,normalized_normal_cell_n,normalized_pre_cancer_cell_g,normalized_cancer_cell_a
0,0.9999999900107354,1.0004261759735714e-08,-4.408412768939081e-19
100,0.9999999900021654,9.9984545448349e-09,1.5886990958913152e-17
200,0.9999999900219182,9.996195225917086e-09,1.7378250856211864e-17
300,0.9999999900201213,9.979230632691363e-09,1.9909590635078172e-17
400,0.9999999900489608,9.979410798734817e-09,4.354424293445882e-17
500,0.9999999900389076,9.970532798418049e-09,5.3235226013434426e-17
600,0.9999999900740517,9.97577630003364e-09,6.146496724479059e-17
700,0.9999999900681555,9.971924517419673e-09,6.158794572083083e-17
800,0.9999999900693342,9.95498041974877e-09,8.358194255432269e-17
900,0.99999999009133,9.956368125083671e-09,8.482390307033105e-17
1000,0.9999999900927474,9.948653306728174e-09,9.955419114387402e-17
1100,0.9999999901138588,9.9494096463938e-09,9.562345467904294e-17
1200,0.9999999901190907,9.937788834427088e-09,1.2302337237804229e-16
1300,0.9999999901236246,9.937709560098612e-09,1.2901074738556184e-16
1400,0.999999990153363,9.923973892311459e-09,1.4640214909895965e-16
1500,0.999999990146043,9.923235237720742e-09,1.4646268354543281e-16
1600,0.9999999901636424,9.922386776668493e-09,1.5938023739436846e-16
1700,0.9999999901541863,9.90851677149192e-09,1.6697528166200875e-16
1800,0.9999999901811134,9.912949294018918e-09,1.830372173044885e-16
1900,0.9999999901987644,9.898732792666055e-09,1.9205789956752327e-16
2000,0.9999999902113921,9.905635040053868e-09,1.9364087719872055e-16
2100,0.9999999902198697,9.895838292947716e-09,2.0730765707576063e-16
2200,0.9999999902300303,9.884331800772123e-09,2.1584411018628277e-16
2300,0.9999999902258725,9.889441624811908e-09,2.265997407486349e-16
2400,0.9999999902463095,9.882624682039698e-09,2.260624088388719e-16
2500,0.9999999902525487,9.881375410681658e-09,2.3484800609046296e-16
2600,0.999999990263105,9.871863903708198e-09,2.5989783168489945e-16
2700,0.9999999902662902,9.86773965349626e-09,2.568913891476499e-16
2800,0.9999999902754929,9.857393410120952e-09,2.817110443015279e-16
2900,0.9999999902768638,9.859289641702126e-09,2.7213748455885476e-16
3000,0.9999999902854296,9.856808873869922e-09,2.887195011573364e-16
3100,0.9999999903173526,9.851144122436169e-09,3.0654419589347494e-16
3200,0.9999999903252014,9.840103198589515e-09,3.183668789946056e-16
3300,0.999999990320386,9.839754803417512e-09,3.2271190536319844e-16
3400,0.9999999903392023,9.826098900057853e-09,3.393393351840173e-16
3500,0.9999999903400827,9.82005147546301e-09,3.298040459558472e-16
3600,0.999999990346371,9.822995207251328e-09,3.46195465298309e-16
3700,0.9999999903734705,9.823980132819044e-09,3.5147736325248646e-16
3800,0.9999999903710695,9.805295737857195e-09,3.7486873167986874e-16
3900,0.9999999903842439,9.81292417999265e-09,3.945348146583906e-16
4000,0.9999999904013035,9.798471700410612e-09,3.877530276032704e-16
4100,0.9999999904094722,9.797619257919577e-09,3.9174423205893994e-16
4200,0.999999990396953,9.79240143040817e-09,4.012193909454939e-16
4300,0.9999999904270813,9.786211844246482e-09,4.2399314215627096e-16
4400,0.9999999904217176,9.78224452377343e-09,4.3357257994997517e-16
4500,0.999999990428611,9.775402712053137e-09,4.411776185973012e-16
4600,0.9999999904396563,9.778418438838258e-09,4.538239228770795e-16
4700,0.9999999904460559,9.765263931837058e-09,4.616669013681277e-16
4800,0.9999999904580548,9.763469072175874e-09,4.741967402690294e-16
4900,0.9999999904644274,9.755817864416888e-09,4.876183074484129e-16
5000,0.9999999904864032,9.7602171318326e-09,4.821198725866491e-16
