milliseconds,U,A6,b,Btot,A4,c,C,g,G,Ep,x
0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
100,1.147833389004753,1.0000158580935175,1.0000000006722085,1.0000000000000047,1.00000743564259,1.0000000000000342,1.0000000001526117,1.0000000006331602,1.0000000022893563,1.0000433508630968,1.0000764394275403
200,1.2918713531098325,1.0000659142114632,1.0000000052692566,1.0000000000000695,1.0000294393346159,1.0000000000009501,1.0000000011935255,1.0000000048341,1.0000000179054087,1.000176869795118,1.0003125860546902
300,1.432636244524824,1.000153860919381,1.0000000178013635,1.0000000000003406,1.0000656826279426,1.0000000000067097,1.0000000040254007,1.000000015972307,1.0000000603932118,1.0004052879305438,1.000717603182448
400,1.5705378839267865,1.0002833113207665,1.0000000426520403,1.0000000000010723,1.0001158589499213,1.0000000000274865,1.0000000096293578,1.0000000374689428,1.000000144478415,1.0007330079320025,1.0013002277782947
500,1.70587647091027,1.000457673451934,1.0000000843870684,1.000000000002634,1.0001797054317865,1.00000000008247,1.0000000190205336,1.0000000726431824,1.000000285400538,1.00116398261752,1.0020685150081203
600,1.8388774381069322,1.0006801965800158,1.0000001477463798,1.0000000000055036,1.0002569894024427,1.0000000002017657,1.00000003324562,1.0000001247430956,1.000000498875834,1.0017017853193273,1.0030299507427642
700,1.9697048725947552,1.0009539784715047,1.0000002376651576,1.0000000000102875,1.000347502479891,1.0000000004300424,1.0000000533855944,1.0000001969610948,1.0000008011384587,1.002349603930233,1.0041914428568957
800,2.0984761028528363,1.00128197720719,1.0000003592588989,1.0000000000177183,1.0004510545357717,1.0000000008286223,1.0000000805512117,1.000000292440567,1.0000012088727501,1.0031102636010525,1.0055593498138897
900,2.2252627259069393,1.001667002840358,1.0000005178210056,1.00000000002866,1.0005674724968565,1.00000000147636,1.0000001158818559,1.000000414276362,1.0000017391959437,1.0039862154981989,1.0071394556841486
1000,2.35011083524871,1.0021117225914644,1.0000007187946087,1.0000000000441096,1.0006965911044012,1.0000000024732694,1.0000001605370092,1.0000005655241613,1.0000024095299267,1.00497956060554,1.0089369855585602
1100,2.47304389918253,1.002618656832132,1.0000009677680028,1.000000000065203,1.0008382514709364,1.0000000039424644,1.0000002156938428,1.0000007492007368,1.0000032375649566,1.0060920506285183,1.0109565976717434
1200,2.5940644934473025,1.0031901720055283,1.0000012704699053,1.0000000000932177,1.0009923001498728,1.0000000060318803,1.0000002825448164,1.0000009682837658,1.0000042412236008,1.007325087451606,1.0132023712178546
1300,2.713158695537835,1.0038284656405894,1.0000016327577474,1.0000000001295797,1.0011585867778696,1.0000000089168755,1.000000362292987,1.0000012257127002,1.0000054385900645,1.0086797213062533,1.0156777805288482
1400,2.830296227657668,1.0045355699868463,1.000002060617953,1.0000000001758604,1.001336964125651,1.000000012799979,1.000000456152242,1.0000015243888745,1.0000068479136996,1.0101566549678793,1.0183857044841125
1500,2.9454397191600123,1.0053133336779028,1.0000025601427336,1.0000000002337865,1.001527283668651,1.0000000179154673,1.0000005653382413,1.0000018671771793,1.0000084874725614,1.011756257268108,1.0213284094572515
1600,3.0585391631025662,1.0061634285664978,1.0000031375425709,1.0000000003052343,1.0017293984606293,1.0000000245268663,1.0000006910731811,1.0000022569044298,1.0000103756451189,1.0134785563902626,1.0245075569464204
1700,3.169542994107847,1.0070873261085724,1.0000037991176913,1.0000000003922402,1.0019431579574751,1.0000000329325769,1.0000008345746152,1.0000026963610418,1.0000125307418468,1.0153232571004347,1.027924182716801
1800,3.2784022208539194,1.008086310635408,1.0000045512434856,1.000000000497004,1.0021684080781774,1.0000000434682896,1.0000009970494526,1.0000031882985743,1.0000149709144937,1.017289798419559,1.0315787781514953
1900,3.385058247055995,1.0091614834050497,1.000005400406624,1.0000000006218785,1.0024049946845286,1.0000000565003655,1.0000011797084598,1.00000373543142,1.0000177143748903,1.019377279527767,1.035471219207349
2000,3.48946132645635,1.0103137298206197,1.000006353146367,1.0000000007693868,1.0026527586425522,1.0000000724367202,1.0000013837424295,1.0000043404333596,1.0000207790352087,1.0215845586639534,1.0396008306084488
2100,3.591561816428542,1.011543737090401,1.0000074160821157,1.0000000009422148,1.0029115383220437,1.000000091721679,1.0000016103333518,1.0000050059389611,1.000024182676565,1.023910210592344,1.0439663632294667
2200,3.6913120450694317,1.0128519992968061,1.0000085959048648,1.000000001143212,1.0031811697948758,1.000000114837234,1.000001860651006,1.0000057345425266,1.0000279428973933,1.026352558371241,1.048566038668528
2300,3.7886769050876756,1.0142388025433544,1.0000098993399658,1.0000000013754042,1.0034614848372232,1.0000001423096267,1.0000021358378497,1.0000065287951303,1.0000320768850632,1.0289097512012495,1.0533976190167293
2400,3.8836222922075576,1.015704242126232,1.0000113331872653,1.0000000016419803,1.003752313326573,1.0000001747023635,1.0000024370251959,1.000007391207518,1.0000366016603257,1.0315796829835409,1.0584583360401063
2500,3.976125123664033,1.0172482817169828,1.0000129042785162,1.000000001946305,1.0040534838172175,1.0000002126227225,1.0000027653163648,1.0000083242462634,1.0000415338218671,1.0343601772617372,1.0637451807008393
2600,4.066171990594886,1.0188706667994107,1.0000146194893116,1.0000000022919153,1.0043648212317415,1.000000256720673,1.0000031217910192,1.000009330334803,1.00004688961276,1.0372488518601397,1.069254636731104
2700,4.153752020697239,1.0205710074078478,1.0000164857506728,1.0000000026825193,1.0046861521162953,1.000000307686745,1.0000035075089448,1.0000104118541688,1.0000526849757145,1.0402432165338802,1.0749829103748434
2800,4.238868613443776,1.0223487465962795,1.0000185100158976,1.0000000031220024,1.0050173004341925,1.0000003662571129,1.0000039234979656,1.000011571139875,1.0000589353717866,1.0433406935725527,1.0809259021645303
2900,4.321528948025545,1.0242031905361866,1.0000206992853267,1.0000000036144243,1.00535809123851,1.000000433209604,1.0000043707634927,1.000012810485094,1.0000656559231504,1.0465386088581843,1.0870792464087924
3000,4.4017471385748435,1.0261335107240859,1.0000230605957068,1.0000000041640196,1.0057083504230986,1.000000509365437,1.0000048502841565,1.0000141321392184,1.000072861347179,1.0498342233669624,1.093438349751029
3100,4.479545875997602,1.0281387578778798,1.0000256010136253,1.000000004775201,1.0060679046263674,1.000000595590228,1.0000053630091412,1.0000155383075071,1.0000805659159806,1.0532247633993903,1.099998442094695
3200,4.554951613746572,1.030217891450137,1.0000283276448607,1.0000000054525584,1.00643658214416,1.0000006927921121,1.0000059098625729,1.0000170311539345,1.0000887835217809,1.0567074222670936,1.1067546166916842
3300,4.6279981764963996,1.032369761047179,1.000031247623155,1.000000006200861,1.0068142135916764,1.000000801923958,1.0000064917382034,1.0000186127978863,1.0000975275968629,1.060279390280031,1.113701846893573
3400,4.698723380268433,1.0345931552967778,1.000034368119643,1.0000000070250574,1.0072006312371375,1.0000009239816199,1.0000071095037797,1.0000202853189462,1.000106811178411,1.0639378576194456,1.1208350419778996
3500,4.767170171381294,1.036886786177005,1.0000376963328297,1.000000007930277,1.0075956708041902,1.000001060005399,1.0000077639968818,1.0000220507532498,1.0001166468459255,1.0676800489315643,1.1281490787419113
3600,4.833384726010992,1.0392493034396117,1.0000412394993652,1.0000000089218306,1.0079991702991098,1.0000012110786123,1.0000084560297493,1.0000239110979547,1.0001270467929673,1.071503192682559,1.1356387758080797
3700,4.897416888476784,1.0416793172751704,1.0000450048847467,1.0000000100052113,1.0084109714499787,1.0000013783287574,1.0000091863851426,1.000025868309049,1.0001380227647318,1.075404580962026,1.143298996784932
3800,4.95931885833275,1.0441753899233808,1.000048999789846,1.0000000111860952,1.00883091922916,1.0000015629264476,1.0000099558200204,1.0000279243039008,1.0001495861127778,1.0793815364310524,1.1511245993546648
3900,5.019144642886813,1.0467360474677443,1.0000532315505533,1.0000000124703416,1.0092588622099463,1.000001766085441,1.0000107650654706,1.0000300809617917,1.0001617477935583,1.0834314266713259,1.1591104671683525
