milliseconds,TrkA,pTrkA,pTrkA_Akt,Akt,pAkt,S6,pAkt_S6,pS6,NGF_TrkA
0,8.52065090518276,0.0,0.0,1.15594897919397,0.0,3.552336039555,0.0,0.0,0.0
100,8.520649949176759,2.6952043979537574e-10,7.283739673575104e-13,1.1559489791932414,5.697376070114685e-17,3.552336039555,2.7001780870840716e-16,2.9375510036274004e-20,9.557711188306205e-07
200,8.520647082990086,2.1093199063993834e-09,1.1001377031595276e-11,1.1559489791829594,1.0072862707673312e-15,3.552336039554992,8.375060228105371e-15,1.7272478077148593e-18,3.820346810331075e-06
300,8.520642309385751,7.069592489351114e-09,5.563617252535279e-11,1.1559489791382618,5.71754094631942e-15,3.5523360395549335,6.635077718694107e-14,2.0962190525391044e-17,8.589583377341049e-06
400,8.520635631125042,1.667236445555627e-08,1.7350579285017484e-10,1.1559489790201711,1.9430166476373538e-14,3.552336039554726,2.736764365485894e-13,1.112667538357821e-16,1.5259343027576732e-05
500,8.520627050967072,3.241343833481747e-08,4.1794404256165993e-10,1.1559489787751613,5.038052115009146e-14,3.5523360395541848,8.144902924675857e-13,4.016463335286195e-16,2.382549203496083e-05
600,8.520616571658703,5.5752102082395297e-08,8.592888963544781e-10,1.1559489783325712,1.1089723175222132e-13,3.5523360395529995,1.9992043951783193e-12,1.161551168542289e-15,3.4283916013758386e-05
700,8.52060419594229,8.811974701684312e-08,1.5824784794328076e-09,1.1559489776069831,2.1777151947563499e-13,3.5523360395507066,4.290816068472168e-12,2.880140996368518e-15,4.6630508218481404e-05
800,8.52058992655746,1.3092220531496435e-07,2.6862723006196025e-09,1.1559489764989763,3.9270872224027983e-13,3.552336039546665,8.328889504649794e-12,6.353630738869231e-15,6.086116681677846e-05
900,8.520573766239943,1.8553909229319587e-07,4.283206025536552e-09,1.1559489748951381,6.630409541624636e-13,3.5523360395400245,1.4962921143551023e-11,1.2820186053331103e-14,7.697179667346314e-05
1000,8.520555717720896,2.533234264130025e-07,6.4995750551711375e-09,1.1559489726680625,1.0621145705794658e-12,3.5523360395297057,2.5270449121856546e-11,2.4045798894902483e-14,9.495831036554389e-05
1100,8.520535783726874,3.356021345598118e-07,9.47511041389385e-09,1.155948969676643,1.6299053401186396e-12,3.552336039514371,4.0586934649907955e-11,4.247801827435473e-14,0.0001148166282350735
1200,8.520513966980005,4.336767081586551e-07,1.3362641251698122e-08,1.1559489657663846,2.413534295164593e-12,3.5523360394923977,6.253106791816966e-11,7.140244196644025e-14,0.0001365426781079763
1300,8.520490270197875,5.488233020058336e-07,1.8327990247453748e-08,1.1559489607694957,3.4675171501909096e-12,3.5523360394618684,9.301678174174736e-11,1.150237644104886e-13,0.0001601323954690488
1400,8.520464696093443,6.82293605737195e-07,2.4549397424899686e-08,1.1559489545054114,4.854860051152573e-12,3.5523360394205152,1.3430647219939727e-10,1.7880454929023446e-13,0.00018558172360648014
1500,8.520437247375275,8.353152802287102e-07,3.221734194799967e-08,1.155948946780961,6.647237260749212e-12,3.5523360393657106,1.8901994999405213e-10,2.696033512327237e-13,0.00021288661323762157
1600,8.520407926747493,1.009092560496871e-06,4.1534148986406595e-08,1.1559489373907261,8.925711764973985e-12,3.552336039294435,2.601694941943039e-10,3.9600812911490353e-13,0.00024204302258453496
1700,8.520376736909784,1.2048060493982121e-06,5.2714119117627094e-08,1.1559489261169218,1.1780508257020092e-11,3.5523360392032837,3.511487880613508e-10,5.682111416755343e-13,0.0002730469173691509
1800,8.520343680557394,1.4236134647869448e-06,6.59830642835981e-08,1.1559489127298215,1.531182289549908e-11,3.5523360390884298,4.657723939190247e-10,7.984426353907416e-13,0.00030589427081449797
1900,8.520308760381186,1.6666507852011159e-06,8.157761738166981e-08,1.1559488969883882,1.963100879128648e-11,3.552336038945566,6.083335862857667e-10,1.101551702291723e-12,0.0003405810635611662
2000,8.520271979067504,1.9350298427778098e-06,9.974667689395937e-08,1.1559488786389516,2.4858097077879467e-11,3.552336038770024,7.834834154840444e-10,1.493828512723064e-12,0.0003771032838676133
2100,8.520233339298398,2.2298437920923976e-06,1.2074810124956572e-07,1.1559488574182344,3.1127458639893764e-11,3.5523360385564984,9.965069425647598e-10,1.9959325557052232e-12,0.000415456927256542
2200,8.520192843751381,2.5521615992997087e-06,1.4485203059857143e-07,1.1559488330503107,3.8582133792245254e-11,3.5523360382993245,1.2530465430443543e-09,2.6299279766482163e-12,0.00045563799690701365
2300,8.520150495099676,2.9030336512259195e-06,1.7233750776853796e-07,1.1559488052497027,4.737952865651649e-11,3.5523360379921987,1.5593800336343952e-09,3.4226403353988985e-12,0.0004976425032551902
2400,8.520106296012052,3.283488971698503e-06,2.0349413990135744e-07,1.155948773719855,5.768866753437717e-11,3.552336037628311,1.9222863985139354e-09,4.40385868463844e-12,0.0005414664642506235
2500,8.520060249152916,3.694536726960258e-06,2.3862120147382294e-07,1.1559487381539617,6.969161182603806e-11,3.5523360372002784,2.349115277643776e-09,5.607613677185484e-12,0.0005871059052138653
2600,8.520012357182319,4.13716654846915e-06,2.7802743492736763e-07,1.1559486982351477,8.358380038710709e-11,3.552336036700125,2.847803575180586e-09,7.0723925975494655e-12,0.0006345568588333974
2700,8.519962622755932,4.612348830123203e-06,3.2203086118300653e-07,1.1559486536366417,9.957440547763031e-11,3.552336036119267,3.4268927567285497e-09,8.84122662634724e-12,0.0006838153651856147
2800,8.519911048525062,5.121034416979684e-06,3.709589780610625e-07,1.1559486040216003,1.1788585282850255e-10,3.5523360354485334,4.095505743111159e-09,1.0962133442213656e-11,0.0007348774717180468
2900,8.519857637136681,5.664155987697127e-06,4.251479126905957e-07,1.1559485490438794,1.3875537673576825e-10,3.5523360346780906,4.863422554667099e-09,1.348844549908376e-11,0.0007877392332070331
3000,8.519802391233403,6.242627477780878e-06,4.849427737840815e-07,1.1559484883477187,1.6243425617761494e-10,3.5523360337974785,5.741043396301043e-09,1.647926598516778e-11,0.0008423967117865337
3100,8.519745313453509,6.857344901024969e-06,5.506971519916259e-07,1.1559484215681954,1.8918874549864736e-10,3.552336032795568,6.73943389986187e-09,1.9999566270991067e-11,0.0008988459769047174
3200,8.519686406430958,7.509186605190206e-06,6.227729641157595e-07,1.1559483483313728,2.1930022502687417e-10,3.552336031660548,7.870332729535622e-09,2.412090541254217e-11,0.0009570831053194991
