milliseconds,NatP,MisP,Ub,E1,E2,E3,DUB,Proteasome,ROS,E1_Ub,E2_Ub,E3_MisP,MisP_Ub,MisP_Ub2,MisP_Ub3,MisP_Ub4,MisP_Ub5,MisP_Ub6,MisP_Ub7,MisP_Ub8,MisP_Ub4_Proteasome,MisP_Ub5_Proteasome,MisP_Ub6_Proteasome,MisP_Ub7_Proteasome,MisP_Ub8_Proteasome,degUb4,degUb5,degUb6,degUb7,degUb8,totMisP,refNatP,AggP,SeqAggP,AggP_Proteasome
0,500.0000000002936,-0.0007619978084237041,499.91524896145864,100.29950308548402,100.10920278344423,99.99999646357736,200.0,100.00000000000001,10.0,0.030457241125942357,-0.021378044682298238,2.845397589607325e-06,3.149033375655237e-09,-7.232173361874462e-10,8.269823716422583e-12,-7.109181096429945e-13,-1.2157639724777212e-14,-6.811582679618237e-17,-1.1238499461094274e-18,-2.3655113395854428e-20,-1.2338266897401936e-17,3.190690933435681e-18,3.28161911040173e-20,-5.088760277518429e-22,-2.2136245828637296e-24,0.0,0.0,0.0,0.0,0.0,0.0012283519472453188,-1.005275699988317e-08,1.5940469215317357e-11,-2.845853719285071e-14,-2.0072597829132355e-14
100,499.9999999876322,0.0009556513925689574,498.53666922493335,99.28644853114855,100.05054071309272,99.9999960733162,200.0,100.0,10.0,0.49690504940757385,0.04291855976527573,1.9825662854918986e-06,1.2144855436957177e-08,4.122919283783623e-10,-1.3251499684874183e-11,4.663781713006472e-13,1.9050718510588147e-15,-9.16962927078678e-17,1.9376473574620804e-18,-2.6416178662462328e-20,-1.782430107969712e-16,-3.078324361601546e-18,5.2194224702467784e-20,1.8548293941203261e-22,-6.187757319764846e-24,0.0,0.0,0.0,0.0,0.0,0.0004612851172353851,-1.3774951709525859e-08,8.195170578880771e-13,-2.546477240535485e-14,-5.488028863986284e-15
200,500.00000001379703,0.0029161063071984137,498.33555841479495,99.33476048353344,99.92268689982504,99.99999352837119,200.0,100.00000000000001,10.0,1.0508855431729192,0.134095326119677,3.126645412070719e-06,-1.5639435148492983e-10,-1.2389450148023634e-09,-8.92681192446849e-12,-1.002318330076992e-13,-1.4113668244614532e-15,1.3679829530559649e-17,-1.17808991343315e-18,-3.555691311206299e-20,2.4602121159073583e-16,-8.757389697772133e-19,-4.174146393038995e-21,2.663083606020145e-22,6.335801038544447e-25,0.0,0.0,0.0,0.0,0.0,0.0030168754431503944,9.681473442801714e-09,-1.3183454870319531e-11,2.1654008523046327e-14,-1.3859737285881176e-14
300,499.9999999907371,0.00419836616242574,497.5024993201619,97.70532348420744,100.01077486928746,99.9999990478441,200.0,100.00000000000003,10.0,2.49381596783576,-0.06591982814663143,7.093935778260185e-06,2.5368939344390505e-08,4.912316773251168e-10,-2.399144980340596e-11,-4.937249048792177e-13,1.2690163571820113e-14,-1.3505618656136268e-16,2.1156352644187814e-18,-3.2784951562361973e-20,9.449730037294392e-17,-2.6507834146569456e-18,3.2509593036547e-20,-2.9574813554967843e-22,2.4778610005201423e-24,0.0,0.0,0.0,0.0,0.0,0.0036081100917466345,-3.2243531669935147e-10,-3.3604322418586777e-12,-2.885366802588905e-14,1.8672208656486332e-15
400,499.9999999966988,0.0030943106306923623,497.23157218935944,97.0848356482817,99.86088682821628,99.99999832185816,200.0,100.00000000000003,10.0,1.956860714823073,-0.01734068129913953,3.835875006775621e-06,-1.5495773413138962e-08,5.949500528035014e-10,-2.4290843568091204e-11,6.305444073774309e-14,9.763024938215829e-15,-1.8228479997639564e-17,-1.183381552117092e-18,1.8027918448275096e-20,1.5175030713297689e-16,1.4297329529592293e-18,2.7238047140482652e-21,1.6745238470571145e-22,1.5599229761461533e-24,0.0,0.0,0.0,0.0,0.0,0.005402285719284474,8.927300768820679e-09,2.322260585357653e-12,2.381644696218792e-15,-9.926705539655372e-15
500,500.00000000929373,0.00398720166681128,496.1733587599962,96.55413488505391,100.07575497244825,99.99999569480524,200.0,99.99999999999999,10.0,2.7700444430376736,0.04871344382452476,-3.991244477572961e-06,-8.05097105670473e-09,1.2380134530706373e-09,3.347325403198359e-11,-2.2754635259215744e-13,-9.001235297974836e-15,1.6201953738369632e-16,-1.105488347143157e-18,1.1629463346549092e-20,2.1067262617547237e-16,-3.0660139868863228e-18,5.260295689172307e-20,3.7357117736428452e-22,-6.446062710374282e-24,0.0,0.0,0.0,0.0,0.0,0.0051799884164836635,8.998294462653585e-09,-1.0946544584399428e-11,-2.669498943133205e-14,-1.6624358936062322e-14
600,500.00000000825196,0.006324528217989346,495.8423281813544,96.29551042298054,100.06342566831144,99.9999968782097,200.0,100.00000000000003,10.0,3.2660881912378192,0.18275052228425992,1.7450407704620924e-06,-6.3829932370725405e-09,-4.5027968966056285e-10,8.162770800752394e-12,-7.304092673647685e-13,-8.619802406124105e-15,-9.164307728165031e-17,2.903710388887583e-19,-4.73866380405149e-22,1.3060944256415379e-16,-2.3992917909602364e-18,-5.340238083865384e-20,3.4545979817954076e-22,1.0099456751377288e-24,0.0,0.0,0.0,0.0,0.0,0.004782390194533087,-4.71341949660028e-09,4.962876619149546e-12,-7.546023366200468e-15,1.3047668578496532e-14
700,499.9999999970336,0.006604531365094223,495.5944363083279,96.25134842957327,99.94826026622144,100.00000027184379,200.0,100.0,10.0,4.397286959656005,-0.01306170133098894,8.224257973050452e-07,-1.6245622555281733e-08,-2.127569162471695e-10,4.863288596611582e-12,5.604236378080268e-13,3.8957687953553905e-15,8.159778095263584e-17,7.301076491804684e-19,7.784528240716965e-21,1.0387754023432355e-16,2.677875692037917e-18,4.883568058148068e-20,8.574066822262617e-23,6.70656673283554e-24,0.0,0.0,0.0,0.0,0.0,0.005575208561856491,2.150230258259161e-08,-2.864749066744145e-11,-2.694397551665733e-14,2.5762961847361797e-14
800,500.0000000102045,0.006942984473515053,495.4798535713446,94.8717365829392,99.82226540223058,99.99999386224131,200.0,99.99999999999999,10.0,4.472358247380393,0.065209108683693,6.1684212163744e-06,-5.137043724247995e-09,-6.770017684364306e-10,2.7371584608975687e-11,-2.180560348879246e-13,1.3419786880594853e-14,7.027855325848392e-17,1.0518397771144446e-18,-5.36300065846951e-21,1.6197197089090183e-16,1.648381691806531e-18,3.94295289262268e-20,-1.1261851244257162e-23,-1.6963799746307848e-24,0.0,0.0,0.0,0.0,0.0,0.008016956868275426,2.5320887562047113e-08,-1.1179701760402256e-11,4.3963343848552955e-15,-2.2644851392295255e-14
900,500.0000000189909,0.007535205626902293,494.6310991333992,94.16949786801074,99.87134471406296,99.99999862452283,200.0,100.0,10.0,5.2214720376292245,0.38859600936221794,6.228249564706056e-06,-2.524594295146085e-08,1.0892996330151903e-09,-2.7559230269679198e-11,-2.975356646076635e-13,1.2097085120617675e-14,-9.481549079723825e-17,1.0631242238464191e-18,-1.841651947742865e-20,-6.104536960558494e-17,-2.5253392855998475e-18,-1.702774495039866e-20,1.194364806572201e-24,-2.630790287121931e-24,0.0,0.0,0.0,0.0,0.0,0.010221241767011537,1.468060367154908e-08,-3.810776604103413e-11,-3.443371762779804e-14,-3.338175820341657e-14
