milliseconds,NatP,MisP,Ub,E1,E2,E3,DUB,Proteasome,ROS,E1_Ub,E2_Ub,E3_MisP,MisP_Ub,MisP_Ub2,MisP_Ub3,MisP_Ub4,MisP_Ub5,MisP_Ub6,MisP_Ub7,MisP_Ub8,MisP_Ub4_Proteasome,MisP_Ub5_Proteasome,MisP_Ub6_Proteasome,MisP_Ub7_Proteasome,MisP_Ub8_Proteasome,degUb4,degUb5,degUb6,degUb7,degUb8,totMisP,refNatP,AggP,SeqAggP,AggP_Proteasome
0,499.9999999994085,-0.0011392168677025565,499.319781153819,99.58034845926947,99.92147598399892,99.99999801386818,200.0,99.99999999999997,10.0,0.16251176596371736,-0.098200262513434,-5.508764589032444e-06,1.3686169028731098e-08,2.1368654954108761e-10,2.0960955196837314e-11,-6.59948271100237e-13,-1.3338295194170502e-14,-1.7908568894657226e-16,1.537072798023847e-18,2.1255009365121617e-20,-2.537680700281892e-16,-1.3445501260136719e-18,-9.127508920114561e-21,-5.08482558928159e-22,-3.7529995552882855e-24,0.0,0.0,0.0,0.0,0.0,-5.177632603460635e-05,-2.05982992387861e-09,-7.781975991728416e-13,-4.9111922765928526e-15,-1.0663460964853169e-14
100,499.9999999875361,0.0010960208420275743,499.28779672116934,98.89250338559387,100.02706085580004,99.99999710333955,200.0,100.00000000000003,10.0,1.1829480937653731,-0.17362410825815622,-5.224742406942869e-06,2.0985013560281297e-09,4.0673430011961546e-10,1.2124963592405731e-11,3.173179805792907e-13,-3.5115872731380023e-15,-1.4868424027439825e-16,-1.2483803391488254e-18,-1.6394020918789762e-20,2.3148283113154815e-16,2.446157352452474e-18,1.9990510416213326e-20,2.300382880502043e-22,6.2422782461655884e-24,0.0,0.0,0.0,0.0,0.0,0.0010095458775778146,-5.877320395953951e-09,1.4151860606919735e-11,1.8663345009291393e-14,8.125668160253134e-15
200,499.99999999650004,0.002514795399029373,499.1860598589838,99.25544048672342,100.17308054467425,99.99999948876271,200.0,100.0,10.0,1.8353442728994813,0.07908746639222868,-8.170778678937562e-07,1.2402570261490195e-08,2.7909284248502044e-10,-3.0802324430910244e-11,4.288657700349209e-13,9.985158616797945e-15,1.4640648129193098e-16,1.5538935034653357e-18,-3.6453390256581043e-20,-1.0319504006299678e-16,8.786072796487443e-19,-4.872591743285354e-20,5.449637294841623e-22,1.837972814024661e-24,0.0,0.0,0.0,0.0,0.0,0.0014081855812831156,9.261217658768396e-09,3.0087714218635827e-12,2.1918247999699686e-14,1.8658034965723527e-14
300,500.0000000130063,0.0044420351872378,497.2733839880529,98.07765003600286,100.14977491531987,99.99999411201898,200.0,100.0,10.0,1.3956452684177865,-0.015575091816036658,-4.342384960939101e-06,-7.693586563887617e-09,-2.9595246218430136e-10,1.162810307505716e-11,-5.024295148443586e-13,-9.455021096492505e-15,-1.7336962811115393e-16,3.0207832316150988e-18,3.1584382173545696e-21,-9.351123928941784e-17,-1.392079134061407e-18,3.523760920869973e-20,3.2422997449662087e-22,1.9273199353226816e-24,0.0,0.0,0.0,0.0,0.0,0.004361168090968901,-1.2822172693631498e-08,-1.9598835822662993e-11,3.8911681066358554e-16,-8.528960483906081e-15
400,499.99999999303265,0.00481602621392579,496.62640630042176,97.00389937036663,99.81757908990153,100.00000075966645,200.0,100.0,10.0,2.942006607777457,0.17518191011877415,-7.700126191861041e-07,-2.2557910048607992e-08,9.237084953687967e-10,6.2614191553536306e-12,2.6255087624351017e-13,-7.006271070577902e-15,-8.413609678153462e-17,-5.733317943893403e-19,-1.3462035599415986e-20,1.7342465396681087e-16,-6.889065250125128e-19,1.693720475691035e-21,-4.404488203382816e-22,-4.282459892057347e-24,0.0,0.0,0.0,0.0,0.0,0.0038758289239533036,6.061115088994573e-09,2.6197950009840203e-12,-7.207624650901925e-15,-2.6879388623924048e-14
500,499.99999999838076,0.006032360452606524,496.88889183754077,96.4312029990214,99.91102928034088,100.00000113436468,200.0,100.00000000000003,10.0,3.4242939656237072,0.03605084784951643,5.0765008469280105e-06,-6.559878061111317e-09,1.1212441342482637e-09,1.2376625100824265e-11,6.517733424657045e-13,-4.021085714801151e-15,-1.2768538470597744e-16,-1.4005416001792027e-18,4.027449279328284e-21,-1.9196146237657433e-16,-2.985790660032752e-18,-8.351338488892962e-21,-5.791371551262646e-22,4.905387927779955e-24,0.0,0.0,0.0,0.0,0.0,0.006454522409620647,-8.755206645185506e-09,5.820334828848713e-12,6.669165636650667e-16,-1.705360359778335e-14
600,500.00000000920386,0.004886248549655423,495.9337434353315,96.66717870561436,99.74222554596317,99.99999993351054,200.0,99.99999999999999,10.0,4.418839551674772,0.1001155180349065,5.716408434960541e-06,3.417441420752814e-09,1.170301523001683e-10,7.396194256884298e-12,-3.309134571201656e-13,7.194184962739166e-15,-1.2868909603411645e-16,3.2760041061742896e-19,-3.010803157658626e-20,-5.9958541395347e-17,-3.0579384785860528e-18,3.842094931506307e-20,6.15055778831393e-22,-2.781036647428327e-25,0.0,0.0,0.0,0.0,0.0,0.0069189270731962295,-2.6694304799658664e-09,6.439136673539248e-12,5.460972460099605e-16,-1.1072862485804695e-14
700,499.9999999981589,0.0060346791568868935,496.13496131936296,95.49603388846842,99.84573014924392,99.99999112500798,200.0,99.99999999999997,10.0,4.011474901772385,0.18352422239379534,9.522693087669166e-06,1.2825687628877004e-08,1.932415797627044e-10,-6.836791841579737e-12,-2.2048336313530175e-13,-1.2128717898657329e-14,1.063146958062352e-16,1.9751166762800235e-18,-6.466633728937332e-23,-2.2018029060492904e-16,-3.654881629052994e-18,-8.166922845288582e-21,2.95971257477059e-22,-4.348843619262193e-24,0.0,0.0,0.0,0.0,0.0,0.005514445387240495,8.975689290077891e-09,-1.982571095816582e-11,-3.1454820263687553e-15,-5.617455900334278e-15
800,500.00000000201595,0.006604017081722141,494.78189025663346,95.23898971035399,99.93938518517899,99.99999776470457,200.0,100.00000000000001,10.0,4.758318532568064,0.016159747433766303,7.818637877253502e-06,3.0353368318847704e-08,5.275687452163283e-10,1.3469112933208416e-12,5.826922286679909e-13,1.4609863879534415e-15,1.9063037211016194e-16,1.5921719209084931e-18,3.3745652657801656e-21,-5.617541361576851e-17,-2.0864452143615667e-18,-2.775287967527027e-20,-8.80920145797502e-23,7.411753273844488e-24,0.0,0.0,0.0,0.0,0.0,0.009220850877802514,3.514050532215734e-09,-8.222042645259888e-12,2.0362063222321765e-14,-1.7729829763858891e-15
900,500.00000001596777,0.009124764723760628,494.5372479953446,93.89376669800298,99.79868323817794,99.99999069270044,200.0,100.0,10.0,5.113151739038219,0.13138909353773753,6.921043682149604e-06,2.4061038987338074e-08,-1.2757347324261907e-10,6.4625695310853575e-12,6.313986441338898e-14,-2.5444073162905334e-15,3.8664330339653633e-17,-2.1022162248183616e-18,-1.0317644427883278e-20,-6.235843102446349e-17,1.5582515757765905e-18,-3.0116403258157034e-20,3.8326086986416283e-22,-6.142751073071471e-24,0.0,0.0,0.0,0.0,0.0,0.008475001330697991,2.899029433484508e-08,-7.235230714159189e-12,1.0686545736096527e-14,-8.906340469363163e-15
