milliseconds,Gd,Gt,R,Rl,Rg,Rlg,Rlgp,IP3,Pc,Pcg,P,Pg,Ca
0,10000.003998517452,0.0,13.903998517456506,0.0,5.056001482543483,0.0,0.0,0.015010848502444808,9.09,0.0,90.9,0.0,0.1
100,10000.003998517452,0.0,13.903998517456506,0.0,5.056001482543483,0.0,0.0,0.01501084850244676,9.09,0.0,90.9,0.0,0.1
200,10000.003998517452,0.0,13.903998517456504,0.0,5.056001482543483,0.0,0.0,0.015010848502445981,9.09,0.0,90.9,0.0,0.1
300,10000.003998517452,0.0,13.903998517456506,0.0,5.056001482543483,0.0,0.0,0.015010848502446878,9.09,0.0,90.9,0.0,0.1
400,10000.003998517452,0.0,13.903998517456506,0.0,5.056001482543483,0.0,0.0,0.015010848502448347,9.09,0.0,90.9,0.0,0.1
500,10000.003998517452,0.0,13.903998517456506,0.0,5.056001482543483,0.0,0.0,0.015010848502446942,9.09,0.0,90.9,0.0,0.1
600,10000.003998517452,0.0,13.903998517456507,0.0,5.056001482543483,0.0,0.0,0.015010848502448318,9.09,0.0,90.9,0.0,0.1
700,10000.003998517452,0.0,13.903998517456506,0.0,5.056001482543483,0.0,0.0,0.015010848502447629,9.09,0.0,90.9,0.0,0.1
800,10000.003998517452,0.0,13.903998517456506,0.0,5.056001482543483,0.0,0.0,0.015010848502447582,9.090000000000002,0.0,90.9,0.0,0.1
900,10000.003998517452,0.0,13.903998517456506,0.0,5.056001482543483,0.0,0.0,0.015010848502448524,9.09,0.0,90.9,0.0,0.1
1000,10000.003998517452,0.0,13.903998517456506,0.0,5.056001482543483,0.0,0.0,0.01501084850244813,9.09,0.0,90.9,0.0,0.1
1100,10000.003998517452,0.0,13.903998517456507,0.0,5.056001482543483,0.0,0.0,0.0150108485024477,9.09,0.0,90.9,0.0,0.1
1200,10000.003998517452,0.0,13.903998517456506,0.0,5.056001482543483,0.0,0.0,0.015010848502448349,9.09,0.0,90.9,0.0,0.1
1300,10000.003998517452,0.0,13.903998517456506,0.0,5.056001482543483,0.0,0.0,0.015010848502448966,9.09,0.0,90.9,0.0,0.1
1400,10000.003998517452,0.0,13.903998517456506,0.0,5.056001482543483,0.0,0.0,0.015010848502448427,9.09,0.0,90.9,0.0,0.1
1500,10000.003998517452,0.0,13.903998517456506,0.0,5.056001482543483,0.0,0.0,0.015010848502448163,9.09,0.0,90.9,0.0,0.1
1600,10000.003998517452,0.0,13.903998517456506,0.0,5.056001482543483,0.0,0.0,0.015010848502447579,9.09,0.0,90.9,0.0,0.1
1700,10000.003998517452,0.0,13.903998517456506,0.0,5.056001482543483,0.0,0.0,0.015010848502447913,9.09,0.0,90.9,0.0,0.1
1800,10000.003998517452,0.0,13.903998517456506,0.0,5.056001482543483,0.0,0.0,0.015010848502448916,9.09,0.0,90.9,0.0,0.1
1900,10000.003998517452,0.0,13.903998517456506,0.0,5.056001482543483,0.0,0.0,0.015010848502448585,9.09,0.0,90.9,0.0,0.1
2000,10000.003998517452,0.0,13.903998517456506,0.0,5.056001482543483,0.0,0.0,0.015010848502449688,9.09,0.0,90.9,0.0,0.1
2100,10000.003998517452,0.0,13.903998517456506,0.0,5.056001482543483,0.0,0.0,0.01501084850244809,9.09,0.0,90.9,0.0,0.1
2200,10000.003998517452,0.0,13.903998517456506,0.0,5.056001482543483,0.0,0.0,0.01501084850245015,9.09,0.0,90.9,0.0,0.1
2300,10000.003998517452,0.0,13.903998517456506,0.0,5.056001482543483,0.0,0.0,0.015010848502449114,9.09,0.0,90.9,0.0,0.1
2400,10000.003998517452,0.0,13.903998517456507,0.0,5.056001482543483,0.0,0.0,0.015010848502449435,9.09,0.0,90.9,0.0,0.1
2500,10000.003998517452,0.0,13.903998517456507,0.0,5.056001482543483,0.0,0.0,0.015010848502448831,9.09,0.0,90.9,0.0,0.1
2600,10000.003998517452,0.0,13.903998517456506,0.0,5.056001482543483,0.0,0.0,0.015010848502449945,9.09,0.0,90.9,0.0,0.1
2700,10000.003998517452,0.0,13.903998517456506,0.0,5.056001482543483,0.0,0.0,0.015010848502448895,9.09,0.0,90.9,0.0,0.1
2800,10000.003998517452,0.0,13.903998517456504,0.0,5.056001482543483,0.0,0.0,0.015010848502450288,9.09,0.0,90.9,0.0,0.1
2900,10000.003998517452,0.0,13.903998517456506,0.0,5.056001482543483,0.0,0.0,0.015010848502450887,9.09,0.0,90.9,0.0,0.1
3000,10000.003998517452,0.0,13.903998517456506,0.0,5.056001482543483,0.0,0.0,0.015010848502449497,9.09,0.0,90.9,0.0,0.1
3100,10000.003998517452,0.0,13.903998517456506,0.0,5.056001482543483,0.0,0.0,0.015010848502449175,9.09,0.0,90.9,0.0,0.1
3200,10000.003998517452,0.0,13.903998517456506,0.0,5.056001482543483,0.0,0.0,0.015010848502451041,9.09,0.0,90.9,0.0,0.1
3300,10000.003998517452,0.0,13.903998517456506,0.0,5.056001482543483,0.0,0.0,0.015010848502449884,9.09,0.0,90.9,0.0,0.1
3400,10000.003998517452,0.0,13.903998517456506,0.0,5.056001482543483,0.0,0.0,0.01501084850245139,9.09,0.0,90.9,0.0,0.1
3500,10000.003998517452,0.0,13.903998517456506,0.0,5.056001482543483,0.0,0.0,0.015010848502449298,9.09,0.0,90.9,0.0,0.1
3600,10000.003998517452,0.0,13.903998517456506,0.0,5.056001482543483,0.0,0.0,0.015010848502451523,9.09,0.0,90.9,0.0,0.1
3700,10000.003998517452,0.0,13.903998517456506,0.0,5.056001482543483,0.0,0.0,0.015010848502451062,9.09,0.0,90.9,0.0,0.1
3800,10000.003998517452,0.0,13.903998517456506,0.0,5.056001482543483,0.0,0.0,0.015010848502450868,9.09,0.0,90.9,0.0,0.1
3900,10000.003998517452,0.0,13.903998517456506,0.0,5.056001482543483,0.0,0.0,0.01501084850245017,9.09,0.0,90.9,0.0,0.1
4000,10000.003998517452,0.0,13.903998517456506,0.0,5.056001482543483,0.0,0.0,0.015010848502451619,9.09,0.0,90.9,0.0,0.1
4100,10000.003998517452,0.0,13.903998517456506,0.0,5.056001482543483,0.0,0.0,0.01501084850245086,9.09,0.0,90.9,0.0,0.1
4200,10000.003998517452,0.0,13.903998517456506,0.0,5.056001482543483,0.0,0.0,0.01501084850245196,9.09,0.0,90.9,0.0,0.1
4300,10000.003998517452,0.0,13.903998517456506,0.0,5.056001482543483,0.0,0.0,0.015010848502451933,9.09,0.0,90.9,0.0,0.1
4400,10000.003998517452,0.0,13.903998517456506,0.0,5.056001482543483,0.0,0.0,0.015010848502449858,9.09,0.0,90.9,0.0,0.1
4500,10000.003998517452,0.0,13.903998517456506,0.0,5.056001482543483,0.0,0.0,0.015010848502449992,9.09,0.0,90.9,0.0,0.1
4600,10000.003998517452,0.0,13.903998517456506,0.0,5.056001482543483,0.0,0.0,0.015010848502451046,9.09,0.0,90.9,0.0,0.1
4700,10000.003998517452,0.0,13.903998517456506,0.0,5.056001482543483,0.0,0.0,0.01501084850245048,9.09,0.0,90.9,0.0,0.1
4800,10000.003998517452,0.0,13.903998517456506,0.0,5.056001482543483,0.0,0.0,0.01501084850245066,9.09,0.0,90.9,0.0,0.1
4900,10000.003998517452,0.0,13.903998517456506,0.0,5.056001482543483,0.0,0.0,0.015010848502450116,9.09,0.0,90.9,0.0,0.1
5000,10000.003998517452,0.0,13.903998517456506,0.0,5.056001482543483,0.0,0.0,0.015010848502451863,9.09,0.0,90.9,0.0,0.1
