miliseconds,As,Bs,Asyn,Bsyn
0,0.006000000514881178,-3.19732135737449e-11,5.592250663204655e-10,-1.4298314079718277e-15
100,0.005999997763680043,1.0977983774995352e-10,2.7124077030035133e-09,-1.7330909106784898e-15
200,0.005999989641377999,4.5352358396107743e-10,7.996828291036411e-09,2.334943508409692e-15
300,0.00599998484250357,5.750388131011577e-10,1.2587129779855236e-08,2.353817661926974e-15
400,0.005999972467296405,6.931236423164686e-10,1.5326178119934087e-08,-3.4487214909648115e-16
500,0.005999967148327865,9.80282506690897e-10,1.900117922323599e-08,3.3653179702032646e-15
600,0.0059999685299449886,1.0306488982725179e-09,2.6931694429286714e-08,3.992777772479516e-15
700,0.005999962370630842,1.38730819550411e-09,2.9905884854739186e-08,1.793205000927759e-15
800,0.005999952454179697,1.3463506758510121e-09,3.3000726317654015e-08,6.467270782357084e-15
900,0.005999942776644939,1.5354574049407998e-09,3.674844193055828e-08,6.075509009439899e-15
1000,0.005999939113933794,1.6958546984801635e-09,3.925848722530411e-08,6.875896700335864e-15
1100,0.005999936485712138,2.085996046752766e-09,4.870634799035028e-08,5.707306169538566e-15
1200,0.005999928123507717,2.05331954646096e-09,4.934459074429336e-08,9.518570851734622e-15
1300,0.0059999231781819075,2.23599358329474e-09,5.231456691963371e-08,1.0998191832587309e-14
1400,0.005999913204308429,2.5073961037125994e-09,5.730069513738036e-08,1.1436961278134624e-14
1500,0.005999909509401324,2.723230569668254e-09,5.961028937500292e-08,1.53526269231877e-14
1600,0.005999904834388021,2.931749961583184e-09,6.644455064713023e-08,1.657359485758277e-14
1700,0.005999895957063855,3.170676168558205e-09,7.160531651645908e-08,1.8607937139618372e-14
1800,0.005999889594978017,3.2790666702537523e-09,7.495570168873246e-08,2.1053697106206183e-14
1900,0.0059998837613311476,3.424772177665459e-09,7.625993388770047e-08,2.4944635393684314e-14
2000,0.005999883885749166,3.7188903005213164e-09,8.112683591615943e-08,2.3929273523635677e-14
2100,0.005999871416230684,3.87387984342735e-09,8.595108533103502e-08,2.858700787120894e-14
2200,0.00599987344748023,4.0025986157681285e-09,9.26508427322801e-08,2.939424954439494e-14
2300,0.005999865545092267,4.2403142970698115e-09,9.80961159604924e-08,3.1879086675048483e-14
2400,0.005999855753639642,4.2311374478807525e-09,9.781842631544348e-08,3.7245148558204624e-14
2500,0.005999852523865844,4.416320988561069e-09,1.0712117227134365e-07,3.9533269464846116e-14
2600,0.0059998430476986735,4.551944659940932e-09,1.0732497618931332e-07,4.300084765059104e-14
2700,0.005999837828969072,4.851572032585539e-09,1.120239061032669e-07,4.599414893514351e-14
2800,0.0059998311003661535,4.927580545768472e-09,1.1407198498845185e-07,4.833146918337567e-14
2900,0.005999828253540191,5.257511974655536e-09,1.206165019503428e-07,5.138758698304488e-14
3000,0.005999819984114909,5.4916907924162505e-09,1.2506702669580914e-07,5.69890720568337e-14
3100,0.0059998131506176534,5.692686506732693e-09,1.2915938183883097e-07,6.031663020653705e-14
3200,0.005999810652536427,5.882750367558584e-09,1.3336293533168553e-07,6.4685363163412e-14
3300,0.005999803199413777,5.94899210010015e-09,1.3731694715792043e-07,6.759923558720407e-14
3400,0.005999798699836415,6.105636544902679e-09,1.4148361947049892e-07,7.3876559363267e-14
3500,0.005999787359026233,6.266277168424986e-09,1.4733339329194768e-07,7.504104457154717e-14
3600,0.005999784786903459,6.527998098201283e-09,1.4831645792049236e-07,7.939240845820342e-14
3700,0.005999781981028521,6.611524800312237e-09,1.5253865955089574e-07,8.860309072839056e-14
3800,0.005999774711539259,6.968098969196732e-09,1.5596065712479972e-07,8.90771297658821e-14
3900,0.005999763499841789,7.049429647582848e-09,1.6420009764956832e-07,9.342193526058124e-14
4000,0.005999763562067687,7.243535841072003e-09,1.6941719848832002e-07,1.0077526475494473e-13
4100,0.005999758786302424,7.376805821336213e-09,1.7298197010192734e-07,1.0493043620975169e-13
4200,0.005999753360313137,7.478274579492152e-09,1.7479286243758e-07,1.0879207958840849e-13
4300,0.005999747744182868,7.664657163738987e-09,1.8026348701044863e-07,1.170859529389287e-13
4400,0.005999742353172077,8.035108658052917e-09,1.8134129263924246e-07,1.2008269003826916e-13
4500,0.005999735898012217,8.21768607788639e-09,1.8664091921238947e-07,1.2686814578484447e-13
4600,0.005999727831165883,8.191506888154788e-09,1.9143685360367995e-07,1.344218026911907e-13
4700,0.005999723211535424,8.421481492461022e-09,1.9791960927917322e-07,1.3860047011559883e-13
4800,0.005999717542714675,8.692731748772003e-09,1.976992341127726e-07,1.4316516435276728e-13
4900,0.005999709528559584,8.86885766457962e-09,2.0594109436929565e-07,1.5283314146470698e-13
5000,0.00599970447272433,9.113006198308671e-09,2.0622461043718393e-07,1.5510129145405184e-13
