milliseconds,As,Bs,Asyn,Bsyn
0,0.006000000188359444,-1.2345858779950242e-10,-1.0601650704398794e-09,-1.8818141652990447e-15
100,0.005999993810337658,2.6090251022101957e-10,6.444345705724657e-09,1.773802467871595e-15
200,0.005999988861828712,4.251736796121065e-10,6.299751622470158e-09,5.455882319104473e-16
300,0.005999981756071871,4.561634104304934e-10,9.838756807382559e-09,2.9853142925283927e-15
400,0.005999976518607002,6.976128641839633e-10,1.6401133722570404e-08,2.422464936708378e-15
500,0.005999968259420767,7.751174643117318e-10,2.122722928876634e-08,1.4523262750228284e-15
600,0.005999963347995638,1.1692976986712108e-09,2.6290203374636195e-08,1.1343742373039686e-15
700,0.005999955845143968,1.3016774923028042e-09,3.007370903891601e-08,5.218497294787404e-15
800,0.005999950190292688,1.4589014426505278e-09,3.483201917974363e-08,4.682248976386907e-15
900,0.005999949226824935,1.5560863912160653e-09,3.4478788465779764e-08,4.9941674185577265e-15
1000,0.005999938498854504,1.91582509748151e-09,4.1411033238386246e-08,5.351928583478035e-15
1100,0.0059999368207737476,1.889067389287685e-09,4.425513779573611e-08,5.65765228287119e-15
1200,0.005999925258327197,2.1982222671039868e-09,5.195024049590797e-08,8.797971538732395e-15
1300,0.005999923560712225,2.264479074673594e-09,5.2212006208034514e-08,1.314114950736318e-14
1400,0.005999918178148198,2.6112842009323134e-09,5.79452992496361e-08,1.476626412844007e-14
1500,0.005999909678541194,2.8031622408121087e-09,6.260339673611277e-08,1.4737155212067186e-14
1600,0.005999908461349021,2.944254536738542e-09,6.395947027042131e-08,1.455976831907574e-14
1700,0.005999900099308291,2.989370618511267e-09,6.933264061171995e-08,1.8068474399254914e-14
1800,0.005999889483846452,3.202625313929113e-09,7.631732622798518e-08,2.2815894897412973e-14
1900,0.005999889196136146,3.46192894164593e-09,7.970487289613697e-08,2.480415712749681e-14
2000,0.005999884474859592,3.669370310357656e-09,8.610901221251045e-08,2.7484673298641822e-14
2100,0.005999878996237796,3.8135526994472464e-09,8.71528752390247e-08,2.5619129287899963e-14
2200,0.005999872533616669,3.936052756251701e-09,9.04440313874431e-08,3.060220064607731e-14
2300,0.005999859699047559,4.247613226387398e-09,9.816341000956256e-08,3.294876508198957e-14
2400,0.005999859847859431,4.236805243247163e-09,9.998778683028385e-08,3.656408691282306e-14
2500,0.0059998469935963515,4.4947259388413776e-09,1.0382927865795114e-07,3.8099354885904964e-14
2600,0.005999842097395481,4.686969758823774e-09,1.1006776773161094e-07,4.0819823393389305e-14
2700,0.005999837635894878,4.9122476828393755e-09,1.1551195209713007e-07,4.7138749981906907e-14
2800,0.005999834928404564,5.156387749373309e-09,1.1778805990489973e-07,4.903597960355396e-14
2900,0.0059998277227672,5.161214405573384e-09,1.2027970832003251e-07,5.3928885983129814e-14
3000,0.005999825264744405,5.424980874115785e-09,1.2325377778459535e-07,5.490499789200929e-14
3100,0.005999819392559656,5.617679974909466e-09,1.310584238172283e-07,6.01211532378079e-14
3200,0.005999812678662856,5.863344123063405e-09,1.3186798853428425e-07,6.281128554798003e-14
3300,0.005999802354575807,5.970962396428818e-09,1.4031017871101076e-07,6.955444223643937e-14
3400,0.005999794413417004,6.154386337168064e-09,1.4034388992605426e-07,7.222976328161528e-14
3500,0.005999794059331181,6.275794982828141e-09,1.4796869233389026e-07,7.513557012364034e-14
3600,0.005999784167585577,6.451369094798973e-09,1.519761895089076e-07,8.193486092085625e-14
3700,0.005999783899155123,6.688355950920752e-09,1.541667997881061e-07,8.5172011232731e-14
3800,0.005999772795680579,6.9226747552491044e-09,1.5772935462309094e-07,8.89373387062798e-14
3900,0.00599976744917576,7.101658835038619e-09,1.650409628791149e-07,9.412081793784894e-14
4000,0.005999759477095334,7.109023793822217e-09,1.6490857808894827e-07,1.0252863699637167e-13
4100,0.005999757498748465,7.30941182366966e-09,1.719186116584823e-07,1.0748825152871572e-13
4200,0.0059997500445625055,7.62366646652151e-09,1.7436988563900684e-07,1.1140700249358397e-13
4300,0.005999742294068473,7.64180625856254e-09,1.7887602643853472e-07,1.1490920696901545e-13
4400,0.005999734919566243,7.80262184518873e-09,1.8587666778458738e-07,1.2186698196732093e-13
4500,0.0059997296513009295,8.001884882207209e-09,1.8781253584895203e-07,1.260966177188171e-13
4600,0.005999724692959248,8.304347521025918e-09,1.909876451971629e-07,1.3418459390142814e-13
4700,0.005999723506575335,8.417560340960489e-09,1.9463005710893504e-07,1.394276945855934e-13
4800,0.005999715706904811,8.772336666606825e-09,2.017360511860149e-07,1.439984054820166e-13
4900,0.005999704905711452,8.69985962379754e-09,2.0600198842983886e-07,1.4922418763347255e-13
5000,0.005999699664914168,8.940357492284505e-09,2.0964108792179098e-07,1.5473717730509212e-13
