milliseconds,As,Bs,Asyn,Bsyn
0,0.006000001684683545,-1.186517842210982e-10,-4.679303826530848e-10,-1.565716346205693e-15
100,0.005999989953813953,1.515030628048463e-10,5.9979666037851655e-09,1.1424576860429406e-15
200,0.005999990715724138,4.842860001747353e-10,7.673904626087037e-09,7.970189743415894e-16
300,0.005999985009476951,6.148964528788668e-10,1.5067315183810695e-08,-1.3482685326392038e-15
400,0.005999974697333569,6.397453304032188e-10,1.921630482115645e-08,-1.8433343680961827e-17
500,0.005999970515671373,8.840071885815185e-10,2.1133684060258292e-08,1.609005076991553e-15
600,0.005999968418139949,1.1149584313276006e-09,2.1916984980894254e-08,3.771658698169753e-15
700,0.005999961344346535,1.196331607912024e-09,2.837285155150393e-08,3.543407520355374e-15
800,0.00599994968354625,1.5727525759531697e-09,3.1341777277345985e-08,2.9125835570554045e-15
900,0.005999942462216836,1.677158873032288e-09,3.716828632692692e-08,5.811748857156552e-15
1000,0.00599993941920446,1.9272848560277994e-09,4.1468560233911806e-08,4.773246482872805e-15
1100,0.005999934538281508,1.985202761965142e-09,4.880986548048644e-08,8.387342445867505e-15
1200,0.005999931352653156,2.1350079300891334e-09,5.2045296203937445e-08,1.090236082289775e-14
1300,0.005999920943811696,2.286708838591549e-09,5.1125297928359825e-08,1.1321168911917546e-14
1400,0.005999915336209386,2.5142475158707047e-09,6.083666985994456e-08,1.1976257769684112e-14
1500,0.005999912099510111,2.8198317919109374e-09,6.529806126870194e-08,1.456675414343298e-14
1600,0.00599990222636761,2.808490687620333e-09,6.886810712685639e-08,1.6251622408822846e-14
1700,0.005999897063300529,2.9992125858547744e-09,7.169980982088079e-08,1.8055436566301275e-14
1800,0.005999892607383922,3.112657686154888e-09,7.71424689816343e-08,2.249054734211511e-14
1900,0.0059998905585887065,3.3908489014127817e-09,7.797699653105868e-08,2.4948485152517953e-14
2000,0.0059998816922043246,3.5834417304496254e-09,8.178935060546976e-08,2.378346107814086e-14
2100,0.005999873806143919,3.779214472230836e-09,8.612348390456423e-08,2.999798566923106e-14
2200,0.00599986869493219,3.942079329178959e-09,9.250824320220641e-08,2.8634415484464574e-14
2300,0.0059998664327751885,4.16594517815929e-09,9.495618352278436e-08,3.479120072958482e-14
2400,0.005999855390617225,4.204267208916884e-09,1.0242547838681801e-07,3.8031908835467085e-14
2500,0.005999854526643015,4.628295910713681e-09,1.029029356289395e-07,3.7816195072891714e-14
2600,0.0059998461512800584,4.7141703937299145e-09,1.0539155493665535e-07,4.50129448293405e-14
2700,0.005999843571417693,4.742800635296633e-09,1.1184823610438308e-07,4.480664018269515e-14
2800,0.005999831228355317,5.119429948980112e-09,1.1695288023025864e-07,4.820216887210803e-14
2900,0.0059998285486334,5.227517967012396e-09,1.1969850605656557e-07,5.347806071337207e-14
3000,0.005999819035919544,5.366092650211978e-09,1.2678507505231248e-07,5.907983647705486e-14
3100,0.00599981299983556,5.53374794950776e-09,1.3127158421398767e-07,5.975049184241029e-14
3200,0.005999812875595501,5.8429384576121825e-09,1.3270142335353833e-07,6.348442078519796e-14
3300,0.0059998015035778824,5.849331866100012e-09,1.351959515593422e-07,6.964461066131925e-14
3400,0.005999798874272329,6.215124963646433e-09,1.4184435970798996e-07,7.479731316344995e-14
3500,0.005999794760109838,6.35821740054475e-09,1.476099641281558e-07,7.87052562441216e-14
3600,0.0059997827268027226,6.5577211523637285e-09,1.5124771511039383e-07,8.399087004730919e-14
3700,0.005999782980126348,6.657887711551582e-09,1.543001405075082e-07,8.562327817565216e-14
3800,0.005999772470883702,6.884256090976741e-09,1.585563437491384e-07,9.018654446350259e-14
3900,0.005999768406722045,7.0499212442874725e-09,1.6311608332497938e-07,9.401146332953935e-14
4000,0.005999764387499201,7.2407581902724345e-09,1.6478678096693488e-07,1.0299433430771525e-13
4100,0.005999753974178505,7.373922984000148e-09,1.711278532016861e-07,1.0620648068502545e-13
4200,0.005999753311279956,7.487053834969016e-09,1.7713795059673687e-07,1.1055655704640656e-13
4300,0.005999744494620115,7.817726763251128e-09,1.8104888090522846e-07,1.1593437660263507e-13
4400,0.005999734114168588,7.811216371659858e-09,1.8039665618539584e-07,1.229047360754936e-13
4500,0.00599972793060008,8.23324607815973e-09,1.879754574426678e-07,1.2838304463119796e-13
4600,0.005999730071175758,8.301427201937833e-09,1.8874062400853073e-07,1.3323116656174064e-13
4700,0.00599971828544171,8.53645073079219e-09,1.9747391894316534e-07,1.398016802614535e-13
4800,0.005999710052795914,8.67274331331535e-09,1.991152871967146e-07,1.449075114871218e-13
4900,0.005999707247104212,8.766602595667576e-09,2.016006783714308e-07,1.5141483472925812e-13
5000,0.005999703753505542,9.012746990713579e-09,2.0622430316278445e-07,1.5663031736837295e-13
