miliseconds,As,Bs,Asyn,Bsyn
0,0.006000003961262896,3.6460517695270796e-11,5.12574971198631e-10,1.5296135198539027e-15
100,0.005999992977987363,2.6468780875889124e-10,4.9514699444032315e-09,1.5277515623803226e-15
200,0.005999991218736195,3.740147319539298e-10,5.849016799979324e-09,2.460918343181633e-15
300,0.005999979507799553,4.0765243259443607e-10,1.2009709731562906e-08,-3.773664306976537e-16
400,0.005999979383470635,6.12473269706631e-10,1.5214903718892856e-08,-1.297720731137231e-15
500,0.005999966654758984,9.061746548346687e-10,2.2347814453063798e-08,-1.6585483451304882e-17
600,0.005999967037506278,9.819046749693397e-10,2.572286395051963e-08,7.602904825945991e-16
700,0.005999958814459186,1.373927709319956e-09,2.7547085710619038e-08,5.362426879408538e-15
800,0.005999950513877635,1.386010551786212e-09,3.029601625476746e-08,6.440776989841454e-15
900,0.0059999430757221505,1.6923312476326489e-09,3.742345642569951e-08,5.496325018035103e-15
1000,0.005999939294108178,1.8982422759236722e-09,4.267303066228319e-08,7.964828042090668e-15
1100,0.005999934066510231,1.8971341249723102e-09,4.6256001808916436e-08,7.493087859814893e-15
1200,0.0059999257798648556,2.2715850643738543e-09,4.697532313066198e-08,6.830796259829749e-15
1300,0.0059999221444552615,2.470204820208617e-09,5.615795489367649e-08,1.2120822153583912e-14
1400,0.005999918055044518,2.4407393061117288e-09,5.8098973285810255e-08,1.0318542756624326e-14
1500,0.005999913533966191,2.7544048693173852e-09,6.350217373706838e-08,1.3355145238728357e-14
1600,0.005999907844749562,3.00217999034132e-09,6.929699046229794e-08,1.6074354100023722e-14
1700,0.0059999020303406255,3.1021429302364965e-09,7.049223124692739e-08,1.8752392746031814e-14
1800,0.00599989136501145,3.232665882827515e-09,7.45979786035984e-08,2.0108614424877154e-14
1900,0.005999883370321321,3.363539605842613e-09,7.652010336715541e-08,2.0861843196779275e-14
2000,0.0059998813115225225,3.6471746914382743e-09,8.561483315542858e-08,2.710800719205943e-14
2100,0.005999871248663466,3.792559343829524e-09,8.84045570176426e-08,2.7240445987836618e-14
2200,0.005999870252422344,4.088410723974074e-09,9.348618108258618e-08,2.901636486074616e-14
2300,0.005999865317083826,4.141644722844097e-09,9.760611400859514e-08,3.274915985628443e-14
2400,0.005999855048474399,4.259290665808463e-09,9.946926314089311e-08,3.57028653988953e-14
2500,0.00599985244557909,4.406892095754282e-09,1.0149496807328423e-07,3.720724442731741e-14
2600,0.005999848974630135,4.7517662969153336e-09,1.0917122746074222e-07,4.2493420080535656e-14
2700,0.005999837690917428,4.851733820981664e-09,1.1253250895385286e-07,4.6853848597666573e-14
2800,0.005999831813257509,4.997183230869433e-09,1.1535797032399375e-07,5.0704553746626746e-14
2900,0.005999828006166421,5.187962355063742e-09,1.1865212012337139e-07,5.475179017248547e-14
3000,0.005999822300647735,5.278477393590699e-09,1.2582317037943024e-07,5.615769760051274e-14
3100,0.005999819747335083,5.6344341969168295e-09,1.262429551059088e-07,6.040743610720227e-14
3200,0.0059998088448515565,5.769648950675826e-09,1.3503597566408482e-07,6.615767671840964e-14
3300,0.005999805245212236,5.8216276399238255e-09,1.3930217273782798e-07,6.631782141982692e-14
3400,0.005999794343696571,6.120847062426699e-09,1.414516888341043e-07,7.255955114560283e-14
3500,0.005999794071194738,6.2318797711260106e-09,1.4680906468851546e-07,7.932864832315145e-14
3600,0.0059997813104085175,6.549754409557379e-09,1.4967276261869243e-07,8.356837745281883e-14
3700,0.005999781845183418,6.70581342248714e-09,1.564691116831186e-07,8.379695662653861e-14
3800,0.005999770794344524,6.925568121373778e-09,1.6123348402928585e-07,8.97576094804375e-14
3900,0.005999766458951276,6.907911214368486e-09,1.6486424634756137e-07,9.77424311035365e-14
4000,0.00599976517217104,7.324228473001991e-09,1.6499789048351333e-07,1.0161106985563798e-13
4100,0.005999758650253063,7.368474873994921e-09,1.7288758048817216e-07,1.0669669116490606e-13
4200,0.005999749167670873,7.436975594659413e-09,1.764902983684718e-07,1.0862023087642983e-13
4300,0.005999745895440532,7.797343227280008e-09,1.8053545492461553e-07,1.17130636000369e-13
4400,0.005999734896546454,7.842454383559088e-09,1.8608448032617876e-07,1.2243021002873714e-13
4500,0.005999732789937213,8.095897806963745e-09,1.8893337448109107e-07,1.2844185733751924e-13
4600,0.005999722232712035,8.350210761508379e-09,1.9262641603486834e-07,1.3373449430284796e-13
4700,0.0059997212876627196,8.5303710986362e-09,1.9840993030742325e-07,1.3968099810384807e-13
4800,0.005999713955269454,8.749639102628075e-09,2.0059820953570702e-07,1.4280397671169357e-13
4900,0.00599971111538041,8.807324899232898e-09,2.0622534175760514e-07,1.4896376561249938e-13
5000,0.005999703148105032,8.929029761774162e-09,2.068808241998938e-07,1.549483795972584e-13
