miliseconds,As,Bs,Asyn,Bsyn
0,0.0060000041474182145,-9.25934468055271e-11,3.674226946165585e-10,1.1588275005663067e-15
100,0.005999996214393353,1.810819778257135e-10,1.5570982656113228e-09,4.615522889476106e-16
200,0.005999987229884743,4.901633697827796e-10,1.131122249531448e-08,-1.8677325699752736e-15
300,0.005999984604176962,5.07250400071489e-10,1.3040611802755505e-08,-1.2591731099868358e-15
400,0.005999973730880491,6.897865491952443e-10,1.38329430083528e-08,2.676100459604111e-15
500,0.005999972458898115,9.334261596674302e-10,2.1273799053516188e-08,1.834721274951526e-15
600,0.005999967074207568,1.028374741323892e-09,2.6090965429372016e-08,3.4515716728624117e-16
700,0.005999957510771974,1.329830685973657e-09,2.90841986757858e-08,2.210662277371247e-15
800,0.005999954466142992,1.3797732743620627e-09,3.372672934431684e-08,3.288944727456098e-15
900,0.005999950790844111,1.6120488267871124e-09,4.0221955413714784e-08,6.219278611421943e-15
1000,0.0059999394428427565,1.7209913346920673e-09,4.2014907439142785e-08,6.421682376039822e-15
1100,0.005999938602983361,2.0079095130548144e-09,4.760047691694675e-08,6.542360100218777e-15
1200,0.005999925763809049,2.0547261222818944e-09,4.779319560331334e-08,8.504146466023716e-15
1300,0.0059999265774632665,2.3594182731690965e-09,5.324837619924797e-08,9.3855544523756e-15
1400,0.0059999156169797995,2.636228567506119e-09,5.80819398654779e-08,1.4461210078265818e-14
1500,0.0059999072707623965,2.668241670638507e-09,6.139359692794876e-08,1.2632882776784633e-14
1600,0.0059999053745424,2.9147787558307917e-09,6.383263335870225e-08,1.5950719230534026e-14
1700,0.0059998995877327726,2.98767153961166e-09,7.125283156671754e-08,1.8036718228884867e-14
1800,0.005999893516063695,3.162761805495993e-09,7.633548440874985e-08,2.152310249347731e-14
1900,0.005999886439538562,3.4171222074377754e-09,7.646067676371075e-08,2.5176628658977312e-14
2000,0.005999882330713072,3.523024296157466e-09,8.046796096007279e-08,2.751881630189219e-14
2100,0.005999878043914113,3.769918793774985e-09,8.915211364888749e-08,2.9024605216607664e-14
2200,0.005999868297738812,3.909117994563851e-09,8.938137196991554e-08,3.280894715607508e-14
2300,0.005999859460354336,4.187247331268012e-09,9.402448417592083e-08,3.542588756476492e-14
2400,0.005999855554217573,4.433277091818645e-09,1.0158715168837468e-07,3.5198345244974834e-14
2500,0.005999853262291726,4.43724166052915e-09,1.0110932611966516e-07,3.728843431182506e-14
2600,0.00599984486429594,4.7334263148155454e-09,1.0657871827011787e-07,4.4474604224567075e-14
2700,0.005999838730867817,4.966945233207315e-09,1.1420559172859753e-07,4.4068288190623865e-14
2800,0.0059998299060836716,5.08175012849647e-09,1.1786840449953301e-07,5.15854080421977e-14
2900,0.005999829322414349,5.110593461023743e-09,1.2085623351567893e-07,5.4269251680426024e-14
3000,0.005999822803278449,5.502629634127827e-09,1.2573982374780773e-07,5.597576628675266e-14
3100,0.005999818136838924,5.545070286053983e-09,1.3195155158675029e-07,6.130433323094728e-14
3200,0.005999806153732042,5.753349777586646e-09,1.3145768028887488e-07,6.495597389035278e-14
3300,0.005999802480604535,5.927327892469662e-09,1.3475695505864794e-07,6.903703977118618e-14
3400,0.005999795352775675,6.111628373828512e-09,1.4052144574317852e-07,7.364982422183284e-14
3500,0.005999791429480341,6.313835642133456e-09,1.436390942457891e-07,7.495323626869e-14
3600,0.0059997868241092964,6.54238381801413e-09,1.485691872258219e-07,8.082290616640735e-14
3700,0.005999776991386968,6.751299807964294e-09,1.5293104129296466e-07,8.552880295623018e-14
3800,0.0059997725736297015,6.83720056783237e-09,1.5622365487660382e-07,9.319488444076301e-14
3900,0.005999768259802098,7.075984526189136e-09,1.63940738681871e-07,9.779864853646736e-14
4000,0.0059997647399076025,7.235029974329883e-09,1.6536394783166527e-07,1.0105869749211106e-13
4100,0.005999751525003779,7.499067166302544e-09,1.7097863204076304e-07,1.0616790613725357e-13
4200,0.005999745666600437,7.629569145554225e-09,1.7711627555723148e-07,1.133044248573414e-13
4300,0.005999744520836195,7.77460305503893e-09,1.7879711178944992e-07,1.1625542241634544e-13
4400,0.005999737465416635,8.035764988721695e-09,1.8591125337347712e-07,1.2087076498741326e-13
4500,0.005999735045110033,8.158174309211239e-09,1.9060642721929373e-07,1.2848380832607973e-13
4600,0.005999724149837127,8.205208204854559e-09,1.9458960130238182e-07,1.344616996314235e-13
4700,0.005999722294139522,8.50872917913363e-09,1.9597501781322563e-07,1.4055987237985708e-13
4800,0.0059997155315389735,8.740596549843567e-09,2.0199278870429945e-07,1.4317722873452643e-13
4900,0.005999705264793359,8.859329574052305e-09,2.0483530433656072e-07,1.5093363573162028e-13
5000,0.005999699296967928,9.101911187570229e-09,2.10232971788831e-07,1.5478944117460747e-13
