miliseconds,S_d,E_d,I_d,R_d,S_h,E_h,I_h,R_h
0,35057572.93281532,217166.09646610497,94647.71600574793,211301.2073342878,1290789756.0979044,238.5524546791271,87.97848738277791,198796.05838871477
100,34611071.36323744,157459.95794493565,141939.65814040366,452933.11825649266,1291392208.1014934,158.6893379825039,134.54802344914938,181762.143771121
200,34536846.50150231,135079.3691033035,107359.1257069073,707869.3620143635,1293028835.4169607,113.79376152842596,151.93665616725605,166198.93974647348
300,34154181.60757975,164854.3496180756,131781.59688840414,945775.3071493446,1292826480.00805,107.98945120489097,138.9855022541861,150186.1866956157
400,34014058.91213451,137574.98145828274,213981.77889001198,1143345.1734869776,1294657847.0547998,93.70207419049466,148.48484265371422,133431.7833054425
500,33929332.2505097,151000.8158962734,224386.98831066498,1328295.0933721699,1295875416.7112772,93.87808600552124,149.50059385264035,120635.04311221204
600,33721613.473138124,185977.84628500455,196654.9457221142,1465547.5035134805,1296180668.6968699,106.86784370034513,127.51514381101228,107323.03359643814
700,33413842.96927057,157118.3704390755,212135.0691368629,1597461.4933416413,1297494584.6750438,76.97458549732131,156.19870386785516,99829.5168125259
800,33213148.142968956,193453.79531146554,214457.46164586695,1727916.96070795,1298824454.858071,94.29655324671361,137.29699133987063,90313.86158910282
900,33213947.381928056,229361.05340454943,306149.78245924466,1863125.6492411373,1300591751.8936226,108.89802730013099,151.30033914177665,81877.92096530556
1000,33035605.19738205,233198.8292986446,245122.02921511116,1933793.3829812594,1300920411.025566,109.27175026418891,157.54807010321082,73097.00595228784
1100,32752277.982921813,231734.2526283453,349619.74164469994,2018979.51067512,1302188435.1470764,138.82690898308482,170.87831622833,65604.58984406202
1200,32875775.203418992,276630.8191399096,305579.75145589677,2114563.507306103,1304717601.26333,151.5337461596031,162.0639600658365,61715.58808485956
1300,32673143.85831042,275578.6962628709,393999.3485159471,2170789.8464277647,1305486085.733987,128.76803325283927,207.49285667855418,52338.772759017105
1400,32537253.798636317,272845.76034884306,387345.93287314044,2231804.113151088,1306558775.6284719,155.26266174874817,183.8530589966464,48373.24076039565
1500,32251910.160774957,285125.06500468374,416998.53883936856,2275542.091843237,1307470342.5538287,171.0087145889367,206.18171876824192,45229.09672408877
1600,32352251.576562624,344603.3419155143,454136.7623429965,2292077.039232173,1308699207.3444,166.8336020417499,241.57823480270602,42165.47974717454
1700,32164631.60157741,381337.4227288299,502963.5361912414,2352488.6371977213,1309215353.0177958,204.94261655963734,256.0682906951985,38161.276103501245
1800,32097660.972167674,374275.6426224869,475573.85601258324,2399754.6477807825,1311354197.0775785,205.39147357972232,265.07107509794093,34886.97456228011
1900,31929570.02979723,427623.978955026,509369.4375259518,2433974.1174258394,1312480268.0124352,212.52442869413983,294.75551190490523,31582.661761319865
2000,31775891.52470845,416807.3938124735,573069.3264405562,2463309.0117007126,1314009176.107177,237.13362948947767,315.6887811697282,26009.11678630878
2100,31706874.23579518,465465.92578894534,661044.7112852874,2495722.0386785828,1313528235.425204,258.28470591338896,319.74871570970225,25171.967585913917
2200,31555615.639942985,499000.8787085463,634879.8751770912,2505243.796252211,1315268515.949847,268.3482706345381,340.5282851425197,20404.338513416955
2300,31166207.192817487,509844.95777434646,692000.8445760687,2516127.0275169974,1317282012.7286024,312.29086412508923,373.8736905812186,18411.476132622523
2400,31172882.22374558,546052.8464928418,760268.5581072061,2535522.4883336844,1317791329.848697,328.22270731391126,405.6988542409285,19613.793367500766
2500,31072625.37550607,602120.6960700566,799718.5121570511,2560337.1565226517,1319746025.1663415,360.53105720504794,428.9871470430014,14382.701321755689
2600,30939629.099338755,657530.239278348,914413.8997707102,2566154.5545606366,1319670776.6728413,351.7237620849055,457.0000147719755,16658.593865992196
2700,30702416.978640173,655989.5538899981,960370.1688544656,2525887.515644941,1321599835.976672,405.7236740454155,471.28487351682054,11923.19466622295
2800,30596448.191395517,731537.1654948062,1026256.5929808113,2528888.2470125672,1322340791.705083,437.19050681717687,479.2724873833513,13776.285289271302
2900,30224327.266491532,754514.6469955841,1093090.2552713582,2579755.6813472495,1323303591.1930878,459.90693443194533,517.2521988528551,9911.952883020476
3000,29978795.564369366,779643.6062484422,1116693.698844093,2539726.468543159,1324173169.5714583,494.20071622924337,593.5308253196177,8301.853315020699
3100,29841202.26785744,852935.9709177573,1225539.2547036773,2548106.165907565,1326504364.5643995,498.2312138499577,624.4482025313009,11360.321122652727
3200,29785439.56042888,916862.2387877504,1263987.4370421753,2534290.5882548727,1326348907.9454064,558.914766915993,671.5195998866932,10074.001459791758
3300,29395595.462574102,967542.706446811,1335939.8457918637,2560075.8162111696,1327455493.8496904,563.304978096014,684.1888544565167,5450.827802854553
3400,29234869.749268502,990735.3388359047,1435733.9373369329,2548819.1451730756,1329336134.181639,597.9390906222346,726.1235075949165,8503.622085023695
3500,29028564.81602102,1031856.0318570109,1490657.4385472508,2575827.8992782636,1329781768.6147223,638.2697580787249,809.6524405077213,3680.447100776184
3600,28678648.877747826,1118797.0161012777,1636584.3993280237,2571071.5716312444,1331241350.8676245,673.5606176789245,834.3204394971502,7239.743227556146
3700,28246717.47414303,1124535.9774684878,1729903.9070837563,2558126.6906202035,1333183771.074416,731.8253492921358,910.4772868930288,6993.16904114215
3800,28096639.8544497,1186872.9944415598,1769503.454260028,2535977.2279508305,1333816485.5513997,786.8548040278238,929.1986363641615,6259.77558920419
3900,27826485.006412156,1234557.0722399168,1889891.8115131517,2497740.922556173,1335306908.408529,813.5990124941717,1027.3983354580678,5905.3146562798465
4000,27513865.754060697,1292079.6577489348,1972365.2539729115,2533950.7653728006,1335727136.9033813,845.4850205767567,1090.4781160269924,3152.1823959156172
