miliseconds,S_d,E_d,I_d,R_d,S_h,E_h,I_h,R_h
0,34928495.43607928,222343.44689073486,57770.376101788985,188728.9972381531,1289852345.9986734,231.72289120252103,96.71196124569626,201679.88666501504
100,34766109.09987152,168233.3397759244,164090.98139376997,471468.5306286377,1291631180.936344,170.47419603664505,128.8776969277463,180061.1599816448
200,34392929.37759382,149083.6982210073,125873.52918267396,707231.6178145526,1292685996.2084942,99.28445536393666,121.84634137156483,162326.8330857793
300,34150346.7471211,133361.24236137007,156157.49124389776,920036.6303995983,1293403302.7806451,88.67628134748469,145.36112924649157,148271.9407574868
400,34071658.42894298,146195.7209745851,168901.04147206887,1137086.9759622468,1294798136.490782,77.39460540753487,163.21899621000293,136256.66593348564
500,33726099.83108002,163474.06213147333,157280.8958639246,1298290.5985710202,1295106429.1853614,93.4932279212571,136.76588047990575,119344.9176315983
600,33721737.35512495,162713.44027333014,184075.5576340377,1459298.3299908335,1297096307.9224198,87.83638830602477,138.65935701182997,108295.78289440964
700,33407354.390002344,174131.91618917038,247999.4519761066,1596650.9917450945,1298638683.4688241,110.24553302345714,125.38423430584999,97292.62461587558
800,33448800.998512086,164916.54182326712,287490.0710673721,1719871.8833385482,1298658605.3741076,93.04544848052939,171.328332210796,88106.66328294549
900,33103289.321434237,192616.36449634677,248925.36278173258,1854342.0101895567,1299661652.5898414,93.4537951145517,147.9933283373634,81500.53042766509
1000,33053174.59210552,245725.0865051891,284531.2700085529,1911240.5840004126,1301997019.0653174,132.34697474769365,164.74839255245408,74237.90760426159
1100,32984242.412316777,237944.76436206108,325346.29415933986,2030946.7364475962,1303226572.234954,116.2111812662493,151.24072162717556,67492.45935892971
1200,32797720.376213178,269350.2084923801,331550.4335830536,2064824.6836896872,1304642643.112449,133.11622305139022,187.87610101356495,59826.33888527703
1300,32676746.156389862,256423.37382756022,371990.39665967936,2181236.9333408675,1305242563.5162647,137.27974812440686,180.83892746895515,53611.561793230416
1400,32420844.897213466,271812.3601941669,348930.90163682174,2212667.0127417487,1305553251.3041794,157.14484331808342,176.66531538454132,51243.82835278172
1500,32279681.17997156,304677.53673476656,388757.93200909643,2291629.906874999,1307200756.5372806,175.7750750367708,224.9237742825548,42156.64791158179
1600,32097719.58420318,310543.9461014667,474960.36339855666,2311213.168587993,1307885200.480815,193.8655470327667,222.26249142911047,42250.98185366084
1700,32084574.023960505,334115.65022697503,485105.09809761477,2386044.8219031747,1309323817.7836409,207.84563875000637,231.64167237946367,37312.44090496516
1800,32118238.850623112,400406.6234941891,529618.9678220728,2394479.3199752443,1310827853.9081361,202.84586239879985,243.55378194586328,33594.46924207046
1900,31892691.604688946,420830.55711423967,594219.2391912525,2423277.676527204,1312064195.0738587,232.4067808489491,281.0053564104313,28200.13143803946
2000,31797076.051987942,422751.4613222794,561744.0966341982,2434726.972074081,1313704871.0506465,248.76046701809906,302.7640843097688,28636.95188333278
2100,31671938.085727923,458054.9868166755,600627.0240537862,2502306.156192784,1314087115.1024113,266.062037868717,333.4114480263522,24461.500128312597
2200,31476006.66345633,480924.1683060344,665382.6154247011,2516360.6943831192,1315966650.6048956,279.3175700425942,323.82650825608863,22541.510161968763
2300,31381088.01289944,532123.6651340316,712382.5494543188,2492308.7523961607,1315873224.7750294,292.03530087943636,355.5134148120263,19179.80745167
2400,31106713.616028853,565305.1159260448,780778.5182919551,2538510.325682552,1318501596.0558429,320.98483063659074,390.6119553765627,17302.957318485973
2500,30888200.266762085,583499.6420662013,852589.9688217733,2518248.371792747,1318420699.1778638,356.4221453532914,412.46677915191015,17002.32896497778
2600,30882255.227123234,633970.0760278817,860214.4667553772,2561899.212472579,1320366474.2522256,381.9872271863718,447.2497578703307,15398.429415771356
2700,30697890.402130987,665859.2472362376,927738.3969897222,2560556.30993274,1320802868.0120313,379.7616144766804,491.6711622020081,11669.262030884984
2800,30355815.860701628,698116.3889621313,958326.4055709552,2538053.6621801667,1321932420.4441836,427.9402072043799,524.9857434077694,11858.584749785818
2900,30391911.231355663,731052.4587743025,1033942.2153172328,2590084.5868517333,1323823809.9563682,450.59118513742504,555.2473050232652,10687.94496643689
3000,30128859.318627696,772916.3121505362,1093220.2572447327,2545697.922605842,1325403745.0953627,473.34327671516326,569.6803579676451,10622.037604047311
3100,29799410.53493884,848310.4044372737,1246957.9535940867,2535177.055255138,1325690164.3194168,520.4478514032282,622.5948862117953,8772.263405554226
3200,29764976.55545901,888695.7207085685,1293333.460804454,2553744.0077203587,1326633373.5774632,550.3729285904789,633.2529060859666,6015.7717766681035
3300,29397896.124222312,923450.8118439044,1372197.5703608007,2539208.9139192956,1328371648.416877,575.4409384049478,683.9266329764631,9228.715558388552
3400,29146485.44814354,1012815.3369433389,1416784.1120496604,2533447.6611031503,1329019938.0807652,615.0246575181205,745.1098648556305,7100.462214707492
