milliseconds,S_d,E_d,I_d,R_d,S_h,E_h,I_h,R_h
0,34892823.93045976,190529.36847465672,111075.21793036144,217809.40374871335,1290648121.6740618,231.988677014737,111.33133353449753,197788.65212242363
100,34871523.43085961,142406.8448417028,149321.39495657347,499647.661307306,1291178143.0456738,155.75534814243284,136.7362423438381,181531.60900248116
200,34457108.481648386,122562.3583054622,185352.48892288294,733550.0077705019,1292299002.666829,101.88122860011097,155.52346428325615,161400.92584347894
300,34152897.34301122,139161.24993186473,130105.24059334898,927789.9285612634,1293039223.020509,105.30020752597153,137.50907985960038,146506.74230329797
400,34028684.49488291,170884.13631004177,154443.38231014402,1155975.4922181352,1294230618.2242632,95.12894288592628,148.6346296409695,135313.98786877995
500,33742545.03191225,175326.80967126865,153598.972619108,1331482.3630217453,1295182738.2082157,69.07537445088192,147.76140754601042,121725.05127469829
600,33532336.399700865,143609.8012806013,249502.8081715979,1454633.03670807,1296670054.6629307,85.45990133806092,143.9770425097901,108387.90185319693
700,33550933.602281455,197804.62587309844,264280.4467664214,1578437.940919517,1298042390.1449087,109.64818615576328,147.32559203811147,101714.67985033248
800,33255118.220154177,169373.8973127406,259460.4203508522,1744173.7847263978,1299934721.2556727,103.82081198685763,158.4763248887048,91132.95637835616
900,33121164.742154874,210201.82430883907,280352.00946828077,1855880.5841082481,1300260621.276541,102.6733242665255,137.99445057388496,79527.53905011258
1000,32991493.624059834,223186.03432408467,316697.5101047042,1961061.603180397,1301843315.1554487,132.17757004756268,159.34002123406916,74295.39605149959
1100,33019011.751642935,221325.62960038442,300182.34544710437,2006124.6737443393,1302185126.788967,115.89042888697568,165.66553780183386,67623.20192909823
1200,32739475.419727005,263001.3149081353,377483.060753266,2107050.26587727,1304114180.2914653,127.10094707679332,197.6547536985122,58845.240641490775
1300,32529627.83794823,292736.5387587937,391117.9371650332,2148467.5554480366,1305791387.6792636,145.7310786638239,207.6780309734226,54041.28867797105
1400,32356360.72594328,266090.4771043992,352806.99765240966,2197208.2775920546,1305634240.0760381,165.60907391203006,209.02357082198904,48620.06007749005
1500,32271460.97912876,333538.46494780993,378348.8367805567,2277269.3134821076,1307045357.7537959,179.37779229404694,193.87457223505274,46229.124044685566
1600,32278274.759836286,355985.97340815037,455478.42349118367,2310204.2949437904,1308104448.2334185,170.40312900430897,214.85734047891916,41315.95397758663
1700,32147974.148688007,346207.3501613792,522649.15574429126,2374897.43652571,1309354643.8996928,208.05082416534566,241.94914361294371,36097.742206961426
1800,31988129.8592652,356490.3130864998,507290.1835984356,2419174.157999134,1310846613.5194552,205.6067842042342,273.4935736391896,32904.54311670727
1900,31725241.77867449,407399.4863654076,513724.7234238581,2441570.3303592755,1312107707.1949496,214.2793152881111,272.31566845898703,29265.535866523554
2000,31650261.353061825,454046.53859423037,572595.8845059096,2473914.375399752,1313359328.2628639,236.73523682252662,270.03136282699245,25366.958895959113
2100,31645159.19591305,468862.113259535,635746.5588507615,2476779.6511815195,1313674520.1093588,275.07902497911385,335.0303613229023,22382.40975853281
2200,31563936.947996616,507345.6982986929,701727.0404456716,2481703.6219607294,1314856096.28313,288.4799232552065,312.68806571969645,21738.655646937797
2300,31275274.45575723,505856.3879609784,690055.0417050386,2523448.629549548,1316926370.6878517,318.15698186007506,343.11646940531216,20845.18458117121
2400,31062335.289837737,565921.740387375,732208.4943156269,2534090.7544579552,1317724302.254186,331.9185882259651,363.96061054347007,19574.325276553784
2500,31043526.33381875,604785.320710348,857938.6008754693,2546145.669025148,1318145615.808586,332.118741573576,430.92534840160636,14137.596722146773
2600,30981358.748989843,608853.8490563482,908634.0735682108,2518696.5005349466,1319890867.0134978,352.94763266432113,453.5698932000176,13078.373638398567
2700,30705279.58482142,677234.8073283653,981061.115024277,2554172.6114071677,1320393707.10965,396.6249284716492,467.7216260640727,14113.112601329112
2800,30412576.142143305,713771.4680587832,960170.2663579303,2584476.4742379524,1322594544.5278342,432.4701449503305,523.4979212042375,11816.128579007747
2900,30276079.35279944,744094.41736347,1046584.8427678156,2546076.230893796,1322884318.0579212,460.0245809641824,535.6572303146705,9830.233305346459
3000,30040534.014950108,784710.9205199288,1123397.061894583,2544402.316412327,1325339909.046362,459.30055957916727,566.4471740584893,7971.304590671078
3100,29886025.386488266,866676.5309963394,1174268.5855527476,2586868.90125885,1325988968.5043142,515.5847706550641,635.9408318861807,10736.43893884421
3200,29638625.790409423,883967.6379145363,1262448.2923319526,2579920.535512428,1326362713.9698138,546.2316212508842,677.4592653394445,7444.077867241132
3300,29478732.4581217,967398.1534172957,1346411.2450093506,2583458.490535159,1327545635.0034535,566.2549827501258,683.154153339162,7017.023064436289
3400,29042222.643557414,973224.8989763897,1454624.6073628447,2576109.9825445483,1328665112.3583117,611.5188945403321,729.7107227476099,5752.025748538789
3500,28810695.299987845,1049970.9080502514,1547806.1591362888,2524195.1316339974,1330309616.9544,639.573494048693,787.2248332997679,6882.485952175251
3600,28525394.23724307,1111128.0676867627,1607317.1449746327,2518296.502834403,1331306912.6477885,698.1417504975993,859.2311532414901,5540.725072032759
3700,28535967.71304242,1168012.566809875,1737034.0228325627,2543888.2708171746,1332429242.2265344,716.6318119322312,891.6885352734416,5937.310696571397
3800,28102925.47130275,1207673.7491696496,1796910.5179828769,2533476.4143510256,1333129904.3419816,784.5795756714602,933.2051182399636,4592.118491496087
3900,27798413.97531876,1258963.1117219208,1922234.0470701226,2505460.7350493893,1335538392.1578803,828.5666747039403,995.3788571675823,6803.546190545074
4000,27632967.025116827,1310909.1474827195,1967133.8882583785,2478779.595049947,1335428410.1104214,844.1282469761499,1063.955892011031,5557.908208532634
4100,27079846.480397243,1342597.8955399652,2047370.9193961227,2523150.4319307357,1336783596.3864152,887.4633290953491,1112.7733294672028,4449.83477580772
4200,26784033.99818188,1405521.810172808,2227693.4778341623,2457924.854521365,1337556366.4439485,944.1481731056488,1193.6081020394568,4080.5196583884094
4300,26579862.574779034,1490282.4026042419,2267272.747985238,2489238.5811121156,1339291103.4686756,1008.0638070590102,1256.045048618093,5376.471858073557
4400,26132098.61296875,1554617.442045941,2395790.7026721295,2457897.3548699836,1341162332.0666347,1049.5015453490757,1335.1290960786237,2067.327434384473
4500,25887310.159412544,1596878.2321356325,2477658.69594444,2428703.439181093,1341436345.2932515,1105.9531588693253,1399.6821625250604,719.490436831285
4600,25519264.58926453,1609380.7121294034,2597400.0496996143,2432380.162376761,1342915392.4765599,1149.8957752624294,1493.4451433854736,-163.713009977012
4700,25059626.4408025,1696462.6836516624,2746154.0952407755,2408111.1087728264,1344092268.8605509,1187.3577810956444,1580.1835739233936,-236.86654777172407
4800,24622758.753677085,1729993.002471238,2818594.3892049138,2392000.088098371,1345018577.2715857,1239.6637513372893,1662.231709260971,540.3148465847844
4900,24410892.27398494,1776302.1363980912,2928849.3153800396,2379148.601691742,1345643139.6223283,1315.764168271698,1753.3455314416228,840.6994629697717
5000,23921950.605677567,1819460.250252981,3071727.317167469,2333536.778098181,1348011222.8202531,1341.4485142849435,1787.6040269920966,3974.075353298621
