milliseconds,S_d,E_d,I_d,R_d,S_h,E_h,I_h,R_h
0,34949068.19508789,176065.51817948197,104821.18989051103,210467.6224027633,1290569887.167849,264.53304644053827,107.8258804907351,202546.19526440615
100,34746541.41617896,157136.44359800013,109320.40593780886,463054.9691872593,1290692399.6404786,153.10461087110983,144.55871079542374,179832.77723249156
200,34485988.774470665,151990.01394954068,191080.74169980668,726264.2358132224,1292959066.254859,115.72136896945028,157.0924027020152,162596.3067621023
300,34302448.74114541,144954.12665726242,153245.11421466697,939636.0532018989,1294339910.9686325,110.88352232941014,155.43856764703625,149934.86770244432
400,33983204.01238422,132722.95555596502,217325.9825880923,1118675.524949008,1295258254.062536,95.06088483298844,139.00081380013265,133044.7321602123
500,33729656.067158796,156719.7727699013,226939.75392710898,1340303.5680082887,1296561770.0550401,75.35596760029594,141.59477909641893,122815.686476834
600,33576138.29253276,142238.63417762928,177674.66847359086,1479326.4057095225,1297442959.0535555,107.55074863198499,122.40028221703872,107419.59167510705
700,33538402.776581295,171725.04159136102,271840.0390822537,1612392.5357607887,1297766886.3056977,108.52933610507195,172.05627808397057,101414.66962502961
800,33181881.675760757,181918.69172620215,236682.2105732363,1736993.3156232368,1298893613.1727061,98.46256140868041,147.21952405932865,88891.76983095276
900,33187494.304732468,189351.95933596496,283562.704071242,1852062.1822556711,1301175069.1587958,116.04990023484771,134.30420265738474,83270.89858370736
1000,33015313.935364433,215455.43334473338,294251.24922801176,1917700.7943358226,1300982308.1800578,123.35416929865934,143.06702320759837,74970.96372129009
1100,32900502.148937814,216067.41949609036,276340.977011411,2029616.2300262128,1302150768.438239,113.67347850248518,159.84090314035964,67741.53222341904
1200,32800638.87904722,267404.2245863413,377818.40223598946,2089487.6379246502,1304117444.4042802,154.08299170210336,166.8938836328756,62525.1380344305
1300,32664067.75684191,280770.55180229835,360558.35306890344,2153919.7752412423,1304692417.4670162,158.59794898200857,165.29997896381911,53995.908017250695
1400,32616708.336964183,312843.7735263237,426755.1364611518,2202835.282529895,1305993045.1673734,178.4632123683821,198.4018897673918,50677.531277273476
1500,32383338.377065707,306352.48873344914,391581.92383503285,2245475.1006610557,1307483638.4679012,178.61728180050002,194.63451463140743,45496.557721618985
