miliseconds,S_d,E_d,I_d,R_d,S_h,E_h,I_h,R_h
0,34968280.925280705,175998.4075156166,133369.71610256244,172355.4943496337,1289672221.546731,246.2130128695917,111.4175466303144,201023.5222732265
100,34656588.12441618,177232.39037425502,151468.49784816784,494683.04666096944,1291913669.0462842,166.33122171536945,101.22383162911487,181592.1720150879
200,34478146.74231074,168598.18556994476,165434.88671474432,741759.7535894621,1291917562.7854521,113.18189982857675,113.97889763965895,164161.15395659342
300,34225299.89421409,128542.9293153267,125111.33524653096,949038.7272707683,1293202351.077235,87.26749425285361,152.49046721809904,148972.7148242859
400,33901097.18777719,173054.61453139244,155373.22710157983,1151243.9255778121,1294137872.503578,68.40039569784796,167.41511839489334,132918.813989031
500,33979674.159795575,140552.38315101474,232443.67089176478,1319521.536900237,1295989477.2733042,68.7471642452745,120.27962815949681,118604.30116997178
600,33706997.06299383,145020.83151062185,201510.4781554156,1496678.7209348006,1296281235.9548714,70.5727453403002,135.68298782967585,109292.7959771688
700,33341430.764848284,191579.92313271572,192806.08250124918,1590139.292685825,1297381521.533471,111.938578919398,165.5134415494301,98430.68341624673
800,33330350.71718736,175841.98835691382,224910.8684466593,1721503.9404291152,1298989146.8159828,97.43148543239305,129.9545401905636,90855.18286916206
900,33120685.557457916,181350.7217105311,286615.9491879513,1811270.9386770362,1301249041.9260697,125.80134065100997,138.9196245284582,81304.71652745896
1000,33056029.699829705,229503.16016644036,320544.1410735384,1929619.474161068,1302128089.0818782,126.27414237931563,138.29844457983788,70936.20185287404
1100,32854180.031107742,256946.90001931277,290262.5564200296,2007548.4670941245,1302791217.7938685,140.1775555910889,167.09381424219114,64483.07618180631
1200,32830672.35095641,237022.83784434973,347756.24181936955,2069822.3410604752,1304007628.4375985,138.15257706778038,193.24663957293984,58520.596850294445
1300,32699214.104149546,271417.2241470825,397791.2284756423,2178633.890648222,1304726240.8496268,132.27829201262142,208.20374381840665,53783.49304252035
1400,32543010.52353272,282921.1077955632,353907.64150659053,2216592.336223394,1306299218.8111486,159.68438258279835,220.33610092958645,49349.7130654521
1500,32518333.370795313,295671.3736715798,373536.514395081,2284554.3583170897,1308045452.7363982,186.52755762053792,228.734805302517,46429.54532789322
1600,32318939.717762034,335599.7410246484,455456.1789731996,2328757.697116485,1308303307.5284305,169.76835656463012,203.51156025748526,39311.01154733553
1700,32083213.620733608,334659.16532647464,492513.4903515504,2357771.692697458,1309871665.4506845,209.34064290078206,217.35711049470135,34328.40535024382
1800,32109051.05129956,374582.30138470576,552472.1550051789,2379832.7923042234,1310867394.1467474,229.38103717977071,231.49956236205796,34091.060681062205
1900,31842357.828287087,393683.795580777,522073.5193154364,2427643.0976508963,1312553845.9250956,233.5205884298858,284.5883870038487,29685.67201338211
2000,31721238.52353257,421370.2572046791,633423.2364856971,2446588.8150079483,1313029242.9139297,259.9684468426194,269.24626331494295,26432.60431202027
2100,31655536.36398259,437805.14951582113,655582.7994161408,2485138.6235177806,1314324829.3490753,281.918444686094,330.220733839866,25781.068867082493
2200,31417531.49174814,499922.047894648,668029.5547236969,2477149.048180133,1315107214.5561805,278.29890015685305,355.5695361092632,20290.016762065596
2300,31376911.161636077,516059.1374913991,741016.811186593,2534988.240666859,1316453924.9014602,305.1047086499688,338.14098927082705,18583.64659888536
2400,31190568.249778602,570145.7566847284,750448.3630030305,2516396.033357215,1318601756.4643064,307.68421010110126,381.73635029695373,20386.32886572033
2500,30910093.087142292,618488.7591930522,806037.2441293901,2541571.508263691,1318309359.4448102,364.2764668321688,414.65406780038126,17606.731768465055
