milliseconds,Effector_cells,Tumor_cells,IL_2
0,1e-05,1e-05,1e-05
100,1.097552646082938e-05,1.0122022280164454e-05,8.786527651980623e-06
200,1.195972625130636e-05,1.024537129503293e-05,7.816341834991522e-06
300,1.295270197462936e-05,1.0370058347364145e-05,7.050156718092824e-06
400,1.3954556024294682e-05,1.0496094619109539e-05,6.455242973447286e-06
500,1.4965391560799628e-05,1.0623491315852834e-05,6.004258263073439e-06
600,1.5985312500662304e-05,1.075225966479522e-05,5.674356889594881e-06
700,1.7014423511408767e-05,1.0882410913297795e-05,5.446498253277686e-06
800,1.805283000574986e-05,1.1013956327077395e-05,5.3047817841716745e-06
900,1.910063813721406e-05,1.1146907188399747e-05,5.2359009654997614e-06
1000,2.0157954797713227e-05,1.128127479445919e-05,5.2287726068008025e-06
1100,2.122488761472947e-05,1.1417070455552409e-05,5.27415655651162e-06
1200,2.2301544949276272e-05,1.1554305493264544e-05,5.3643487075927615e-06
1300,2.3388035893573565e-05,1.1692991238557389e-05,5.492916517513068e-06
1400,2.4484470269009855e-05,1.183313902980517e-05,5.654486989574373e-06
1500,2.5590958624596997e-05,1.1974760210869765e-05,5.844582975952577e-06
1600,2.670761223518616e-05,1.2117866129143686e-05,6.059480932839859e-06
1700,2.7834543099310483e-05,1.2262468133522256e-05,6.296083478084799e-06
1800,2.8971863936926665e-05,1.2408577572317415e-05,6.551811825259675e-06
1900,3.0119688187174833e-05,1.2556205791138926e-05,6.8245199241034425e-06
2000,3.127813000599e-05,1.2705364130748641e-05,7.112425165989361e-06
2100,3.244730426340523e-05,1.2856063924878212e-05,7.414049635140816e-06
2200,3.362732654056675e-05,1.3008316498002919e-05,7.728169432581141e-06
2300,3.4818313126550985e-05,1.3162133163072529e-05,8.053772047452306e-06
2400,3.602038101499839e-05,1.3317525219203213e-05,8.390021436253212e-06
2500,3.723364790050721e-05,1.347450394933206e-05,8.736229346259138e-06
2600,3.8458232174745877e-05,1.3633080617833078e-05,9.091831247058618e-06
2700,3.969425292229493e-05,1.3793266468093354e-05,9.456365907696679e-06
2800,4.09418299162458e-05,1.395507272004933e-05,9.829458236974545e-06
2900,4.22010836135615e-05,1.4118510567683935e-05,1.0210805070152333e-05
3000,4.347213515015815e-05,1.4283591176481458e-05,1.0600163593968508e-05
3100,4.475510633566049e-05,1.4450325680834229e-05,1.0997342097492849e-05
3200,4.605011964819221e-05,1.4618725181456905e-05,1.1402189906925128e-05
3300,4.735729822873577e-05,1.4788800742737568e-05,1.1814590394083246e-05
3400,4.867676587463867e-05,1.4960563389957786e-05,1.2234458784154669e-05
3500,5.000864703463033e-05,1.5134024106742374e-05,1.2661729974576851e-05
3600,5.135306680071786e-05,1.5309193832048894e-05,1.309636449199426e-05
3700,5.271015090251323e-05,1.548608345750866e-05,1.3538338307813517e-05
3800,5.408002570009016e-05,1.566470382455979e-05,1.3987642440617318e-05
3900,5.546281817623661e-05,1.5845065721499225e-05,1.4444280145411717e-05
4000,5.6858655929003966e-05,1.6027179880577824e-05,1.4908265045110585e-05
4100,5.826766716432972e-05,1.6211056975102067e-05,1.5379618498815284e-05
4200,5.9689980689131814e-05,1.639670761660054e-05,1.58583666181839e-05
4300,6.112572589783817e-05,1.6584142351104123e-05,1.634454742246962e-05
4400,6.257503277483728e-05,1.6773371657576307e-05,1.6838192922026465e-05
4500,6.40380318695355e-05,1.6964405942691607e-05,1.733935128457268e-05
4600,6.551485430313597e-05,1.7157255539799064e-05,1.7848065496653568e-05
4700,6.700563175013528e-05,1.7351930704568746e-05,1.8364383554735318e-05
4800,6.851049642628721e-05,1.754844161148536e-05,1.8888360616011376e-05
4900,7.002958108969226e-05,1.774679835206766e-05,1.9420048639571023e-05
5000,7.156301901493862e-05,1.7947010929660605e-05,1.9959505220479835e-05
