milliseconds,T_1,T_2,G,I
0,500000.0,1000000.0,1.0,1.0
100,499976.1084611554,999915.620159886,0.9464125469344005,0.9814388251199626
200,499952.57823096967,999831.9860263385,0.895944610968282,0.9635918003447876
300,499929.4052835662,999749.1211212086,0.8484226357620492,0.9464378178895726
400,499906.5847834109,999667.0490331767,0.8036725728469971,0.9299550075676786
500,499884.1116304441,999585.7927658986,0.7615323096844805,0.9141225672352046
600,499861.98047997995,999505.3747583401,0.7218494208760976,0.8989205682685368
700,499840.1856970383,999425.8168084647,0.6844806738326765,0.8843298905091043
800,499818.72136355937,999347.1399628654,0.6492913129013187,0.8703321755138408
900,499797.58129144215,999269.3644545102,0.6161545342009233,0.8569097882082426
1000,499776.75903339504,999192.5095782806,0.5849509142801429,0.8440457744241089
1100,499756.2478939683,999116.5935330109,0.5555678347831673,0.8317238176455137
1200,499736.0409371166,999041.6333566706,0.527899187222873,0.8199282210881252
1300,499716.1309943212,998967.6447858086,0.5018450363775747,0.8086438753493088
1400,499696.5106756281,998894.6421586165,0.47731126219434167,0.7978562274122953
1500,499677.17237996525,998822.6383331686,0.4542092575473776,0.7875512527191881
1600,499658.1083170096,998751.6445479962,0.4324553685296832,0.7777154015159479
1700,499639.3105104009,998681.6704113452,0.41197083111413746,0.7683355923261206
1800,499620.77077924175,998612.7240092951,0.3926822472359255,0.7593992554919442
1900,499602.4808167288,998544.8114338411,0.37451971201074025,0.7508941407339903
2000,499584.4321482023,998477.9370804881,0.3574179413954013,0.7428084263290766
2100,499566.6161962215,998412.1033008253,0.34131482420555265,0.7351305662155677
2200,499549.024265807,998347.310770538,0.32615212628504536,0.7278493703290946
2300,499531.6475763455,998283.5581674684,0.311874691913747,0.720953903358973
2400,499514.47725684,998220.8423306072,0.2984309211649355,0.714433512151125
2500,499497.50438100594,998159.158251434,0.2857721255045154,0.7082777720761243
2600,499480.71997429617,998098.4990993367,0.2738526013742372,0.7024764760554562
2700,499464.11504525755,998038.8563536754,0.2626292126333059,0.697019603861374
2800,499447.6805950557,997980.2197745187,0.2520613776077999,0.6918973013920764
2900,499431.4076449131,997922.5775299547,0.2421107838740597,0.6870998547276
3000,499415.28724405303,997865.9162238514,0.23274164013240134,0.6826176838812652
3100,499399.3105023537,997810.220955709,0.2239199080190824,0.6784412943610859
3200,499383.4686067864,997755.4753796525,0.21561327773556546,0.6745612599665386
3300,499367.752830275,997701.6620168848,0.2077917159276054,0.6709682710217904
3400,499352.1545597473,997648.7621792272,0.20042677254901248,0.6676530677236608
3500,499336.66530912655,997596.7562071175,0.19349174206383754,0.6646064678212401
3600,499321.2767384181,997545.6235544998,0.1869616177676881,0.6618193480210338
3700,499305.9806684303,997495.3427441765,0.1808127144764737,0.6592826131118344
3800,499290.76910075545,997445.8916422739,0.17502285749302357,0.6569872136046693
3900,499275.6342313547,997397.2476303364,0.16957105208527304,0.6549241762065787
4000,499260.5684699741,997349.3875765239,0.16443748632361152,0.6530845483127062
4100,499245.5644368268,997302.2879858962,0.1596035770735757,0.6514594496634614
4200,499230.6149963803,997255.9251458793,0.15505168274154454,0.6500400408668137
4300,499215.71324525407,997210.2750887712,0.15076533712295892,0.6488175504384546
4400,499200.85254246043,997165.313824477,0.14672895071699185,0.6477832644056194
4500,499186.0264975326,997121.0173677187,0.14292790869501928,0.6469285687294333
4600,499171.2289965324,997077.3618471767,0.13934844903985757,0.6462449223872276
4700,499156.4541853755,997034.3236112121,0.13597760095019387,0.6457239157489422
4800,499141.69649619126,996991.87929642,0.132803162412042,0.6453572433295507
4900,499126.95062583074,996950.0058207101,0.1298136365731229,0.6451367366101065
5000,499112.2115600129,996908.6805580718,0.12699817779885464,0.6450543681293802
