miliseconds,V,n,s1,s2
0,-40.86845120983766,0.03703364261473511,0.09838089229984902,0.43401340929700055
100,-40.85553563753298,0.037077952333116816,0.09838597303407176,0.4340143076131746
200,-40.83774159828646,0.03709789957826919,0.09839114440360443,0.43401476378085546
300,-40.82948918189354,0.03713723952357228,0.09839838185872131,0.434015034123288
400,-40.830559941806115,0.03715906338670292,0.09840378191012752,0.43401519274758305
500,-40.816006608412245,0.037203857997443246,0.0984108747434583,0.43401585154884287
600,-40.80553011804753,0.037250883568480865,0.09841758727535989,0.43401633777543697
700,-40.785846171193164,0.03726221726306442,0.09842407870455036,0.4340168384325819
800,-40.78351756362789,0.03731415654687525,0.09843086293102536,0.43401694168832844
900,-40.77707152873589,0.0373334198373597,0.09843913591718649,0.43401781364583925
1000,-40.75556268054324,0.03734616697524838,0.09844667297334138,0.434017780391664
1100,-40.750929343731066,0.03740867639943243,0.09845469081177124,0.4340181995293992
1200,-40.736934893658294,0.03741954692855721,0.09846368353070359,0.4340187810172671
1300,-40.733024486237234,0.03748517406057129,0.09847262249289064,0.4340194732067044
1400,-40.716397196509455,0.037490552652365096,0.09848184252886312,0.4340198520950631
1500,-40.70734706351988,0.03752750858143554,0.09849079126193983,0.4340201480153329
1600,-40.69332882871093,0.03757400259607322,0.09850117142410698,0.43402090026963047
1700,-40.67960159605455,0.03760397123867388,0.09851115120869722,0.43402105065255836
1800,-40.671680834089585,0.03766340000082613,0.09852273582779994,0.4340212467435688
1900,-40.65858827340536,0.037665635237358816,0.09853220521933832,0.43402221184026857
2000,-40.65489652037604,0.037713674102361185,0.09854463564541652,0.4340223270556234
2100,-40.651077250331596,0.03775504360112849,0.09855565399479745,0.43402264806170715
2200,-40.62716344383164,0.03780401556362653,0.09856724335278107,0.43402344625949096
2300,-40.62478665006796,0.03781053281861309,0.09858027964631613,0.43402363318583675
2400,-40.6125387860263,0.03783034964633608,0.09859256160337311,0.43402444564047493
2500,-40.59662633299742,0.03790085846859604,0.0986054218295439,0.43402484522831813
2600,-40.59563291043188,0.03793982876542174,0.09861911281577665,0.4340250378719305
2700,-40.58438666945101,0.037950421959143305,0.0986340306846381,0.43402523678813637
2800,-40.57109249778158,0.03800060763042695,0.09864722971990796,0.4340258506759436
2900,-40.55484222469238,0.03801993476194096,0.09866190390200351,0.4340266831128088
3000,-40.541250808209995,0.038086238781379046,0.09867690640957986,0.4340268649267032
3100,-40.53941051801006,0.03811358596803562,0.09869204627219412,0.43402752442145653
3200,-40.51999479196911,0.03812129227728661,0.09870784337439233,0.43402753538324623
3300,-40.517631170079895,0.03817979408472805,0.09872463816389927,0.43402811961531423
3400,-40.50343266112058,0.0382148534964495,0.09874120861036742,0.43402874803712277
3500,-40.485537887626165,0.038265759308003966,0.09875873042549142,0.4340291504324798
3600,-40.474482269748734,0.038301018027523115,0.09877636697739796,0.43402968919818846
3700,-40.469029756517244,0.03831346951440661,0.09879375762886078,0.4340300783625879
3800,-40.45711835753393,0.038357103114478534,0.09881281909545821,0.4340304915113263
3900,-40.4519247508119,0.03840101775225694,0.09883206162745344,0.4340309076332904
4000,-40.42919738338267,0.03842642045400686,0.09885192412753298,0.4340311822953719
4100,-40.42565703074693,0.03845484323613034,0.09887200750623247,0.4340318129041549
4200,-40.40612017889993,0.03852286329093254,0.09889229777097101,0.43403248804549727
4300,-40.395128836445984,0.03851397251025588,0.09891294100736099,0.43403304344807986
4400,-40.38540404057111,0.038577279044934264,0.0989335397385409,0.43403312532330235
4500,-40.372281315761164,0.03862129180093042,0.09895549829041175,0.4340337039212971
4600,-40.36397827932816,0.038631934065377606,0.09897696911018272,0.43403436258088435
4700,-40.35303232641104,0.03867754089473984,0.09900046175228182,0.4340346830167512
4800,-40.34595810430518,0.0387179483245542,0.09902448114795688,0.4340351143915259
4900,-40.334475417741466,0.03878315709534454,0.09904739591739481,0.43403554779433207
5000,-40.32656015819998,0.03880810410080319,0.09907092955396025,0.434036128735555
