miliseconds,S,V,V_e,I,R
0,0.9437064034695368,0.05688566811267489,0.056710514264832056,0.0011601428405917603,-0.0001653648576722063
100,0.9405056843767412,0.05747607507580441,0.05720751967582385,0.0014266490233345176,-0.00023416069415176793
200,0.9399103128546076,0.05784849598622336,0.05831957901568781,0.0014466113589417361,0.0012770701863261678
300,0.9377141998045366,0.0590267538130869,0.05901076823627999,0.0015764839196252857,0.0010180964682496656
400,0.9374288050268148,0.0597525402962025,0.059250551519361185,0.0015202510409249223,0.001096894903428809
500,0.9360171343614528,0.06013473104585575,0.06010562504270551,0.0014505627209873933,0.0009446834253817659
600,0.9345373312830058,0.06132974941452286,0.060862617026776145,0.0015826257440217269,0.0011629515899610537
700,0.9355944988731827,0.061972382293012475,0.062006279354676556,0.0016905018944678484,0.0022717478887873963
800,0.9322822960076613,0.06264867740788276,0.0626667439498633,0.00177965806215935,0.003146403194416948
900,0.9328798692807974,0.06290424608561614,0.0629227778085765,0.0019337811594055472,0.002216771447210524
1000,0.9313661604917132,0.06396157204729941,0.06419774440466224,0.0020209386156992844,0.002907571293314288
1100,0.9304679566126779,0.06449455266699555,0.06434733592599726,0.0021116543534106342,0.004104173958790753
1200,0.9284688412508234,0.06511830301611767,0.0652377505707323,0.0024212630278863437,0.004432586852054003
1300,0.9277068363287193,0.06588094292525205,0.06600808616986514,0.0025599448390177947,0.005210111805911472
1400,0.9253696118205526,0.06673775355658375,0.06690434535587327,0.0024145200751508116,0.005471687334595012
1500,0.9232990704934619,0.06734859482961719,0.06725616150879805,0.002575339818304655,0.006022942707715428
1600,0.9239776867953418,0.06741377049434921,0.06786786489011143,0.0029066199203515606,0.005984979297075605
1700,0.9215642441843495,0.0680256236272887,0.06822922517009916,0.0031362163094469757,0.00750306238407234
1800,0.9210913347301765,0.0687752540194355,0.06883722917820125,0.0031624313121839435,0.007149380334389914
1900,0.917929690903992,0.06903635776755333,0.06971539050541761,0.003160480868905653,0.00798971121050094
2000,0.9173478536733572,0.06997206431379856,0.07061198492524512,0.0034616948628748453,0.008339497138273875
2100,0.9163249812075248,0.07075560032153784,0.07061044888999332,0.003548855059015048,0.009861883082560374
2200,0.9152297306378974,0.07110370700106403,0.07142961432889128,0.003775471224435629,0.010801428386140057
2300,0.9124938285608825,0.07169652712620744,0.0721181066503361,0.004095135240376132,0.011567677739115524
2400,0.9101817756248507,0.07200560294032617,0.07302207569627975,0.004224051817057277,0.012293668065847887
2500,0.9098620780792814,0.0723031415362696,0.07293903764490187,0.00444835827620233,0.012904484532611176
2600,0.9070241286860986,0.07348019034082698,0.0735548202219038,0.0048191637141698235,0.013747435594491951
2700,0.9055689826788651,0.07372553182251244,0.07423687620114978,0.004722261197773918,0.01487375536481163
2800,0.9039816801102678,0.07434486380821445,0.07533291143767268,0.005046236155087936,0.015736677630927707
2900,0.9027622148714886,0.07465419822907235,0.07559024803982665,0.005377840822168667,0.017109772497198025
3000,0.8994927037022566,0.07487140185695372,0.07580173956993146,0.00554493525115729,0.018095836236279302
3100,0.898305046804186,0.0755012758535463,0.07682708857862078,0.005861090687453971,0.019478964844683394
3200,0.8955662463426075,0.0759726080313084,0.0767282370600619,0.006156470665322258,0.020625672953071193
3300,0.8956965428136753,0.07675921733429017,0.07749657933107101,0.006479384584606437,0.022703522262240483
3400,0.8933125437581824,0.07659950500393783,0.078259415052976,0.006813524287692688,0.024244672295822403
3500,0.8890501098602919,0.07767997295298823,0.07824420636712912,0.007004266038185445,0.025984571100786787
3600,0.8876271421489947,0.0774140422192594,0.07904491554164184,0.007475175407302365,0.027561572454135524
3700,0.8850112096544575,0.07780786838331136,0.07959996447754494,0.007709651053097505,0.02778315987694142
3800,0.8826724103646957,0.0786220242832856,0.08033542682559644,0.008181860448422909,0.030678314257900543
3900,0.881054556890717,0.07908021112015937,0.08031349773944814,0.008485135586373527,0.03128291834077979
4000,0.8784635095972525,0.07889805352963326,0.08072307084433018,0.008622629835093104,0.03314786469618294
4100,0.8754265759884998,0.0797916533475123,0.08183749859923613,0.008997870098075409,0.03502467979290799
4200,0.8718772263505957,0.07984017683112594,0.08215641123473147,0.00945314538727073,0.03842488089515898
4300,0.8695474431899662,0.08061813136898303,0.08274136214528328,0.009838548347540114,0.039630739597277004
4400,0.8663324282991449,0.0808909835551575,0.0827644072908302,0.010387341526701396,0.04110401484664539
4500,0.8635495706439503,0.08099866038568594,0.08319855982512821,0.01049741581070358,0.04410147979878003
4600,0.860796711577406,0.08100010032148192,0.08353248980333322,0.011078017374058486,0.0456341824075275
4700,0.8588713050762586,0.08174996114020082,0.08399123703146312,0.011561674409880355,0.049224268357916885
4800,0.8549459426259772,0.08176438226942948,0.08427935862547214,0.01167494906483598,0.05179141537201492
4900,0.8510156780441173,0.08234177872369652,0.08529293365404057,0.012210531280795075,0.053092924147991175
5000,0.8493175465490453,0.08262573359444032,0.08521379259087074,0.012784496409536624,0.056993826737762376
