milliseconds,S,V,V_e,I,R
0,0.9432864263960574,0.05637412742687291,0.056805659910765645,0.0010943411465882751,7.804463330345902e-05
100,0.9413745894485097,0.057457781883259944,0.05732356175173754,0.0013261007935099285,0.0006179653732828337
200,0.9402638205506311,0.05775543827643661,0.057663608579190014,0.0013105231864320296,5.2365627623900785e-05
300,0.9395227257001956,0.05870045270639947,0.05896323393813676,0.0014895376425248588,0.0003905275415652534
400,0.9382372435795686,0.05919853005570378,0.05963151823583726,0.0015837766115595231,0.0007258602030989307
500,0.9376656481753581,0.05994293635629381,0.06011989732210892,0.00148958148960198,0.0007048742506177116
600,0.9361361957931523,0.06103311243944389,0.061012624433189555,0.0015496050753381204,0.0015941296748086268
700,0.9351314858173737,0.0617522142916112,0.06180170177121159,0.0018812892661042567,0.002902412652994767
800,0.9320024990943185,0.06238046617932797,0.06216904845468189,0.0019028518914207396,0.0025612937872210723
900,0.9320683556054644,0.06344363756077089,0.06312042352244161,0.0018037202141134973,0.0030560800417198555
1000,0.9321403803585245,0.06340341491185746,0.0639408308307387,0.0020650797585788465,0.002853913479766499
1100,0.9297832141920503,0.06417256070798574,0.06499536064466199,0.002189662535152877,0.004587896824729348
1200,0.928864953971275,0.06489267584422598,0.06521676423741231,0.0021467666672976547,0.003903610112070876
1300,0.9262234504269907,0.0659041020182698,0.06568218048392463,0.002368842987448859,0.004232971333642208
1400,0.9270962509894687,0.06601162865986773,0.06662156748978985,0.002580615179200048,0.004888026498094349
1500,0.9232226687692979,0.0672334010123064,0.06716932224468262,0.0027868388039413968,0.005789038923245043
1600,0.9222230037825905,0.06743126050652576,0.06816050621490354,0.002956590621267111,0.006855326886599944
1700,0.9228263406858994,0.06849339278820339,0.06853684805546521,0.0028062856322162797,0.007589365964863681
1800,0.9217470157884963,0.06870350569642533,0.06926220143589137,0.0032964817959472673,0.007545425399807892
1900,0.9186538995407721,0.06945165426098512,0.06958153312067003,0.0031573752399568986,0.009158751249262662
2000,0.9172488136198402,0.06988485061994457,0.07020143648281918,0.0035206720526885144,0.00948903011376498
2100,0.916063628638357,0.07065914483703167,0.0706213529559092,0.0034700676970473468,0.009434977904999572
2200,0.9133423382890125,0.0710599638824125,0.07187840315747986,0.0039941526848078016,0.0108522318714467
2300,0.9132072478336051,0.07149833896071552,0.07241293059143662,0.004179329761457535,0.01151621295018436
2400,0.9106086327353302,0.07214349286003793,0.072445588607474,0.004208533997390077,0.01268675664542921
2500,0.9095228650065423,0.07261035459557623,0.07324898388884757,0.0045420381030055815,0.013838011870502544
2600,0.9079838858754387,0.07348416883113545,0.07348476774397905,0.004634203491556534,0.01474366868486977
2700,0.9071093512009916,0.07376958598900281,0.07436742984719964,0.004829170110824747,0.014514447423708443
2800,0.9032614535842334,0.0743063328211689,0.07507370623770333,0.00498406689158356,0.015776063523304025
2900,0.9016888313191522,0.07477624771115479,0.07513190348173024,0.005513646251146978,0.01691015244203846
3000,0.8996142983188639,0.07480349742691604,0.07602582516155408,0.005610567574808439,0.01902902531761641
3100,0.8977900821096467,0.07561806982234882,0.07688356136520809,0.005851165885906866,0.01940236869776006
3200,0.8954024353575347,0.0757626772618576,0.0767681509234147,0.006225877372624253,0.021558044354492698
3300,0.8954448772110243,0.0763350816297369,0.07727786791609283,0.006373113780022622,0.022093094749975922
3400,0.8921450479976476,0.07702120815366967,0.0778595732520367,0.00685062279803368,0.024638806960272305
3500,0.8903972892578433,0.07762079205282754,0.07895875698127096,0.006993607823237015,0.025107415505511956
3600,0.8882525199901997,0.07768507770651403,0.07942554228373021,0.007324376501757645,0.026468393646717648
3700,0.885053381542373,0.0779990870668608,0.0793112507868113,0.007635524298341545,0.02796742298202925
3800,0.8823764063455932,0.0787659647052443,0.07982937296142366,0.008182968988473534,0.030955988290259757
3900,0.8821794702638988,0.07854750501149542,0.08078134424255445,0.008324590079793656,0.03219853156737683
4000,0.8794009361612827,0.07923301870663269,0.08115067014647576,0.008735483671898761,0.03400708294531184
4100,0.8766558212200971,0.07973884646592035,0.08179943637576594,0.008935330650251195,0.03625863647621312
4200,0.8742048102710653,0.08028929584990319,0.08214318009854273,0.00941920632092606,0.03838605452232693
4300,0.8700476241553436,0.08048418388602482,0.08220820908318174,0.00995984336015826,0.0404653802986922
4400,0.8683194870397465,0.0804941674646517,0.08255873336575528,0.010118095805536522,0.04114236791084343
4500,0.8647914478180254,0.0810149846149464,0.08287491802238588,0.010525193527609365,0.04387578876254644
4600,0.8618950648964714,0.08141699803461218,0.08349944759764392,0.01098714557713392,0.04642279066614721
4700,0.857593730006576,0.08183676165891413,0.08416642045396694,0.011514805488863659,0.04862894940604458
4800,0.8547215966727423,0.0816898170664274,0.08447302023245791,0.01169629639014501,0.05116037914204748
4900,0.852220957271236,0.08210336310069383,0.08506578241679279,0.012358956687322547,0.05413634929309798
5000,0.8498871409341213,0.08255640279278165,0.08560069850256717,0.012694989274102786,0.05674805556803013
