milliseconds,IX,TF_VIIa_IX,TF_VIIa,IXa,TF_VIIa_X,X,Xa,VIII,Xa_VIII,VIIIa,IIa,IIa_VIII,VIIIa_IXa,VIIIa_IXa_X,V,Xa_V,Va,IIa_V,Va_Xa,II,Va_Xa_II,Fibrinogen,Fibrinogen_IIa,Fibrin,VIIIa_inact,IXa_inact,Xa_inact,IIa_inact,Xa_Xa_Inhibitor,Xa_Inhibitor,Va_Xa_Xa_Inhibitor,IIa_IIa_Inhibitor,IIa_Inhibitor
0,90.0,0.0,0.005,0.0,0.0,170.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,1400.0,0.0,7900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,89.99833644013442,0.0016120052406051089,0.0010226008942670862,5.1551152041032753e-05,0.002365393865127734,169.99738449009308,0.0002307143203797176,0.6999993657938889,6.337838133039669e-07,4.2228766686596513e-10,9.614042176414398e-16,6.970390297300987e-19,3.1385383288372634e-17,4.682654051588041e-18,19.99998131504912,1.8661865446505598e-05,2.3085416172343923e-08,2.1624712191871093e-17,5.305197001633386e-15,1400.0,3.798308352000672e-15,7900.0,8.668204027402047e-16,8.739618048854022e-16,1.0253935962278855e-14,3.418716257381656e-09,1.0572006638564528e-07,2.804622802741557e-19,0.0,0.0,0.0,0.0,0.0
200,89.9979374869885,0.0019268310055120066,0.0008175273903029216,0.00013566280254550565,0.002255641604184976,169.99716815216647,0.00048651894941323793,0.6999971598417308,2.835999051221446e-06,4.159000410136765e-09,1.0744557666462633e-13,1.437130197464679e-16,1.6509585750631958e-15,3.6113900548422025e-16,19.99991342215444,8.634480029886342e-05,2.3304482961137758e-07,4.816121057306212e-15,2.3035999097916763e-13,1400.0,1.9924483347736631e-13,7900.0,1.0146032927929215e-13,2.2281337908173027e-13,2.155425115925275e-13,1.91275922686816e-08,5.059873738131485e-07,6.78714735772773e-17,0.0,0.0,0.0,0.0,0.0
300,89.99766371824191,0.0021055405069746527,0.0007846245118511405,0.00023069102562540964,0.0021098349811741117,169.9970089186883,0.0006839966848818244,0.6999939529136515,6.032862011387675e-06,1.422315742553892e-08,1.3740166494791076e-12,2.4956535328609074e-15,1.461909869433711e-14,3.731461324419921e-15,19.999809120987965,0.000190061935985486,8.170725655626892e-07,8.945296390493023e-14,1.763784613284788e-12,1399.9999999999957,1.6283075811872154e-12,7899.9999999999945,1.3166458952421786e-12,4.572290096477701e-12,1.1589963854967698e-12,5.014941130447756e-08,1.154349902991003e-06,1.369518803894544e-15,0.0,0.0,0.0,0.0,0.0
400,89.99744322124407,0.0022241052447432236,0.0007669943980212127,0.0003325754861667115,0.0020089003572354735,169.99682200398482,0.0008405911698906487,0.6999902466220557,9.721096047457885e-06,3.227815891366092e-08,7.65584221267226e-12,1.674327085091117e-14,6.473397899057777e-14,1.7939236293924906e-14,19.999681312643162,0.00031678701905208946,1.9003236055932566e-06,6.35508501947419e-13,6.932123653178662e-12,1399.999999999978,6.607971638261117e-12,7899.999999999957,7.387757486327216e-12,3.549535578269256e-11,3.638727347380318e-12,9.794857379289198e-08,1.99586320563504e-06,1.0545691746161437e-14,0.0,0.0,0.0,0.0,0.0
500,89.9972571707799,0.002303630021973027,0.000755343923130774,0.0004390356385395938,0.0019410260548961104,169.99661369796831,0.0009707232724964929,0.6999863419939992,1.3598922507591524e-05,5.9074587164838146e-08,2.7645643708390008e-11,6.846662202946613e-14,1.9835970729448562e-13,5.78307179116891e-14,19.999538478751326,0.00045795923945489463,3.5619685713916413e-06,2.7277530490439183e-12,1.9236372332581526e-11,1399.9999999999243,1.8683529849367886e-11,7899.999999999808,2.678577952088669e-11,1.6539495693512973e-10,8.581343214377814e-12,1.6348296281938895e-07,2.9940082012628687e-06,4.8906890002025474e-14,0.0,0.0,0.0,0.0,0.0
600,89.9970941884169,0.002357004347080099,0.0007475350811627696,0.0005485597656510477,0.0018954605717570428,169.9963909207552,0.0010838927134815953,0.6999824088202302,1.7496329634293653e-05,9.483233393683185e-08,7.666605239626591e-11,2.0745766562794812e-13,4.840406019231839e-13,1.4603627003049252e-13,19.999386044665442,0.0006081037729109315,5.8514673487282115e-06,8.611362276916014e-12,4.320769127413382e-11,1399.9999999997979,4.247895805181608e-11,7899.999999999362,7.447585260159382e-11,5.639652976830289e-10,1.6964062837063247e-11,2.473933894318785e-07,4.1252750592303874e-06,1.6625102023714564e-13,0.0,0.0,0.0,0.0,0.0
700,89.99694668608693,0.0023928297014935603,0.0007422909911892375,0.0006601340251870675,0.0018648793073171236,169.9961584207229,0.0011862530773449158,0.6999785363795851,2.1324108036371334e-05,1.3948076738875345e-07,1.782245762045763e-10,5.15150042381072e-13,1.0123428079404045e-12,3.1302265082627975e-13,19.99922745297926,0.000763747482948569,8.799347762267722e-06,2.2141451395674406e-11,8.430134013139819e-11,1399.9999999995423,8.358299656905653e-11,7899.999999998269,1.7344749625979609e-10,1.5593232760296851e-09,2.97706465638699e-11,3.5010878788563764e-07,5.374637548435541e-06,4.586855347608788e-13,0.0,0.0,0.0,0.0,0.0
800,89.99680957634801,0.002416873809419526,0.0007387773966564885,0.0007730778478044454,0.0018443487939239084,169.99591940100225,0.0012817725534449104,0.6999747658922812,2.504125151186976e-05,1.9280463608235843e-07,3.654283046177236e-10,1.1112514164845924e-12,1.8948222541693714e-12,5.967772432802082e-13,19.999064872413875,0.0009227030591564239,1.2424180434481988e-05,4.920338800136459e-11,1.488389618793354e-10,1399.9999999990791,1.4848599006034603e-10,7899.999999995935,3.5610587602300844e-10,3.711268625417182e-09,4.7968063862060405e-11,4.7191603171910335e-07,6.732546359686678e-06,1.0899721043118012e-12,0.0,0.0,0.0,0.0,0.0
900,89.99667943873621,0.0024330138793385477,0.0007364168662699501,0.0008869342973125406,0.0018305692543914283,169.99567600035124,0.0013729957227420614,0.6999711107452945,2.863464619526393e-05,2.545295495845715e-07,6.823322561429269e-10,2.1598886959242215e-12,3.262668198959089e-12,1.0423425155748951e-12,19.998899656317082,0.0010836060632132278,1.6737033061215928e-05,9.810539252446999e-11,2.439825135896916e-10,1399.9999999983058,2.4455099706488536e-10,7899.999999991441,6.655971727470169e-10,7.895973948928622e-09,7.249576027978606e-11,6.130065991612392e-07,8.192977145485606e-06,2.3161928453717396e-12,0.0,0.0,0.0,0.0,0.0
