miliseconds,M,P
0,0.9926756080695792,1.00053930402526
100,0.9949975730275018,0.9917677204972786
200,0.9884629722659128,0.9685953418398069
300,0.9762418493483672,0.9670826910850868
400,0.9780073608776733,0.9579872805815788
500,0.9716102900963497,0.9356534411940505
600,0.9604407315142667,0.9516782588108061
700,0.9652721641458413,0.9308066722959139
800,0.9559316156121392,0.9243926745519754
900,0.9585756919712829,0.89373226816451
1000,0.9480995690465205,0.882358433092852
1100,0.9389127437950121,0.8855016081996727
1200,0.9476257459459517,0.864979798496899
1300,0.9450457665488154,0.8450753260226168
1400,0.9336690334910113,0.8197133849147081
1500,0.9271150754675132,0.8038977629966962
1600,0.9246064303943421,0.8035592118506039
1700,0.9315691167492218,0.792509981140743
1800,0.9283878092426848,0.7732692277538266
1900,0.9216654659305842,0.749882937638115
2000,0.9279696361954551,0.7464315094758984
2100,0.9270623561473814,0.7316431780267162
2200,0.9178248695996525,0.6980254705122966
2300,0.9122737314477525,0.6721282056166697
2400,0.9160396633822242,0.6786603051220554
2500,0.9211980678752694,0.6365938813943186
2600,0.9205160829984328,0.6397685303570615
2700,0.9206141693051966,0.606481209333394
2800,0.9168484892149789,0.574307764601836
2900,0.9192167764957246,0.5715568786781393
3000,0.9305499866623765,0.5521731826240558
3100,0.9329338544845521,0.5232977418528033
3200,0.9455805081305239,0.4868203737707581
3300,0.9387638999805875,0.48616289622770303
3400,0.9517084224372816,0.46415934959567356
3500,0.9580595392756635,0.419675593105185
3600,0.9816148552082758,0.41281214652875164
3700,0.9922515779775476,0.37872805110535546
3800,0.9995521102954464,0.36196361431384916
3900,1.0338256902124972,0.315029965677284
4000,1.045016298176944,0.3082713971101218
4100,1.0754034328445465,0.2747446582350649
4200,1.1049627209151542,0.22138104565341246
4300,1.1441039540153606,0.2004494020837179
4400,1.201153178759275,0.1756617716202531
4500,1.2544476590499003,0.14964737288981905
4600,1.318598778386838,0.1067574961587241
4700,1.3957029561546783,0.07032823575250183
4800,1.4661544596233187,0.041123166724255075
4900,1.5490456504046268,0.025830471996973428
5000,1.6334457978506918,0.026292967560974316
