miliseconds,M,P
0,0.9916626276004072,1.0015973922701789
100,0.9982496959956211,0.9914235861816877
200,0.9962874020913979,0.9827051561946869
300,0.9799906096941442,0.9727614724949415
400,0.9757906160072369,0.9500880434433078
500,0.9760157536071722,0.9553630369071342
600,0.9686315023775967,0.9339334667909863
700,0.9682912876312113,0.9388071404022743
800,0.9594503542479677,0.9019814403613462
900,0.9614682982864577,0.8924294519018886
1000,0.9547344328832521,0.8831802113206745
1100,0.9390474128938897,0.8785524292749357
1200,0.9446848547703256,0.8512401530828566
1300,0.9354203229822238,0.8471291223738779
1400,0.9346764044911032,0.8393364012517648
1500,0.9321128464662435,0.8200929202096675
1600,0.9216306252661361,0.7939252988868986
1700,0.9214727197837536,0.7827752484369329
1800,0.9253176432519498,0.7605285851104014
1900,0.9174956670526783,0.7568851812863283
2000,0.9140935412999234,0.7251237537748246
2100,0.9109062563071106,0.7171625261726084
2200,0.9261238910167164,0.6977596646486044
2300,0.9139140346345433,0.6696439277698828
2400,0.9210558392736264,0.6499181889888369
2500,0.9114633861616891,0.6407810294017613
2600,0.9228860139365632,0.6133487994058001
2700,0.9252990835745452,0.6159698842113589
2800,0.9277890414815401,0.573297263964686
2900,0.9318042373414999,0.5739603592588819
3000,0.9251009117625295,0.5371551285732692
3100,0.9295511404812731,0.52115044898724
3200,0.9317691540199713,0.5021634209324222
3300,0.9426283530813793,0.4792792941519989
3400,0.95705865721422,0.45826989190982204
3500,0.9714740448924795,0.4115993574198495
3600,0.972174870578459,0.4152460863651631
3700,0.9868855848891078,0.3815782415403037
3800,0.9994411917361484,0.34923003160504595
3900,1.021530283342321,0.31289591731977473
4000,1.0438588550575678,0.2940036600272664
4100,1.0790411952538197,0.2788355001059735
4200,1.1036356808421912,0.23892923087208895
4300,1.1427157700372483,0.1921741252039111
4400,1.2032091524031525,0.17764547697164612
4500,1.2454938379955993,0.13246078315992518
4600,1.3186648170244175,0.10067552995307957
4700,1.3848351467272455,0.06781743712975334
4800,1.4763202947090526,0.033814247707401664
4900,1.5491301465685368,0.033613482259245486
5000,1.6279231119275401,0.019949768224494024
