miliseconds,M,P
0,1.008004787398194,1.0092363393576855
100,0.9873397884482584,0.9759409947000197
200,0.995374124946162,0.990778742172748
300,0.9784406621821906,0.9581665133092766
400,0.9819676724820541,0.9694530111913872
500,0.9696515395940923,0.9357441442573736
600,0.9702832984784049,0.9430941455428702
700,0.9709503385007772,0.9317824696545778
800,0.9501471212667928,0.9060674059263344
900,0.9550165748034535,0.8955963333887486
1000,0.9468902053160299,0.8931393088210633
1100,0.951969229729458,0.8734568888753281
1200,0.9450994914886118,0.8645553453262818
1300,0.9409327636634209,0.853274492272455
1400,0.9321659004170022,0.8207237766229906
1500,0.9348488075975621,0.8084546724347105
1600,0.9214952380728155,0.793130290111633
1700,0.9322533237625648,0.7818992678608221
1800,0.9184036265487973,0.7782631924005734
1900,0.9243104987314517,0.7618980701937413
2000,0.927343937811874,0.7360790298648107
2100,0.9236676317387967,0.721755919096801
2200,0.9174099552886166,0.6937073903317337
2300,0.9148517333901197,0.6809938800149764
2400,0.922803031669766,0.668317763800417
2500,0.9245705983164235,0.6313978727514694
2600,0.92353429735817,0.6162680057071159
2700,0.9125076957455488,0.607431638773935
2800,0.9253397618788418,0.5883096442089771
2900,0.9237005017043863,0.5683321475351045
3000,0.9216578748209334,0.5459893959464759
3100,0.9336308139858278,0.5057821686747453
3200,0.9368982313719957,0.508488596889119
3300,0.9515672894972165,0.4668988846270733
3400,0.9516716059045309,0.4641119297616288
3500,0.9714972171838733,0.42597167556243143
3600,0.9711694764920816,0.4056115918790811
3700,0.9971466481892964,0.37348211045372737
3800,0.9991643860047564,0.3471640940876696
3900,1.0205988911123385,0.3194964588283798
4000,1.055953794811251,0.30777764238503363
4100,1.0784822103602933,0.2556301693707072
4200,1.1145223659497316,0.24638420151759682
4300,1.1554307346093378,0.2155724979286915
4400,1.193864516142235,0.17686857889188798
4500,1.2560867269550973,0.1302655433686554
4600,1.3161543749583813,0.11323982198197287
4700,1.3798949759375523,0.07312470944870818
4800,1.469093380296886,0.03349231674550498
4900,1.5550730748836525,0.034474075204196424
5000,1.631154705920204,0.016313580521315943
